Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.6204,0.004,0.5983,HuBERT,MSP-Podcast,clean
Layer 1,1,0.6138,0.0073,0.6018,HuBERT,MSP-Podcast,clean
Layer 2,2,0.6053,0.0073,0.5981,HuBERT,MSP-Podcast,clean
Layer 3,3,0.6053,0.0026,0.6009,HuBERT,MSP-Podcast,clean
Layer 4,4,0.5974,0.0084,0.5933,HuBERT,MSP-Podcast,clean
Layer 5,5,0.6028,0.0049,0.5993,HuBERT,MSP-Podcast,clean
Layer 6,6,0.602,0.0077,0.598,HuBERT,MSP-Podcast,clean
Layer 7,7,0.6031,0.0092,0.5999,HuBERT,MSP-Podcast,clean
Layer 8,8,0.602,0.0051,0.5989,HuBERT,MSP-Podcast,clean
Layer 9,9,0.5994,0.0051,0.597,HuBERT,MSP-Podcast,clean
Layer 10,10,0.6047,0.0069,0.6011,HuBERT,MSP-Podcast,clean
Layer 11,11,0.6093,0.0062,0.6068,HuBERT,MSP-Podcast,clean
Layer 12,12,0.6082,0.0095,0.6067,HuBERT,MSP-Podcast,clean
Layer 13,13,0.6068,0.0042,0.6044,HuBERT,MSP-Podcast,clean
Layer 14,14,0.6078,0.0065,0.6055,HuBERT,MSP-Podcast,clean
Layer 15,15,0.6036,0.0111,0.6023,HuBERT,MSP-Podcast,clean
Layer 16,16,0.6122,0.0076,0.6123,HuBERT,MSP-Podcast,clean
Layer 17,17,0.6142,0.0088,0.6139,HuBERT,MSP-Podcast,clean
Layer 18,18,0.6082,0.0078,0.6086,HuBERT,MSP-Podcast,clean
Layer 19,19,0.6123,0.0114,0.614,HuBERT,MSP-Podcast,clean
Layer 20,20,0.6095,0.011,0.6114,HuBERT,MSP-Podcast,clean
Layer 21,21,0.611,0.0046,0.6123,HuBERT,MSP-Podcast,clean
Layer 22,22,0.6195,0.0097,0.6185,HuBERT,MSP-Podcast,clean
Layer 23,23,0.6117,0.0149,0.6108,HuBERT,MSP-Podcast,clean
Layer 24,24,0.6144,0.0078,0.6129,HuBERT,MSP-Podcast,clean
CNN,0,0.5625,0.0052,0.5314,HuBERT,MSP-Podcast,0
Layer 1,1,0.5577,0.0098,0.5416,HuBERT,MSP-Podcast,0
Layer 2,2,0.5511,0.0063,0.5423,HuBERT,MSP-Podcast,0
Layer 3,3,0.5488,0.0084,0.5421,HuBERT,MSP-Podcast,0
Layer 4,4,0.5481,0.0068,0.5442,HuBERT,MSP-Podcast,0
Layer 5,5,0.5534,0.0074,0.5491,HuBERT,MSP-Podcast,0
Layer 6,6,0.5545,0.0107,0.5507,HuBERT,MSP-Podcast,0
Layer 7,7,0.5593,0.0134,0.5562,HuBERT,MSP-Podcast,0
Layer 8,8,0.5559,0.0066,0.553,HuBERT,MSP-Podcast,0
Layer 9,9,0.561,0.0107,0.558,HuBERT,MSP-Podcast,0
Layer 10,10,0.5664,0.0117,0.5642,HuBERT,MSP-Podcast,0
Layer 11,11,0.56,0.0094,0.5579,HuBERT,MSP-Podcast,0
Layer 12,12,0.5604,0.0048,0.5584,HuBERT,MSP-Podcast,0
Layer 13,13,0.563,0.0095,0.5616,HuBERT,MSP-Podcast,0
Layer 14,14,0.5632,0.0131,0.5605,HuBERT,MSP-Podcast,0
Layer 15,15,0.5578,0.0074,0.5558,HuBERT,MSP-Podcast,0
Layer 16,16,0.5682,0.008,0.5663,HuBERT,MSP-Podcast,0
Layer 17,17,0.5636,0.0089,0.5633,HuBERT,MSP-Podcast,0
Layer 18,18,0.5641,0.0092,0.5637,HuBERT,MSP-Podcast,0
Layer 19,19,0.5594,0.0084,0.5594,HuBERT,MSP-Podcast,0
Layer 20,20,0.5591,0.0084,0.5586,HuBERT,MSP-Podcast,0
Layer 21,21,0.5655,0.0106,0.5644,HuBERT,MSP-Podcast,0
Layer 22,22,0.5676,0.0095,0.5653,HuBERT,MSP-Podcast,0
Layer 23,23,0.5616,0.0052,0.558,HuBERT,MSP-Podcast,0
Layer 24,24,0.5569,0.0028,0.5535,HuBERT,MSP-Podcast,0
CNN,0,0.5788,0.0028,0.5515,HuBERT,MSP-Podcast,10
Layer 1,1,0.5735,0.011,0.5601,HuBERT,MSP-Podcast,10
Layer 2,2,0.5722,0.0059,0.5656,HuBERT,MSP-Podcast,10
Layer 3,3,0.5744,0.0075,0.5704,HuBERT,MSP-Podcast,10
Layer 4,4,0.5715,0.0046,0.5686,HuBERT,MSP-Podcast,10
Layer 5,5,0.5706,0.0093,0.5687,HuBERT,MSP-Podcast,10
Layer 6,6,0.5728,0.0122,0.5699,HuBERT,MSP-Podcast,10
Layer 7,7,0.5776,0.0063,0.5754,HuBERT,MSP-Podcast,10
Layer 8,8,0.5759,0.0129,0.5732,HuBERT,MSP-Podcast,10
Layer 9,9,0.574,0.0038,0.5724,HuBERT,MSP-Podcast,10
Layer 10,10,0.5774,0.0041,0.5756,HuBERT,MSP-Podcast,10
Layer 11,11,0.5797,0.0075,0.5792,HuBERT,MSP-Podcast,10
Layer 12,12,0.5851,0.004,0.5834,HuBERT,MSP-Podcast,10
Layer 13,13,0.588,0.0084,0.5871,HuBERT,MSP-Podcast,10
Layer 14,14,0.5837,0.0071,0.5831,HuBERT,MSP-Podcast,10
Layer 15,15,0.5845,0.0125,0.5842,HuBERT,MSP-Podcast,10
Layer 16,16,0.5892,0.0052,0.5889,HuBERT,MSP-Podcast,10
Layer 17,17,0.5909,0.0087,0.5919,HuBERT,MSP-Podcast,10
Layer 18,18,0.5909,0.0096,0.5929,HuBERT,MSP-Podcast,10
Layer 19,19,0.5937,0.0094,0.5956,HuBERT,MSP-Podcast,10
Layer 20,20,0.5899,0.0131,0.5919,HuBERT,MSP-Podcast,10
Layer 21,21,0.5963,0.0072,0.5967,HuBERT,MSP-Podcast,10
Layer 22,22,0.5928,0.0099,0.5926,HuBERT,MSP-Podcast,10
Layer 23,23,0.5881,0.0115,0.5865,HuBERT,MSP-Podcast,10
