Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.6198,0.0092,0.5965,WavLM,MSP-Podcast,clean
Layer 1,1,0.6166,0.0082,0.6058,WavLM,MSP-Podcast,clean
Layer 2,2,0.6009,0.0046,0.5936,WavLM,MSP-Podcast,clean
Layer 3,3,0.6061,0.0016,0.6014,WavLM,MSP-Podcast,clean
Layer 4,4,0.6014,0.0054,0.5982,WavLM,MSP-Podcast,clean
Layer 5,5,0.5988,0.0032,0.5955,WavLM,MSP-Podcast,clean
Layer 6,6,0.6037,0.0136,0.6011,WavLM,MSP-Podcast,clean
Layer 7,7,0.6055,0.0054,0.6029,WavLM,MSP-Podcast,clean
Layer 8,8,0.6053,0.0051,0.6028,WavLM,MSP-Podcast,clean
Layer 9,9,0.6057,0.0087,0.6041,WavLM,MSP-Podcast,clean
Layer 10,10,0.6078,0.0026,0.6055,WavLM,MSP-Podcast,clean
Layer 11,11,0.6085,0.0073,0.6067,WavLM,MSP-Podcast,clean
Layer 12,12,0.6107,0.0052,0.6085,WavLM,MSP-Podcast,clean
Layer 13,13,0.6141,0.0129,0.6124,WavLM,MSP-Podcast,clean
Layer 14,14,0.6137,0.0148,0.612,WavLM,MSP-Podcast,clean
Layer 15,15,0.615,0.0059,0.6141,WavLM,MSP-Podcast,clean
Layer 16,16,0.6172,0.0051,0.617,WavLM,MSP-Podcast,clean
Layer 17,17,0.6267,0.0094,0.627,WavLM,MSP-Podcast,clean
Layer 18,18,0.6255,0.0052,0.6258,WavLM,MSP-Podcast,clean
Layer 19,19,0.6222,0.0107,0.6226,WavLM,MSP-Podcast,clean
Layer 20,20,0.6232,0.0101,0.6239,WavLM,MSP-Podcast,clean
Layer 21,21,0.6175,0.0057,0.6181,WavLM,MSP-Podcast,clean
Layer 22,22,0.6298,0.0073,0.6286,WavLM,MSP-Podcast,clean
Layer 23,23,0.6149,0.0042,0.6139,WavLM,MSP-Podcast,clean
Layer 24,24,0.6135,0.0087,0.6123,WavLM,MSP-Podcast,clean
CNN,0,0.5642,0.0066,0.5325,WavLM,MSP-Podcast,0
Layer 1,1,0.5591,0.0041,0.5441,WavLM,MSP-Podcast,0
Layer 2,2,0.5548,0.0079,0.5471,WavLM,MSP-Podcast,0
Layer 3,3,0.5537,0.0051,0.5489,WavLM,MSP-Podcast,0
Layer 4,4,0.5526,0.0059,0.5478,WavLM,MSP-Podcast,0
Layer 5,5,0.551,0.008,0.5469,WavLM,MSP-Podcast,0
Layer 6,6,0.5584,0.0101,0.555,WavLM,MSP-Podcast,0
Layer 7,7,0.5655,0.0093,0.5616,WavLM,MSP-Podcast,0
Layer 8,8,0.5695,0.0035,0.5661,WavLM,MSP-Podcast,0
Layer 9,9,0.5668,0.0062,0.5642,WavLM,MSP-Podcast,0
Layer 10,10,0.5661,0.0082,0.5629,WavLM,MSP-Podcast,0
Layer 11,11,0.5668,0.009,0.5645,WavLM,MSP-Podcast,0
Layer 12,12,0.5672,0.0074,0.5638,WavLM,MSP-Podcast,0
Layer 13,13,0.564,0.0056,0.5611,WavLM,MSP-Podcast,0
Layer 14,14,0.5617,0.0094,0.5602,WavLM,MSP-Podcast,0
Layer 15,15,0.5657,0.0032,0.563,WavLM,MSP-Podcast,0
Layer 16,16,0.5695,0.0051,0.5678,WavLM,MSP-Podcast,0
Layer 17,17,0.5796,0.0083,0.5777,WavLM,MSP-Podcast,0
Layer 18,18,0.5765,0.0067,0.5747,WavLM,MSP-Podcast,0
Layer 19,19,0.5757,0.0129,0.5743,WavLM,MSP-Podcast,0
Layer 20,20,0.5774,0.0112,0.5766,WavLM,MSP-Podcast,0
Layer 21,21,0.5758,0.0126,0.5734,WavLM,MSP-Podcast,0
Layer 22,22,0.5819,0.0083,0.5762,WavLM,MSP-Podcast,0
Layer 23,23,0.5771,0.0039,0.5727,WavLM,MSP-Podcast,0
Layer 24,24,0.5728,0.0064,0.5695,WavLM,MSP-Podcast,0
CNN,0,0.5903,0.0036,0.5618,WavLM,MSP-Podcast,10
Layer 1,1,0.5785,0.0087,0.5661,WavLM,MSP-Podcast,10
Layer 2,2,0.5753,0.0062,0.5686,WavLM,MSP-Podcast,10
Layer 3,3,0.5753,0.0035,0.5719,WavLM,MSP-Podcast,10
Layer 4,4,0.5695,0.0075,0.5659,WavLM,MSP-Podcast,10
Layer 5,5,0.5701,0.009,0.5682,WavLM,MSP-Podcast,10
Layer 6,6,0.5781,0.0044,0.5757,WavLM,MSP-Podcast,10
Layer 7,7,0.5782,0.0058,0.5749,WavLM,MSP-Podcast,10
Layer 8,8,0.583,0.0053,0.5809,WavLM,MSP-Podcast,10
Layer 9,9,0.577,0.0083,0.5752,WavLM,MSP-Podcast,10
Layer 10,10,0.583,0.0088,0.5811,WavLM,MSP-Podcast,10
Layer 11,11,0.5833,0.0071,0.5811,WavLM,MSP-Podcast,10
Layer 12,12,0.5895,0.0055,0.5876,WavLM,MSP-Podcast,10
Layer 13,13,0.5886,0.0088,0.5872,WavLM,MSP-Podcast,10
Layer 14,14,0.5845,0.0095,0.5839,WavLM,MSP-Podcast,10
Layer 15,15,0.5884,0.0057,0.588,WavLM,MSP-Podcast,10
Layer 16,16,0.5944,0.0058,0.5943,WavLM,MSP-Podcast,10
Layer 17,17,0.6002,0.0035,0.5999,WavLM,MSP-Podcast,10
Layer 18,18,0.6008,0.0033,0.6009,WavLM,MSP-Podcast,10
Layer 19,19,0.6021,0.0116,0.6033,WavLM,MSP-Podcast,10
Layer 20,20,0.5988,0.0106,0.6008,WavLM,MSP-Podcast,10
Layer 21,21,0.6005,0.0091,0.6001,WavLM,MSP-Podcast,10
Layer 22,22,0.6079,0.0088,0.6054,WavLM,MSP-Podcast,10
Layer 23,23,0.5974,0.0037,0.5962,WavLM,MSP-Podcast,10
Layer 24,24,0.5941,0.0073,0.5916,WavLM,MSP-Podcast,10
CNN,0,0.6001,0.0024,0.574,WavLM,MSP-Podcast,20
Layer 1,1,0.5937,0.0055,0.5843,WavLM,MSP-Podcast,20
Layer 2,2,0.586,0.0078,0.5806,WavLM,MSP-Podcast,20
Layer 3,3,0.5815,0.0034,0.5777,WavLM,MSP-Podcast,20
Layer 4,4,0.5761,0.0058,0.573,WavLM,MSP-Podcast,20
Layer 5,5,0.584,0.0078,0.5817,WavLM,MSP-Podcast,20
Layer 6,6,0.5838,0.0079,0.5821,WavLM,MSP-Podcast,20
Layer 7,7,0.587,0.0172,0.5855,WavLM,MSP-Podcast,20
