Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.6279,0.0055,0.6042,Whisper,MSP-Podcast,clean
Layer 1,1,0.6187,0.0064,0.6019,Whisper,MSP-Podcast,clean
Layer 2,2,0.6132,0.0053,0.601,Whisper,MSP-Podcast,clean
Layer 3,3,0.6091,0.0091,0.6005,Whisper,MSP-Podcast,clean
Layer 4,4,0.6126,0.0047,0.6062,Whisper,MSP-Podcast,clean
Layer 5,5,0.6102,0.006,0.6049,Whisper,MSP-Podcast,clean
Layer 6,6,0.6031,0.0083,0.5999,Whisper,MSP-Podcast,clean
Layer 7,7,0.6065,0.0056,0.6037,Whisper,MSP-Podcast,clean
Layer 8,8,0.6122,0.0023,0.6079,Whisper,MSP-Podcast,clean
Layer 9,9,0.6091,0.0063,0.6058,Whisper,MSP-Podcast,clean
Layer 10,10,0.6082,0.0044,0.6051,Whisper,MSP-Podcast,clean
Layer 11,11,0.6047,0.0062,0.6025,Whisper,MSP-Podcast,clean
Layer 12,12,0.6145,0.0051,0.6131,Whisper,MSP-Podcast,clean
Layer 13,13,0.6098,0.0019,0.6083,Whisper,MSP-Podcast,clean
Layer 14,14,0.6119,0.0066,0.6113,Whisper,MSP-Podcast,clean
Layer 15,15,0.6087,0.0028,0.6083,Whisper,MSP-Podcast,clean
Layer 16,16,0.6132,0.0048,0.6132,Whisper,MSP-Podcast,clean
Layer 17,17,0.6108,0.0054,0.6116,Whisper,MSP-Podcast,clean
Layer 18,18,0.6089,0.0048,0.61,Whisper,MSP-Podcast,clean
Layer 19,19,0.6088,0.0064,0.6109,Whisper,MSP-Podcast,clean
Layer 20,20,0.6197,0.0124,0.6211,Whisper,MSP-Podcast,clean
Layer 21,21,0.6221,0.0106,0.6238,Whisper,MSP-Podcast,clean
Layer 22,22,0.6283,0.009,0.6288,Whisper,MSP-Podcast,clean
Layer 23,23,0.6316,0.0039,0.6323,Whisper,MSP-Podcast,clean
Layer 24,24,0.6297,0.0118,0.632,Whisper,MSP-Podcast,clean
CNN,0,0.5554,0.0063,0.5231,Whisper,MSP-Podcast,0
Layer 1,1,0.5668,0.0047,0.546,Whisper,MSP-Podcast,0
Layer 2,2,0.5668,0.0092,0.5531,Whisper,MSP-Podcast,0
Layer 3,3,0.5732,0.005,0.5634,Whisper,MSP-Podcast,0
Layer 4,4,0.574,0.006,0.5679,Whisper,MSP-Podcast,0
Layer 5,5,0.58,0.0033,0.5761,Whisper,MSP-Podcast,0
Layer 6,6,0.5776,0.0031,0.5743,Whisper,MSP-Podcast,0
Layer 7,7,0.582,0.0061,0.579,Whisper,MSP-Podcast,0
Layer 8,8,0.5838,0.0037,0.5804,Whisper,MSP-Podcast,0
Layer 9,9,0.5897,0.0119,0.5856,Whisper,MSP-Podcast,0
Layer 10,10,0.5928,0.0083,0.5898,Whisper,MSP-Podcast,0
Layer 11,11,0.5933,0.0091,0.5916,Whisper,MSP-Podcast,0
Layer 12,12,0.5927,0.0065,0.591,Whisper,MSP-Podcast,0
Layer 13,13,0.5916,0.0116,0.5905,Whisper,MSP-Podcast,0
Layer 14,14,0.5935,0.0078,0.5921,Whisper,MSP-Podcast,0
Layer 15,15,0.5906,0.0045,0.5896,Whisper,MSP-Podcast,0
Layer 16,16,0.5892,0.0078,0.5889,Whisper,MSP-Podcast,0
Layer 17,17,0.5919,0.0044,0.5928,Whisper,MSP-Podcast,0
Layer 18,18,0.5968,0.0064,0.597,Whisper,MSP-Podcast,0
Layer 19,19,0.5963,0.0049,0.5973,Whisper,MSP-Podcast,0
Layer 20,20,0.6021,0.0043,0.6022,Whisper,MSP-Podcast,0
Layer 21,21,0.6043,0.0073,0.6061,Whisper,MSP-Podcast,0
Layer 22,22,0.6067,0.006,0.608,Whisper,MSP-Podcast,0
Layer 23,23,0.6102,0.0086,0.6124,Whisper,MSP-Podcast,0
Layer 24,24,0.6071,0.0068,0.6095,Whisper,MSP-Podcast,0
CNN,0,0.578,0.0079,0.5498,Whisper,MSP-Podcast,10
Layer 1,1,0.5839,0.0047,0.5665,Whisper,MSP-Podcast,10
Layer 2,2,0.5888,0.008,0.5765,Whisper,MSP-Podcast,10
Layer 3,3,0.5891,0.0083,0.5804,Whisper,MSP-Podcast,10
Layer 4,4,0.5876,0.0067,0.5813,Whisper,MSP-Podcast,10
Layer 5,5,0.5949,0.0059,0.5902,Whisper,MSP-Podcast,10
Layer 6,6,0.5846,0.0029,0.5816,Whisper,MSP-Podcast,10
Layer 7,7,0.5915,0.0071,0.5889,Whisper,MSP-Podcast,10
Layer 8,8,0.5903,0.0101,0.587,Whisper,MSP-Podcast,10
Layer 9,9,0.5964,0.0069,0.5936,Whisper,MSP-Podcast,10
Layer 10,10,0.5943,0.0049,0.5917,Whisper,MSP-Podcast,10
Layer 11,11,0.6029,0.0061,0.6019,Whisper,MSP-Podcast,10
Layer 12,12,0.5989,0.0046,0.5981,Whisper,MSP-Podcast,10
Layer 13,13,0.6009,0.0088,0.6011,Whisper,MSP-Podcast,10
Layer 14,14,0.6038,0.012,0.6038,Whisper,MSP-Podcast,10
Layer 15,15,0.5954,0.0095,0.5959,Whisper,MSP-Podcast,10
Layer 16,16,0.6013,0.0049,0.6013,Whisper,MSP-Podcast,10
Layer 17,17,0.6008,0.0065,0.6015,Whisper,MSP-Podcast,10
Layer 18,18,0.6024,0.0043,0.6033,Whisper,MSP-Podcast,10
Layer 19,19,0.6031,0.0065,0.6037,Whisper,MSP-Podcast,10
Layer 20,20,0.6103,0.0057,0.611,Whisper,MSP-Podcast,10
Layer 21,21,0.6114,0.0074,0.6124,Whisper,MSP-Podcast,10
Layer 22,22,0.6146,0.008,0.6161,Whisper,MSP-Podcast,10
Layer 23,23,0.615,0.0091,0.617,Whisper,MSP-Podcast,10
Layer 24,24,0.6174,0.0077,0.6204,Whisper,MSP-Podcast,10
CNN,0,0.5966,0.0029,0.5696,Whisper,MSP-Podcast,20
Layer 1,1,0.5954,0.0097,0.5789,Whisper,MSP-Podcast,20
Layer 2,2,0.5948,0.0084,0.5835,Whisper,MSP-Podcast,20
Layer 3,3,0.5985,0.0047,0.5899,Whisper,MSP-Podcast,20
Layer 4,4,0.5969,0.013,0.5912,Whisper,MSP-Podcast,20
Layer 5,5,0.6002,0.0079,0.5951,Whisper,MSP-Podcast,20
Layer 6,6,0.5917,0.0025,0.5879,Whisper,MSP-Podcast,20
Layer 7,7,0.5964,0.0019,0.5923,Whisper,MSP-Podcast,20
Layer 8,8,0.6027,0.0074,0.5985,Whisper,MSP-Podcast,20
Layer 9,9,0.5995,0.0059,0.5965,Whisper,MSP-Podcast,20
Layer 10,10,0.5994,0.0047,0.5967,Whisper,MSP-Podcast,20
Layer 11,11,0.6042,0.0057,0.603,Whisper,MSP-Podcast,20
Layer 12,12,0.6046,0.0089,0.6036,Whisper,MSP-Podcast,20
Layer 13,13,0.6069,0.0118,0.6068,Whisper,MSP-Podcast,20
Layer 14,14,0.6043,0.0092,0.6047,Whisper,MSP-Podcast,20
Layer 15,15,0.6058,0.0061,0.6056,Whisper,MSP-Podcast,20
Layer 16,16,0.6099,0.0034,0.61,Whisper,MSP-Podcast,20
Layer 17,17,0.6044,0.0027,0.6054,Whisper,MSP-Podcast,20
Layer 18,18,0.6016,0.0049,0.6024,Whisper,MSP-Podcast,20
Layer 19,19,0.6056,0.0038,0.6062,Whisper,MSP-Podcast,20
Layer 20,20,0.6097,0.0078,0.6113,Whisper,MSP-Podcast,20
Layer 21,21,0.6127,0.0032,0.6142,Whisper,MSP-Podcast,20
Layer 22,22,0.6185,0.0061,0.62,Whisper,MSP-Podcast,20
Layer 23,23,0.619,0.0076,0.621,Whisper,MSP-Podcast,20
Layer 24,24,0.6219,0.003,0.6241,Whisper,MSP-Podcast,20
CNN,0,0.5678,0.0061,0.5392,Whisper,MSP-Podcast,5
Layer 1,1,0.5775,0.0066,0.5587,Whisper,MSP-Podcast,5
Layer 2,2,0.5783,0.009,0.5662,Whisper,MSP-Podcast,5
Layer 3,3,0.5824,0.0078,0.5739,Whisper,MSP-Podcast,5
Layer 4,4,0.5834,0.0068,0.578,Whisper,MSP-Podcast,5
Layer 5,5,0.5854,0.0054,0.5817,Whisper,MSP-Podcast,5
Layer 6,6,0.5825,0.0051,0.5798,Whisper,MSP-Podcast,5
Layer 7,7,0.5836,0.0075,0.5814,Whisper,MSP-Podcast,5
Layer 8,8,0.586,0.0096,0.5831,Whisper,MSP-Podcast,5
Layer 9,9,0.593,0.0096,0.5903,Whisper,MSP-Podcast,5
Layer 10,10,0.5901,0.0048,0.5879,Whisper,MSP-Podcast,5
