Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.6114,0.0108,0.5943,wav2vec2,MSP-Podcast,clean
Layer 1,1,0.5932,0.0069,0.5861,wav2vec2,MSP-Podcast,clean
Layer 2,2,0.5865,0.0069,0.5817,wav2vec2,MSP-Podcast,clean
Layer 3,3,0.5838,0.0099,0.5809,wav2vec2,MSP-Podcast,clean
Layer 4,4,0.5866,0.01,0.5835,wav2vec2,MSP-Podcast,clean
Layer 5,5,0.5906,0.0065,0.5887,wav2vec2,MSP-Podcast,clean
Layer 6,6,0.5953,0.0072,0.594,wav2vec2,MSP-Podcast,clean
Layer 7,7,0.5935,0.0038,0.5932,wav2vec2,MSP-Podcast,clean
Layer 8,8,0.5897,0.0107,0.5893,wav2vec2,MSP-Podcast,clean
Layer 9,9,0.5942,0.0141,0.5933,wav2vec2,MSP-Podcast,clean
Layer 10,10,0.5959,0.0124,0.5953,wav2vec2,MSP-Podcast,clean
Layer 11,11,0.601,0.0053,0.6005,wav2vec2,MSP-Podcast,clean
Layer 12,12,0.5935,0.009,0.5929,wav2vec2,MSP-Podcast,clean
Layer 13,13,0.5942,0.0078,0.5952,wav2vec2,MSP-Podcast,clean
Layer 14,14,0.5866,0.0049,0.588,wav2vec2,MSP-Podcast,clean
Layer 15,15,0.5837,0.0078,0.5857,wav2vec2,MSP-Podcast,clean
Layer 16,16,0.5876,0.0055,0.5882,wav2vec2,MSP-Podcast,clean
Layer 17,17,0.5888,0.0044,0.5887,wav2vec2,MSP-Podcast,clean
Layer 18,18,0.5842,0.0062,0.5831,wav2vec2,MSP-Podcast,clean
Layer 19,19,0.5905,0.0102,0.5882,wav2vec2,MSP-Podcast,clean
Layer 20,20,0.5887,0.0088,0.5853,wav2vec2,MSP-Podcast,clean
Layer 21,21,0.5715,0.005,0.5675,wav2vec2,MSP-Podcast,clean
Layer 22,22,0.5715,0.0065,0.5646,wav2vec2,MSP-Podcast,clean
Layer 23,23,0.5564,0.0068,0.5485,wav2vec2,MSP-Podcast,clean
Layer 24,24,0.5245,0.0138,0.5149,wav2vec2,MSP-Podcast,clean
CNN,0,0.5493,0.0129,0.526,wav2vec2,MSP-Podcast,0
Layer 1,1,0.5397,0.0052,0.5281,wav2vec2,MSP-Podcast,0
Layer 2,2,0.537,0.0069,0.5281,wav2vec2,MSP-Podcast,0
Layer 3,3,0.5397,0.0076,0.5329,wav2vec2,MSP-Podcast,0
Layer 4,4,0.5466,0.0111,0.5406,wav2vec2,MSP-Podcast,0
Layer 5,5,0.5404,0.0092,0.536,wav2vec2,MSP-Podcast,0
Layer 6,6,0.5449,0.0081,0.5409,wav2vec2,MSP-Podcast,0
Layer 7,7,0.5462,0.0084,0.5431,wav2vec2,MSP-Podcast,0
Layer 8,8,0.5501,0.0066,0.5481,wav2vec2,MSP-Podcast,0
Layer 9,9,0.5489,0.0095,0.5468,wav2vec2,MSP-Podcast,0
Layer 10,10,0.5429,0.0109,0.5405,wav2vec2,MSP-Podcast,0
Layer 11,11,0.5459,0.0068,0.5443,wav2vec2,MSP-Podcast,0
Layer 12,12,0.5475,0.0069,0.5466,wav2vec2,MSP-Podcast,0
Layer 13,13,0.5443,0.0041,0.5444,wav2vec2,MSP-Podcast,0
Layer 14,14,0.5429,0.009,0.5431,wav2vec2,MSP-Podcast,0
Layer 15,15,0.543,0.009,0.5425,wav2vec2,MSP-Podcast,0
Layer 16,16,0.5383,0.0035,0.5387,wav2vec2,MSP-Podcast,0
Layer 17,17,0.5392,0.0063,0.5388,wav2vec2,MSP-Podcast,0
Layer 18,18,0.5382,0.008,0.5347,wav2vec2,MSP-Podcast,0
Layer 19,19,0.5351,0.0098,0.5321,wav2vec2,MSP-Podcast,0
Layer 20,20,0.5317,0.0048,0.5275,wav2vec2,MSP-Podcast,0
Layer 21,21,0.5271,0.006,0.5213,wav2vec2,MSP-Podcast,0
Layer 22,22,0.5213,0.0068,0.5124,wav2vec2,MSP-Podcast,0
Layer 23,23,0.5071,0.0082,0.4958,wav2vec2,MSP-Podcast,0
Layer 24,24,0.4868,0.0066,0.4753,wav2vec2,MSP-Podcast,0
CNN,0,0.5772,0.0087,0.5577,wav2vec2,MSP-Podcast,10
Layer 1,1,0.557,0.0044,0.5499,wav2vec2,MSP-Podcast,10
Layer 2,2,0.5626,0.0071,0.5563,wav2vec2,MSP-Podcast,10
Layer 3,3,0.5576,0.0078,0.5535,wav2vec2,MSP-Podcast,10
Layer 4,4,0.5593,0.0071,0.5571,wav2vec2,MSP-Podcast,10
Layer 5,5,0.5652,0.0086,0.563,wav2vec2,MSP-Podcast,10
Layer 6,6,0.5668,0.0078,0.5656,wav2vec2,MSP-Podcast,10
Layer 7,7,0.5676,0.004,0.5667,wav2vec2,MSP-Podcast,10
Layer 8,8,0.5716,0.0063,0.5704,wav2vec2,MSP-Podcast,10
Layer 9,9,0.5752,0.0067,0.5739,wav2vec2,MSP-Podcast,10
Layer 10,10,0.5714,0.0086,0.5715,wav2vec2,MSP-Podcast,10
Layer 11,11,0.5747,0.008,0.5742,wav2vec2,MSP-Podcast,10
Layer 12,12,0.5746,0.0054,0.5748,wav2vec2,MSP-Podcast,10
Layer 13,13,0.573,0.0081,0.5735,wav2vec2,MSP-Podcast,10
Layer 14,14,0.5654,0.0047,0.5665,wav2vec2,MSP-Podcast,10
Layer 15,15,0.5589,0.0121,0.5606,wav2vec2,MSP-Podcast,10
Layer 16,16,0.5593,0.01,0.561,wav2vec2,MSP-Podcast,10
Layer 17,17,0.5655,0.0054,0.5661,wav2vec2,MSP-Podcast,10
Layer 18,18,0.5603,0.0103,0.5588,wav2vec2,MSP-Podcast,10
Layer 19,19,0.5612,0.0038,0.5584,wav2vec2,MSP-Podcast,10
Layer 20,20,0.5553,0.0079,0.5518,wav2vec2,MSP-Podcast,10
Layer 21,21,0.5442,0.0105,0.5388,wav2vec2,MSP-Podcast,10
