Layer,Layer_Num,RMSE,Target
CNN,0,0.9151,EmoVal
Layer 1,1,0.9126,EmoVal
Layer 2,2,0.9055,EmoVal
Layer 3,3,0.9022,EmoVal
Layer 4,4,0.9019,EmoVal
Layer 5,5,0.8975,EmoVal
Layer 6,6,0.8988,EmoVal
Layer 7,7,0.8975,EmoVal
Layer 8,8,0.8954,EmoVal
Layer 9,9,0.8949,EmoVal
Layer 10,10,0.8969,EmoVal
Layer 11,11,0.8981,EmoVal
Layer 12,12,0.8963,EmoVal
Layer 13,13,0.8952,EmoVal
Layer 14,14,0.8974,EmoVal
Layer 15,15,0.8962,EmoVal
Layer 16,16,0.8966,EmoVal
Layer 17,17,0.8971,EmoVal
Layer 18,18,0.8981,EmoVal
Layer 19,19,0.9008,EmoVal
Layer 20,20,0.9004,EmoVal
Layer 21,21,0.9057,EmoVal
Layer 22,22,0.9063,EmoVal
Layer 23,23,0.9059,EmoVal
Layer 24,24,0.9058,EmoVal
CNN,0,0.6984,EmoDom
Layer 1,1,0.7012,EmoDom
Layer 2,2,0.6996,EmoDom
Layer 3,3,0.6936,EmoDom
Layer 4,4,0.6919,EmoDom
Layer 5,5,0.6927,EmoDom
Layer 6,6,0.6928,EmoDom
Layer 7,7,0.6919,EmoDom
Layer 8,8,0.691,EmoDom
Layer 9,9,0.691,EmoDom
Layer 10,10,0.6926,EmoDom
Layer 11,11,0.6937,EmoDom
Layer 12,12,0.6941,EmoDom
Layer 13,13,0.6948,EmoDom
Layer 14,14,0.6948,EmoDom
Layer 15,15,0.6955,EmoDom
Layer 16,16,0.6956,EmoDom
Layer 17,17,0.6956,EmoDom
Layer 18,18,0.6963,EmoDom
Layer 19,19,0.697,EmoDom
Layer 20,20,0.6983,EmoDom
Layer 21,21,0.6979,EmoDom
Layer 22,22,0.6987,EmoDom
Layer 23,23,0.6984,EmoDom
Layer 24,24,0.698,EmoDom
CNN,0,0.7421,EmoAct
Layer 1,1,0.7378,EmoAct
Layer 2,2,0.7318,EmoAct
Layer 3,3,0.7271,EmoAct
Layer 4,4,0.7248,EmoAct
Layer 5,5,0.7255,EmoAct
Layer 6,6,0.7238,EmoAct
Layer 7,7,0.7241,EmoAct
Layer 8,8,0.7242,EmoAct
Layer 9,9,0.7234,EmoAct
Layer 10,10,0.7233,EmoAct
Layer 11,11,0.7254,EmoAct
Layer 12,12,0.7261,EmoAct
Layer 13,13,0.7268,EmoAct
Layer 14,14,0.7271,EmoAct
Layer 15,15,0.7267,EmoAct
Layer 16,16,0.7284,EmoAct
Layer 17,17,0.7292,EmoAct
Layer 18,18,0.7303,EmoAct
Layer 19,19,0.731,EmoAct
Layer 20,20,0.7318,EmoAct
Layer 21,21,0.7337,EmoAct
Layer 22,22,0.7352,EmoAct
Layer 23,23,0.7341,EmoAct
Layer 24,24,0.7341,EmoAct
