Layer,Layer_Num,RMSE,Target
CNN,0,0.8997,EmoVal
Layer 1,1,0.8993,EmoVal
Layer 2,2,0.8902,EmoVal
Layer 3,3,0.8833,EmoVal
Layer 4,4,0.8865,EmoVal
Layer 5,5,0.885,EmoVal
Layer 6,6,0.879,EmoVal
Layer 7,7,0.8805,EmoVal
Layer 8,8,0.8798,EmoVal
Layer 9,9,0.8757,EmoVal
Layer 10,10,0.8728,EmoVal
Layer 11,11,0.8736,EmoVal
Layer 12,12,0.8699,EmoVal
Layer 13,13,0.8732,EmoVal
Layer 14,14,0.8684,EmoVal
Layer 15,15,0.8593,EmoVal
Layer 16,16,0.8482,EmoVal
Layer 17,17,0.8368,EmoVal
Layer 18,18,0.8334,EmoVal
Layer 19,19,0.8274,EmoVal
Layer 20,20,0.8321,EmoVal
Layer 21,21,0.8345,EmoVal
Layer 22,22,0.84,EmoVal
Layer 23,23,0.8529,EmoVal
Layer 24,24,0.8563,EmoVal
CNN,0,0.6974,EmoDom
Layer 1,1,0.693,EmoDom
Layer 2,2,0.6919,EmoDom
Layer 3,3,0.6874,EmoDom
Layer 4,4,0.6896,EmoDom
Layer 5,5,0.6915,EmoDom
Layer 6,6,0.6905,EmoDom
Layer 7,7,0.6932,EmoDom
Layer 8,8,0.6944,EmoDom
Layer 9,9,0.6911,EmoDom
Layer 10,10,0.6921,EmoDom
Layer 11,11,0.6913,EmoDom
Layer 12,12,0.6938,EmoDom
Layer 13,13,0.6947,EmoDom
Layer 14,14,0.6965,EmoDom
Layer 15,15,0.7,EmoDom
Layer 16,16,0.6998,EmoDom
Layer 17,17,0.7002,EmoDom
Layer 18,18,0.701,EmoDom
Layer 19,19,0.7016,EmoDom
Layer 20,20,0.7026,EmoDom
Layer 21,21,0.701,EmoDom
Layer 22,22,0.6991,EmoDom
Layer 23,23,0.7003,EmoDom
Layer 24,24,0.7014,EmoDom
CNN,0,0.7362,EmoAct
Layer 1,1,0.7244,EmoAct
Layer 2,2,0.7184,EmoAct
Layer 3,3,0.7151,EmoAct
Layer 4,4,0.7161,EmoAct
Layer 5,5,0.7163,EmoAct
Layer 6,6,0.7125,EmoAct
Layer 7,7,0.7155,EmoAct
Layer 8,8,0.7152,EmoAct
Layer 9,9,0.7123,EmoAct
Layer 10,10,0.7138,EmoAct
Layer 11,11,0.712,EmoAct
Layer 12,12,0.7154,EmoAct
Layer 13,13,0.7181,EmoAct
Layer 14,14,0.7217,EmoAct
Layer 15,15,0.7246,EmoAct
Layer 16,16,0.7238,EmoAct
Layer 17,17,0.7248,EmoAct
Layer 18,18,0.7258,EmoAct
Layer 19,19,0.7284,EmoAct
Layer 20,20,0.7271,EmoAct
Layer 21,21,0.7241,EmoAct
Layer 22,22,0.7221,EmoAct
Layer 23,23,0.7217,EmoAct
Layer 24,24,0.7234,EmoAct
