Layer,Layer_Num,RMSE,Target
CNN,0,0.7416,EmoAct
Layer 1,1,0.7238,EmoAct
Layer 2,2,0.7208,EmoAct
Layer 3,3,0.7174,EmoAct
Layer 4,4,0.7159,EmoAct
Layer 5,5,0.7123,EmoAct
Layer 6,6,0.7109,EmoAct
Layer 7,7,0.7113,EmoAct
Layer 8,8,0.7118,EmoAct
Layer 9,9,0.7117,EmoAct
Layer 10,10,0.7101,EmoAct
Layer 11,11,0.7089,EmoAct
Layer 12,12,0.7069,EmoAct
Layer 13,13,0.7065,EmoAct
Layer 14,14,0.7077,EmoAct
Layer 15,15,0.7084,EmoAct
Layer 16,16,0.7088,EmoAct
Layer 17,17,0.7088,EmoAct
Layer 18,18,0.7103,EmoAct
Layer 19,19,0.7104,EmoAct
Layer 20,20,0.7102,EmoAct
Layer 21,21,0.71,EmoAct
Layer 22,22,0.7109,EmoAct
Layer 23,23,0.7122,EmoAct
Layer 24,24,0.7111,EmoAct
CNN,0,0.6991,EmoDom
Layer 1,1,0.6912,EmoDom
Layer 2,2,0.6888,EmoDom
Layer 3,3,0.6884,EmoDom
Layer 4,4,0.6868,EmoDom
Layer 5,5,0.6835,EmoDom
Layer 6,6,0.6838,EmoDom
Layer 7,7,0.6834,EmoDom
Layer 8,8,0.6845,EmoDom
Layer 9,9,0.6831,EmoDom
Layer 10,10,0.6854,EmoDom
Layer 11,11,0.6832,EmoDom
Layer 12,12,0.6822,EmoDom
Layer 13,13,0.6826,EmoDom
Layer 14,14,0.6835,EmoDom
Layer 15,15,0.6839,EmoDom
Layer 16,16,0.6844,EmoDom
Layer 17,17,0.685,EmoDom
Layer 18,18,0.6855,EmoDom
Layer 19,19,0.6851,EmoDom
Layer 20,20,0.6844,EmoDom
Layer 21,21,0.6835,EmoDom
Layer 22,22,0.6829,EmoDom
Layer 23,23,0.6839,EmoDom
Layer 24,24,0.6841,EmoDom
CNN,0,0.8958,EmoVal
Layer 1,1,0.8936,EmoVal
Layer 2,2,0.8894,EmoVal
Layer 3,3,0.888,EmoVal
Layer 4,4,0.8872,EmoVal
Layer 5,5,0.8784,EmoVal
Layer 6,6,0.8743,EmoVal
Layer 7,7,0.8725,EmoVal
Layer 8,8,0.8762,EmoVal
Layer 9,9,0.8746,EmoVal
Layer 10,10,0.8714,EmoVal
Layer 11,11,0.8697,EmoVal
Layer 12,12,0.8658,EmoVal
Layer 13,13,0.8654,EmoVal
Layer 14,14,0.8683,EmoVal
Layer 15,15,0.8656,EmoVal
Layer 16,16,0.8618,EmoVal
Layer 17,17,0.8554,EmoVal
Layer 18,18,0.8512,EmoVal
Layer 19,19,0.8499,EmoVal
Layer 20,20,0.8401,EmoVal
Layer 21,21,0.829,EmoVal
Layer 22,22,0.8214,EmoVal
Layer 23,23,0.8129,EmoVal
Layer 24,24,0.8076,EmoVal
