Layer,Layer_Num,RMSE,Target
CNN,0,0.9106,EmoAct
Layer 1,1,0.7697,EmoAct
Layer 2,2,0.7433,EmoAct
Layer 3,3,0.7289,EmoAct
Layer 4,4,0.7248,EmoAct
Layer 5,5,0.727,EmoAct
Layer 6,6,0.7293,EmoAct
Layer 7,7,0.7264,EmoAct
Layer 8,8,0.7311,EmoAct
Layer 9,9,0.7241,EmoAct
Layer 10,10,0.7231,EmoAct
Layer 11,11,0.7275,EmoAct
Layer 12,12,0.7338,EmoAct
Layer 13,13,0.7339,EmoAct
Layer 14,14,0.7263,EmoAct
Layer 15,15,0.7248,EmoAct
Layer 16,16,0.7233,EmoAct
Layer 17,17,0.7212,EmoAct
Layer 18,18,0.724,EmoAct
Layer 19,19,0.7284,EmoAct
Layer 20,20,0.7269,EmoAct
Layer 21,21,0.7333,EmoAct
Layer 22,22,0.7388,EmoAct
Layer 23,23,0.7464,EmoAct
Layer 24,24,0.7595,EmoAct
CNN,0,0.7949,EmoDom
Layer 1,1,0.7264,EmoDom
Layer 2,2,0.7106,EmoDom
Layer 3,3,0.7016,EmoDom
Layer 4,4,0.6985,EmoDom
Layer 5,5,0.7008,EmoDom
Layer 6,6,0.6998,EmoDom
Layer 7,7,0.6984,EmoDom
Layer 8,8,0.7018,EmoDom
Layer 9,9,0.6979,EmoDom
Layer 10,10,0.699,EmoDom
Layer 11,11,0.7042,EmoDom
Layer 12,12,0.7075,EmoDom
Layer 13,13,0.7096,EmoDom
Layer 14,14,0.7041,EmoDom
Layer 15,15,0.7009,EmoDom
Layer 16,16,0.7009,EmoDom
Layer 17,17,0.6948,EmoDom
Layer 18,18,0.6972,EmoDom
Layer 19,19,0.7001,EmoDom
Layer 20,20,0.698,EmoDom
Layer 21,21,0.7024,EmoDom
Layer 22,22,0.7051,EmoDom
Layer 23,23,0.7124,EmoDom
Layer 24,24,0.7192,EmoDom
CNN,0,0.9583,EmoVal
Layer 1,1,0.9291,EmoVal
Layer 2,2,0.9068,EmoVal
Layer 3,3,0.8893,EmoVal
Layer 4,4,0.888,EmoVal
Layer 5,5,0.8884,EmoVal
Layer 6,6,0.8874,EmoVal
Layer 7,7,0.889,EmoVal
Layer 8,8,0.8897,EmoVal
Layer 9,9,0.8831,EmoVal
Layer 10,10,0.8796,EmoVal
Layer 11,11,0.8736,EmoVal
Layer 12,12,0.8605,EmoVal
Layer 13,13,0.8572,EmoVal
Layer 14,14,0.8604,EmoVal
Layer 15,15,0.8661,EmoVal
Layer 16,16,0.8718,EmoVal
Layer 17,17,0.8714,EmoVal
Layer 18,18,0.8803,EmoVal
Layer 19,19,0.8852,EmoVal
Layer 20,20,0.8884,EmoVal
Layer 21,21,0.8941,EmoVal
Layer 22,22,0.9035,EmoVal
Layer 23,23,0.9115,EmoVal
Layer 24,24,0.9221,EmoVal
