Layer,Layer_Num,RMSE,Target
CNN,0,0.7047,EmoDom
Layer 1,1,0.7027,EmoDom
Layer 2,2,0.6998,EmoDom
Layer 3,3,0.6974,EmoDom
Layer 4,4,0.6944,EmoDom
Layer 5,5,0.6942,EmoDom
Layer 6,6,0.6955,EmoDom
Layer 7,7,0.6961,EmoDom
Layer 8,8,0.6978,EmoDom
Layer 9,9,0.6986,EmoDom
Layer 10,10,0.7019,EmoDom
Layer 11,11,0.7081,EmoDom
Layer 12,12,0.7113,EmoDom
Layer 13,13,0.7123,EmoDom
Layer 14,14,0.7134,EmoDom
Layer 15,15,0.7163,EmoDom
Layer 16,16,0.7151,EmoDom
Layer 17,17,0.7128,EmoDom
Layer 18,18,0.712,EmoDom
Layer 19,19,0.7163,EmoDom
Layer 20,20,0.7252,EmoDom
Layer 21,21,0.7381,EmoDom
Layer 22,22,0.7462,EmoDom
Layer 23,23,0.7745,EmoDom
Layer 24,24,0.8063,EmoDom
CNN,0,0.7459,EmoAct
Layer 1,1,0.7369,EmoAct
Layer 2,2,0.7315,EmoAct
Layer 3,3,0.7267,EmoAct
Layer 4,4,0.7225,EmoAct
Layer 5,5,0.7196,EmoAct
Layer 6,6,0.7243,EmoAct
Layer 7,7,0.7234,EmoAct
Layer 8,8,0.724,EmoAct
Layer 9,9,0.7283,EmoAct
Layer 10,10,0.7339,EmoAct
Layer 11,11,0.738,EmoAct
Layer 12,12,0.7467,EmoAct
Layer 13,13,0.7522,EmoAct
Layer 14,14,0.7548,EmoAct
Layer 15,15,0.7582,EmoAct
Layer 16,16,0.7521,EmoAct
Layer 17,17,0.75,EmoAct
Layer 18,18,0.7469,EmoAct
Layer 19,19,0.7545,EmoAct
Layer 20,20,0.7681,EmoAct
Layer 21,21,0.7929,EmoAct
Layer 22,22,0.8109,EmoAct
Layer 23,23,0.8544,EmoAct
Layer 24,24,0.8993,EmoAct
CNN,0,0.9083,EmoVal
Layer 1,1,0.9011,EmoVal
Layer 2,2,0.8961,EmoVal
Layer 3,3,0.8941,EmoVal
Layer 4,4,0.8868,EmoVal
Layer 5,5,0.8864,EmoVal
Layer 6,6,0.8907,EmoVal
Layer 7,7,0.8846,EmoVal
Layer 8,8,0.8846,EmoVal
Layer 9,9,0.8843,EmoVal
Layer 10,10,0.8812,EmoVal
Layer 11,11,0.8759,EmoVal
Layer 12,12,0.876,EmoVal
Layer 13,13,0.8789,EmoVal
Layer 14,14,0.8827,EmoVal
Layer 15,15,0.8844,EmoVal
Layer 16,16,0.8854,EmoVal
Layer 17,17,0.8837,EmoVal
Layer 18,18,0.8861,EmoVal
Layer 19,19,0.8869,EmoVal
Layer 20,20,0.8951,EmoVal
Layer 21,21,0.9084,EmoVal
Layer 22,22,0.9163,EmoVal
Layer 23,23,0.9341,EmoVal
Layer 24,24,0.9596,EmoVal
