Model,Dataset,Best_5F_Layer,Best_5F_Acc,Best_LOSO_Layer,Best_LOSO_Acc,BestVsBest_Drop,AvgPerLayer_Drop,Drop_Diff,N_Layers
HuBERT,RAVDESS,13,0.9706,13,0.8217,0.1489,0.2023,-0.0534,25
HuBERT,EmoDB,11,0.9888,11,0.9682,0.0206,0.0337,-0.0131,25
HuBERT,IEMOCAP,13,0.6822,13,0.656,0.0262,0.0326,-0.0064,25
HuBERT,SAVEE,7,0.8896,17,0.8375,0.0521,0.1495,-0.0974,25
HuBERT,AESDD,10,0.9586,10,0.8675,0.0911,0.1731,-0.082,25
HuBERT,MESD,8,0.8782,10,0.5847,0.2935,0.2855,0.008,25
wav2vec2,RAVDESS,8,0.9577,11,0.7712,0.1865,0.2306,-0.0441,25
wav2vec2,EmoDB,7,0.9757,7,0.957,0.0187,0.0269,-0.0082,25
wav2vec2,IEMOCAP,8,0.6416,9,0.6159,0.0257,0.0228,0.0029,25
wav2vec2,SAVEE,13,0.8583,15,0.8521,0.0062,0.0946,-0.0884,25
wav2vec2,AESDD,6,0.9305,5,0.8212,0.1093,0.2265,-0.1172,25
wav2vec2,MESD,5,0.8608,8,0.5835,0.2773,0.2002,0.0771,25
Whisper,RAVDESS,18,0.975,11,0.8022,0.1728,0.2293,-0.0565,25
Whisper,EmoDB,15,0.9869,11,0.9607,0.0262,0.0452,-0.019,25
Whisper,IEMOCAP,20,0.7007,24,0.6707,0.03,0.0363,-0.0063,25
Whisper,SAVEE,9,0.8979,24,0.7479,0.15,0.2386,-0.0886,25
Whisper,AESDD,10,0.9586,6,0.8278,0.1308,0.1641,-0.0333,25
Whisper,MESD,9,0.8979,11,0.58,0.3179,0.3023,0.0156,25
WavLM,RAVDESS,10,0.9702,13,0.8027,0.1675,0.2035,-0.036,25
WavLM,EmoDB,8,0.9869,6,0.9607,0.0262,0.0359,-0.0097,25
WavLM,IEMOCAP,22,0.6892,22,0.672,0.0172,0.0318,-0.0146,25
WavLM,SAVEE,6,0.8875,18,0.8438,0.0437,0.1511,-0.1074,25
WavLM,AESDD,9,0.9504,6,0.8692,0.0812,0.1454,-0.0642,25
WavLM,MESD,7,0.9246,11,0.6218,0.3028,0.2724,0.0304,25
MERT,RAVDESS,14,0.9439,7,0.6952,0.2487,0.2833,-0.0346,25
MERT,EmoDB,6,0.9607,6,0.9103,0.0504,0.0631,-0.0127,25
MERT,IEMOCAP,2,0.6522,8,0.5949,0.0573,0.0537,0.0036,25
MERT,SAVEE,6,0.7896,12,0.5583,0.2313,0.2258,0.0055,25
MERT,AESDD,9,0.8907,7,0.7467,0.144,0.1723,-0.0283,25
MERT,MESD,7,0.8689,7,0.5452,0.3237,0.3549,-0.0312,25
w2v-BERT,RAVDESS,17,0.9655,17,0.807,0.1585,0.2185,-0.06,25
w2v-BERT,EmoDB,17,0.9869,16,0.9514,0.0355,0.044,-0.0085,25
w2v-BERT,IEMOCAP,16,0.6692,16,0.6396,0.0296,0.0299,-0.0003,25
w2v-BERT,SAVEE,16,0.8292,13,0.6646,0.1646,0.2274,-0.0628,25
w2v-BERT,AESDD,17,0.947,17,0.8609,0.0861,0.1396,-0.0535,25
w2v-BERT,MESD,17,0.8689,16,0.5789,0.29,0.2739,0.0161,25
