Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.8047,0.8041,0.6672,0.1452,0.6685,0.1375,0.4407,1.0,15
Layer 1,1,0.8444,0.844,0.6904,0.1619,0.6916,0.154,0.4068,1.0,15
Layer 2,2,0.894,0.8943,0.7748,0.1543,0.7736,0.1192,0.4746,1.0,15
Layer 3,3,0.9338,0.9338,0.8377,0.1155,0.8373,0.0961,0.5763,1.0,15
Layer 4,4,0.9354,0.9356,0.8377,0.1108,0.8366,0.0977,0.6667,1.0,15
Layer 5,5,0.9437,0.9439,0.8311,0.1056,0.8302,0.1126,0.6102,1.0,15
Layer 6,6,0.9454,0.9454,0.8576,0.0862,0.8566,0.0878,0.661,1.0,15
Layer 7,7,0.9487,0.9485,0.8626,0.0798,0.8621,0.0861,0.7627,1.0,15
Layer 8,8,0.9537,0.9532,0.8593,0.0838,0.8593,0.0944,0.7458,1.0,15
Layer 9,9,0.9487,0.9485,0.8493,0.0807,0.8493,0.0994,0.7458,1.0,15
Layer 10,10,0.9586,0.9582,0.8675,0.0747,0.8672,0.0911,0.7627,1.0,15
Layer 11,11,0.9387,0.9386,0.8162,0.0757,0.816,0.1225,0.7037,1.0,15
Layer 12,12,0.9238,0.9239,0.798,0.1123,0.7977,0.1258,0.6102,1.0,15
Layer 13,13,0.9122,0.9114,0.7732,0.0952,0.7728,0.139,0.6111,1.0,15
Layer 14,14,0.9106,0.9102,0.7202,0.1124,0.7206,0.1904,0.5185,1.0,15
Layer 15,15,0.9006,0.8994,0.6987,0.1159,0.7004,0.2019,0.5556,1.0,15
Layer 16,16,0.9006,0.8995,0.6639,0.1456,0.6667,0.2367,0.4237,1.0,15
Layer 17,17,0.9139,0.9135,0.6523,0.1442,0.6555,0.2616,0.3559,1.0,15
Layer 18,18,0.9023,0.9022,0.6474,0.1406,0.6502,0.2549,0.4746,1.0,15
Layer 19,19,0.9007,0.9003,0.6159,0.1629,0.6181,0.2848,0.4237,1.0,15
Layer 20,20,0.899,0.8982,0.6209,0.1686,0.6214,0.2781,0.3519,1.0,15
Layer 21,21,0.8792,0.8785,0.5944,0.1655,0.597,0.2848,0.339,1.0,15
Layer 22,22,0.9023,0.9022,0.644,0.1741,0.6445,0.2583,0.3148,1.0,15
Layer 23,23,0.8974,0.8971,0.6291,0.1581,0.6303,0.2683,0.3889,1.0,15
Layer 24,24,0.8791,0.8788,0.6358,0.1545,0.6379,0.2433,0.3898,1.0,15
