Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.9121,0.9108,0.7645,0.069,0.7586,0.1476,0.6885,0.8947,10
Layer 1,1,0.9402,0.9394,0.8336,0.0587,0.8286,0.1066,0.7429,0.9474,10
Layer 2,2,0.9589,0.9588,0.9121,0.0295,0.911,0.0468,0.8571,0.971,10
Layer 3,3,0.9664,0.9662,0.9327,0.0326,0.9318,0.0337,0.9014,1.0,10
Layer 4,4,0.972,0.9719,0.9327,0.0373,0.9317,0.0393,0.8837,1.0,10
Layer 5,5,0.9738,0.9738,0.9159,0.0437,0.9152,0.0579,0.8421,0.971,10
Layer 6,6,0.9776,0.9775,0.9346,0.0428,0.9341,0.043,0.831,1.0,10
Layer 7,7,0.9757,0.9756,0.9327,0.0418,0.932,0.043,0.8451,0.9818,10
Layer 8,8,0.9794,0.9793,0.9364,0.044,0.9358,0.043,0.8451,1.0,10
Layer 9,9,0.985,0.985,0.9439,0.0364,0.9436,0.0411,0.8947,1.0,10
Layer 10,10,0.9832,0.9831,0.957,0.0374,0.9568,0.0262,0.8684,1.0,10
Layer 11,11,0.9888,0.9887,0.9682,0.0392,0.968,0.0206,0.8684,1.0,10
Layer 12,12,0.9832,0.983,0.9664,0.03,0.9663,0.0168,0.8947,1.0,10
Layer 13,13,0.9813,0.9812,0.9682,0.0318,0.9682,0.0131,0.8947,1.0,10
Layer 14,14,0.9776,0.9774,0.9607,0.0399,0.9607,0.0169,0.8684,1.0,10
Layer 15,15,0.972,0.9721,0.9551,0.0452,0.9554,0.0169,0.8421,1.0,10
Layer 16,16,0.972,0.9721,0.957,0.0365,0.957,0.015,0.8684,1.0,10
Layer 17,17,0.9682,0.9684,0.9514,0.0369,0.9513,0.0168,0.8684,1.0,10
Layer 18,18,0.9645,0.9645,0.9495,0.0314,0.9495,0.015,0.8947,1.0,10
Layer 19,19,0.9514,0.9508,0.9439,0.0437,0.9439,0.0075,0.8421,1.0,10
Layer 20,20,0.9495,0.9492,0.9421,0.045,0.9421,0.0074,0.8421,1.0,10
Layer 21,21,0.9607,0.9604,0.9495,0.0379,0.9496,0.0112,0.8684,1.0,10
Layer 22,22,0.9682,0.9679,0.9514,0.0453,0.9512,0.0168,0.8684,1.0,10
Layer 23,23,0.9645,0.9642,0.9421,0.0541,0.9418,0.0224,0.8158,1.0,10
Layer 24,24,0.9607,0.9606,0.9421,0.0536,0.9421,0.0186,0.8158,1.0,10
