Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.6628,0.662,0.6139,0.0343,0.6133,0.0489,0.5365,0.6562,10
Layer 1,1,0.6714,0.6712,0.6082,0.0252,0.6074,0.0632,0.5581,0.6504,10
Layer 2,2,0.6584,0.658,0.6066,0.0181,0.6062,0.0518,0.5808,0.6426,10
Layer 3,3,0.6643,0.664,0.6165,0.0365,0.6164,0.0478,0.5648,0.6953,10
Layer 4,4,0.6681,0.6679,0.6212,0.035,0.6207,0.0469,0.5763,0.7012,10
Layer 5,5,0.6747,0.6744,0.6286,0.0311,0.6284,0.0461,0.5763,0.7031,10
Layer 6,6,0.6751,0.6751,0.637,0.0308,0.6369,0.0381,0.5782,0.7051,10
Layer 7,7,0.6778,0.6777,0.6353,0.0304,0.6351,0.0425,0.5895,0.6865,10
Layer 8,8,0.6716,0.6717,0.6317,0.0319,0.6318,0.0399,0.565,0.6777,10
Layer 9,9,0.6778,0.678,0.6319,0.0289,0.6316,0.0459,0.5763,0.6895,10
Layer 10,10,0.6687,0.6685,0.6372,0.0275,0.6366,0.0315,0.58,0.6797,10
Layer 11,11,0.6709,0.6707,0.6368,0.032,0.6366,0.0341,0.5612,0.6855,10
Layer 12,12,0.6766,0.6768,0.6451,0.0332,0.6448,0.0315,0.5706,0.6934,10
Layer 13,13,0.6822,0.6821,0.656,0.0387,0.6561,0.0262,0.5932,0.7207,10
Layer 14,14,0.6806,0.6806,0.6491,0.0313,0.6489,0.0315,0.6108,0.7109,10
Layer 15,15,0.672,0.672,0.6493,0.0392,0.6488,0.0227,0.58,0.7055,10
Layer 16,16,0.6731,0.6732,0.6473,0.0334,0.6469,0.0258,0.5997,0.6992,10
Layer 17,17,0.672,0.6719,0.6471,0.0364,0.6467,0.0249,0.5897,0.7051,10
Layer 18,18,0.6705,0.6702,0.6425,0.0343,0.642,0.028,0.5864,0.6875,10
Layer 19,19,0.663,0.6629,0.6447,0.0297,0.6443,0.0183,0.5988,0.6914,10
Layer 20,20,0.652,0.6518,0.637,0.0335,0.6365,0.015,0.5782,0.6822,10
Layer 21,21,0.6555,0.6553,0.6438,0.0203,0.6434,0.0117,0.6158,0.6822,10
Layer 22,22,0.6652,0.6652,0.6509,0.0214,0.6508,0.0143,0.6229,0.7012,10
Layer 23,23,0.6581,0.6581,0.6465,0.03,0.6466,0.0116,0.5895,0.6863,10
Layer 24,24,0.6581,0.6581,0.6401,0.0155,0.6399,0.018,0.6177,0.6719,10
