Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.7866,0.7857,0.4153,0.1009,0.3958,0.3713,0.2976,0.55,6
Layer 1,1,0.8074,0.8075,0.4385,0.1105,0.4218,0.3689,0.3028,0.6167,6
Layer 2,2,0.8469,0.8465,0.4652,0.1285,0.4475,0.3817,0.3028,0.6667,6
Layer 3,3,0.8492,0.8486,0.4722,0.143,0.4564,0.377,0.3099,0.6667,6
Layer 4,4,0.8608,0.86,0.5023,0.1486,0.4863,0.3585,0.3403,0.7083,6
Layer 5,5,0.8678,0.867,0.5128,0.1431,0.5048,0.355,0.3333,0.6917,6
Layer 6,6,0.8701,0.8696,0.5186,0.1496,0.5109,0.3515,0.3125,0.6964,6
Layer 7,7,0.8701,0.8698,0.5441,0.1371,0.5336,0.326,0.375,0.7024,6
Layer 8,8,0.8782,0.8784,0.5592,0.1565,0.5556,0.319,0.3611,0.7619,6
Layer 9,9,0.8608,0.8601,0.5638,0.1675,0.5604,0.297,0.3542,0.7738,6
Layer 10,10,0.8666,0.8662,0.5847,0.174,0.5837,0.2819,0.3542,0.8333,6
Layer 11,11,0.8562,0.8553,0.58,0.1741,0.5784,0.2762,0.3403,0.8333,6
Layer 12,12,0.8516,0.8507,0.5708,0.1701,0.5692,0.2808,0.3333,0.8512,6
Layer 13,13,0.8527,0.8528,0.5708,0.1586,0.5683,0.2819,0.375,0.8214,6
Layer 14,14,0.8226,0.822,0.5615,0.159,0.5604,0.2611,0.3333,0.8036,6
Layer 15,15,0.8167,0.8155,0.5603,0.1552,0.5602,0.2564,0.3542,0.8214,6
Layer 16,16,0.7889,0.7887,0.536,0.153,0.5365,0.2529,0.3333,0.7798,6
Layer 17,17,0.768,0.7676,0.5151,0.1443,0.5138,0.2529,0.3472,0.756,6
Layer 18,18,0.7553,0.7544,0.5383,0.1541,0.5383,0.217,0.3472,0.7917,6
Layer 19,19,0.7088,0.7059,0.5035,0.1521,0.504,0.2053,0.3056,0.7381,6
Layer 20,20,0.7123,0.7118,0.5081,0.1466,0.5088,0.2042,0.3472,0.7679,6
Layer 21,21,0.7088,0.7069,0.4872,0.1387,0.4878,0.2216,0.3264,0.6964,6
Layer 22,22,0.7343,0.7336,0.5104,0.1487,0.5108,0.2239,0.3542,0.744,6
Layer 23,23,0.7031,0.7017,0.493,0.1467,0.4949,0.2101,0.3451,0.7381,6
Layer 24,24,0.6682,0.6671,0.4629,0.1742,0.462,0.2053,0.2746,0.7381,6
