Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.6029,0.5792,0.5601,0.1461,0.5388,0.0428,0.2308,0.9077,58
Layer 1,1,0.5952,0.5852,0.5603,0.1275,0.5513,0.0349,0.2549,0.8308,58
Layer 2,2,0.5784,0.5754,0.5135,0.1444,0.5179,0.0649,0.1455,0.8769,58
Layer 3,3,0.5731,0.5719,0.5168,0.1378,0.5244,0.0563,0.1455,0.8154,58
Layer 4,4,0.5579,0.558,0.5255,0.1218,0.5295,0.0324,0.2632,0.8026,58
Layer 5,5,0.5642,0.5645,0.517,0.1368,0.5225,0.0472,0.2115,0.803,58
Layer 6,6,0.5641,0.5652,0.5248,0.1179,0.5294,0.0393,0.2281,0.75,58
Layer 7,7,0.5754,0.5768,0.5408,0.1212,0.5453,0.0346,0.2787,0.7941,58
Layer 8,8,0.5706,0.5716,0.5301,0.1226,0.5358,0.0405,0.1967,0.791,58
Layer 9,9,0.5712,0.5728,0.529,0.1281,0.5338,0.0422,0.1311,0.8154,58
Layer 10,10,0.5697,0.5717,0.5345,0.124,0.5389,0.0352,0.2459,0.8,58
Layer 11,11,0.5757,0.5771,0.5461,0.1252,0.5498,0.0296,0.2787,0.8308,58
Layer 12,12,0.5681,0.5691,0.5476,0.1179,0.5503,0.0205,0.2868,0.8462,58
Layer 13,13,0.5563,0.5579,0.5538,0.1246,0.5565,0.0025,0.3077,0.798,58
Layer 14,14,0.5694,0.5714,0.5506,0.1268,0.5536,0.0188,0.3158,0.8923,58
Layer 15,15,0.5681,0.5686,0.5514,0.1267,0.5532,0.0167,0.3279,0.8923,58
Layer 16,16,0.5746,0.5761,0.5583,0.1166,0.5611,0.0163,0.3333,0.8276,58
Layer 17,17,0.5666,0.5686,0.5543,0.1209,0.5571,0.0123,0.2481,0.8,58
Layer 18,18,0.5656,0.5682,0.5503,0.1155,0.5549,0.0153,0.2946,0.8462,58
Layer 19,19,0.5697,0.5743,0.5536,0.1307,0.558,0.0161,0.2636,0.8727,58
Layer 20,20,0.5637,0.5675,0.5453,0.1366,0.5503,0.0184,0.2791,0.8769,58
Layer 21,21,0.5623,0.5668,0.5498,0.1142,0.5549,0.0125,0.3509,0.8769,58
Layer 22,22,0.5687,0.5717,0.5563,0.1224,0.5604,0.0124,0.3488,0.8545,58
Layer 23,23,0.5716,0.5729,0.5589,0.118,0.5623,0.0127,0.3178,0.7798,58
Layer 24,24,0.5746,0.5753,0.5618,0.1187,0.5641,0.0128,0.2881,0.8769,58
