Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.7271,0.7257,0.3958,0.1297,0.3931,0.3313,0.225,0.5833,4
Layer 1,1,0.7854,0.7835,0.4813,0.1403,0.4775,0.3041,0.325,0.6333,4
Layer 2,2,0.8271,0.827,0.4667,0.1239,0.4534,0.3604,0.3083,0.625,4
Layer 3,3,0.8646,0.8626,0.6062,0.1244,0.5881,0.2584,0.4083,0.75,4
Layer 4,4,0.8646,0.8624,0.6,0.144,0.5731,0.2646,0.3833,0.75,4
Layer 5,5,0.8688,0.8664,0.65,0.1388,0.6287,0.2188,0.45,0.7917,4
Layer 6,6,0.8833,0.8818,0.6458,0.1412,0.6254,0.2375,0.4167,0.7667,4
Layer 7,7,0.8896,0.8874,0.6646,0.113,0.6452,0.225,0.4833,0.775,4
Layer 8,8,0.8833,0.8831,0.6896,0.1362,0.6793,0.1937,0.4583,0.8,4
Layer 9,9,0.8833,0.8821,0.7125,0.1204,0.7023,0.1708,0.5083,0.8083,4
Layer 10,10,0.8708,0.8697,0.7229,0.0912,0.713,0.1479,0.5833,0.8083,4
Layer 11,11,0.8771,0.8747,0.7167,0.0979,0.7091,0.1604,0.55,0.8,4
Layer 12,12,0.8792,0.8778,0.7521,0.0793,0.7478,0.1271,0.6167,0.8083,4
Layer 13,13,0.8708,0.8695,0.7562,0.0647,0.7541,0.1146,0.675,0.85,4
Layer 14,14,0.8708,0.8708,0.7646,0.0767,0.7644,0.1062,0.6583,0.875,4
Layer 15,15,0.8625,0.8605,0.7958,0.0983,0.7928,0.0667,0.65,0.9083,4
Layer 16,16,0.875,0.8743,0.8021,0.0893,0.7992,0.0729,0.6583,0.9,4
Layer 17,17,0.8583,0.8574,0.8375,0.0834,0.835,0.0208,0.7,0.9083,4
Layer 18,18,0.8479,0.8472,0.8187,0.0805,0.8159,0.0292,0.6833,0.8833,4
Layer 19,19,0.8521,0.8518,0.8167,0.07,0.8134,0.0354,0.7,0.875,4
Layer 20,20,0.8521,0.8522,0.8271,0.0753,0.8243,0.025,0.7083,0.9,4
Layer 21,21,0.8542,0.8534,0.8187,0.0698,0.8153,0.0355,0.7167,0.8833,4
Layer 22,22,0.8667,0.8674,0.7875,0.1016,0.7807,0.0792,0.6167,0.8833,4
Layer 23,23,0.8396,0.8392,0.75,0.1113,0.7434,0.0896,0.575,0.8583,4
Layer 24,24,0.8104,0.8085,0.7479,0.1021,0.7407,0.0625,0.5833,0.8333,4
