Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.745,0.746,0.5646,0.1692,0.5679,0.1804,0.3333,0.8333,15
Layer 1,1,0.8146,0.8143,0.6341,0.1816,0.6357,0.1805,0.3333,1.0,15
Layer 2,2,0.8344,0.8339,0.6656,0.1489,0.6661,0.1688,0.4237,1.0,15
Layer 3,3,0.846,0.8461,0.6921,0.1676,0.6915,0.1539,0.3898,1.0,15
Layer 4,4,0.8708,0.8709,0.7185,0.148,0.7201,0.1523,0.4068,1.0,15
Layer 5,5,0.8791,0.8799,0.7268,0.1494,0.7271,0.1523,0.3898,1.0,15
Layer 6,6,0.8758,0.876,0.7384,0.1415,0.7369,0.1374,0.4746,1.0,15
Layer 7,7,0.8725,0.8727,0.7467,0.1199,0.7451,0.1258,0.5424,1.0,15
Layer 8,8,0.8874,0.8874,0.745,0.1124,0.7452,0.1424,0.5424,1.0,15
Layer 9,9,0.8907,0.8905,0.7235,0.1343,0.7238,0.1672,0.5,1.0,15
Layer 10,10,0.8774,0.8775,0.6904,0.1265,0.6923,0.187,0.5254,1.0,15
Layer 11,11,0.8708,0.8708,0.7152,0.1325,0.716,0.1556,0.5085,1.0,15
Layer 12,12,0.8725,0.8724,0.7086,0.1397,0.7085,0.1639,0.4915,1.0,15
Layer 13,13,0.8625,0.8629,0.707,0.1594,0.7052,0.1555,0.4717,1.0,15
Layer 14,14,0.8791,0.8792,0.7152,0.1348,0.715,0.1639,0.5254,1.0,15
Layer 15,15,0.8642,0.864,0.6738,0.1697,0.6715,0.1904,0.3729,1.0,15
Layer 16,16,0.8658,0.8657,0.6805,0.1556,0.6793,0.1853,0.4068,1.0,15
Layer 17,17,0.8675,0.8676,0.6871,0.1499,0.6862,0.1804,0.4407,1.0,15
Layer 18,18,0.8559,0.856,0.6937,0.1588,0.692,0.1622,0.4576,1.0,15
Layer 19,19,0.8609,0.8609,0.6589,0.159,0.6608,0.202,0.4237,1.0,15
Layer 20,20,0.8411,0.8413,0.654,0.1689,0.6537,0.1871,0.339,1.0,15
Layer 21,21,0.8278,0.8283,0.6209,0.1732,0.6203,0.2069,0.322,1.0,15
Layer 22,22,0.8278,0.8274,0.6358,0.1592,0.6377,0.192,0.4068,1.0,15
Layer 23,23,0.8179,0.817,0.606,0.1652,0.6087,0.2119,0.3729,1.0,15
Layer 24,24,0.8096,0.8097,0.6076,0.1738,0.6097,0.202,0.3519,1.0,15
