Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.8598,0.8575,0.7028,0.0898,0.6961,0.157,0.5634,0.8684,10
Layer 1,1,0.9121,0.9115,0.8355,0.0664,0.8342,0.0766,0.7324,0.9211,10
Layer 2,2,0.9121,0.9105,0.8336,0.0617,0.8316,0.0785,0.7209,0.898,10
Layer 3,3,0.9346,0.9336,0.8636,0.0342,0.8605,0.071,0.8286,0.942,10
Layer 4,4,0.929,0.9285,0.8617,0.0555,0.8581,0.0673,0.7429,0.942,10
Layer 5,5,0.9439,0.9434,0.8935,0.0532,0.8914,0.0504,0.7895,0.9655,10
Layer 6,6,0.9607,0.9603,0.9103,0.0503,0.9083,0.0504,0.8182,0.971,10
Layer 7,7,0.9607,0.9599,0.9103,0.0459,0.9082,0.0504,0.8182,0.971,10
Layer 8,8,0.9533,0.9532,0.9009,0.0449,0.8992,0.0524,0.8,0.9565,10
Layer 9,9,0.9495,0.949,0.9047,0.0434,0.903,0.0448,0.8182,0.9565,10
Layer 10,10,0.9495,0.9493,0.9103,0.039,0.9091,0.0392,0.8182,0.9565,10
Layer 11,11,0.9551,0.9549,0.8991,0.0362,0.8972,0.056,0.8182,0.9483,10
Layer 12,12,0.957,0.9565,0.9047,0.0309,0.9027,0.0523,0.8364,0.942,10
Layer 13,13,0.9477,0.947,0.8897,0.0368,0.887,0.058,0.8182,0.9565,10
Layer 14,14,0.9458,0.9453,0.8841,0.0481,0.8827,0.0617,0.8163,0.9655,10
Layer 15,15,0.9439,0.9431,0.8841,0.0511,0.8825,0.0598,0.8,0.9464,10
Layer 16,16,0.9402,0.9398,0.8804,0.0504,0.8788,0.0598,0.8,0.9483,10
Layer 17,17,0.9495,0.949,0.8897,0.0498,0.8884,0.0598,0.8169,0.9655,10
Layer 18,18,0.9458,0.9449,0.8804,0.0443,0.8786,0.0654,0.8028,0.9483,10
Layer 19,19,0.9383,0.9377,0.871,0.056,0.8685,0.0673,0.7465,0.9474,10
Layer 20,20,0.9327,0.9325,0.8617,0.0573,0.859,0.071,0.7606,0.9565,10
Layer 21,21,0.9215,0.9204,0.8598,0.0651,0.8569,0.0617,0.7455,0.9565,10
Layer 22,22,0.9159,0.915,0.8561,0.0537,0.8543,0.0598,0.7636,0.9211,10
Layer 23,23,0.9009,0.9,0.8486,0.053,0.8472,0.0523,0.7746,0.931,10
Layer 24,24,0.9028,0.9021,0.8486,0.056,0.847,0.0542,0.7818,0.931,10
