Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.6218,0.6215,0.5674,0.0213,0.5662,0.0544,0.5424,0.6074,10
Layer 1,1,0.6421,0.6421,0.5872,0.0407,0.586,0.0549,0.5119,0.6494,10
Layer 2,2,0.6522,0.6519,0.5927,0.0313,0.5918,0.0595,0.5365,0.6465,10
Layer 3,3,0.648,0.6477,0.5938,0.0352,0.5933,0.0542,0.5356,0.6699,10
Layer 4,4,0.6452,0.6449,0.5788,0.0312,0.5771,0.0664,0.5316,0.6367,10
Layer 5,5,0.6496,0.6496,0.5766,0.0382,0.5759,0.073,0.5216,0.6445,10
Layer 6,6,0.6484,0.648,0.585,0.0322,0.5843,0.0634,0.5405,0.6562,10
Layer 7,7,0.6452,0.6451,0.5885,0.0257,0.5879,0.0567,0.5542,0.6384,10
Layer 8,8,0.6436,0.6433,0.5949,0.0394,0.5942,0.0487,0.5316,0.668,10
Layer 9,9,0.6504,0.65,0.5936,0.0374,0.5928,0.0568,0.5382,0.6738,10
Layer 10,10,0.635,0.635,0.5912,0.0405,0.5905,0.0438,0.5266,0.6816,10
Layer 11,11,0.6266,0.6261,0.5848,0.0366,0.5842,0.0418,0.5297,0.6406,10
Layer 12,12,0.6278,0.6275,0.5788,0.0354,0.5785,0.049,0.5297,0.627,10
Layer 13,13,0.6341,0.634,0.5839,0.0332,0.5829,0.0502,0.5266,0.6484,10
Layer 14,14,0.6189,0.6188,0.5668,0.0362,0.5659,0.0521,0.5068,0.6484,10
Layer 15,15,0.6253,0.6251,0.5603,0.0264,0.5591,0.065,0.5282,0.6133,10
Layer 16,16,0.6251,0.625,0.5645,0.029,0.5637,0.0606,0.5266,0.627,10
Layer 17,17,0.6229,0.6227,0.5619,0.0297,0.5612,0.061,0.515,0.6348,10
Layer 18,18,0.6084,0.6081,0.5632,0.0268,0.5626,0.0452,0.5339,0.627,10
Layer 19,19,0.6081,0.6078,0.5518,0.0264,0.5507,0.0563,0.5169,0.6172,10
Layer 20,20,0.604,0.6036,0.5615,0.0319,0.5605,0.0425,0.524,0.6367,10
Layer 21,21,0.606,0.6056,0.5562,0.0233,0.5557,0.0498,0.5266,0.6152,10
Layer 22,22,0.5908,0.5905,0.5467,0.023,0.5459,0.0441,0.5,0.5814,10
Layer 23,23,0.6007,0.6003,0.5529,0.027,0.5523,0.0478,0.4852,0.5768,10
Layer 24,24,0.6022,0.6019,0.5575,0.0276,0.5567,0.0447,0.5042,0.5879,10
