Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.6659,0.6647,0.3492,0.1027,0.341,0.3167,0.1736,0.4833,6
Layer 1,1,0.7622,0.761,0.3852,0.1278,0.3682,0.377,0.2222,0.5333,6
Layer 2,2,0.8179,0.8167,0.449,0.1222,0.4307,0.3689,0.2986,0.6,6
Layer 3,3,0.8411,0.8409,0.4606,0.1024,0.4441,0.3805,0.3194,0.6,6
Layer 4,4,0.8399,0.8394,0.5012,0.1044,0.4877,0.3387,0.3732,0.6417,6
Layer 5,5,0.8573,0.8574,0.5035,0.1066,0.4851,0.3538,0.3803,0.6333,6
Layer 6,6,0.8492,0.8489,0.507,0.1129,0.4913,0.3422,0.3611,0.65,6
Layer 7,7,0.8689,0.8686,0.5452,0.0987,0.5311,0.3237,0.4155,0.675,6
Layer 8,8,0.8562,0.8564,0.5232,0.1003,0.5119,0.333,0.4085,0.6583,6
Layer 9,9,0.84,0.8397,0.507,0.0974,0.4878,0.333,0.3889,0.6417,6
Layer 10,10,0.8353,0.8352,0.5012,0.0752,0.4811,0.3341,0.4155,0.5952,6
Layer 11,11,0.8237,0.8241,0.4849,0.0947,0.4646,0.3388,0.3803,0.6083,6
Layer 12,12,0.8249,0.8249,0.478,0.099,0.4538,0.3469,0.3451,0.6,6
Layer 13,13,0.8365,0.8357,0.493,0.0956,0.4757,0.3435,0.3732,0.6333,6
Layer 14,14,0.8249,0.824,0.4687,0.1188,0.4438,0.3562,0.2958,0.6167,6
Layer 15,15,0.8399,0.8391,0.4594,0.103,0.433,0.3805,0.338,0.5917,6
Layer 16,16,0.8156,0.8149,0.4443,0.1119,0.4165,0.3713,0.2986,0.5833,6
Layer 17,17,0.8016,0.8,0.4513,0.0981,0.4245,0.3503,0.3264,0.5595,6
Layer 18,18,0.8132,0.8131,0.4385,0.1155,0.4164,0.3747,0.2708,0.5595,6
Layer 19,19,0.7912,0.7899,0.4408,0.1065,0.4185,0.3504,0.2708,0.5595,6
Layer 20,20,0.7993,0.7983,0.4304,0.0981,0.4083,0.3689,0.3056,0.5714,6
Layer 21,21,0.8074,0.8072,0.4339,0.0976,0.4148,0.3735,0.338,0.5833,6
Layer 22,22,0.8039,0.8029,0.42,0.0956,0.4006,0.3839,0.3099,0.5714,6
Layer 23,23,0.7866,0.7859,0.4246,0.092,0.4067,0.362,0.3239,0.5774,6
Layer 24,24,0.7923,0.7916,0.4223,0.0989,0.4014,0.37,0.3099,0.5714,6
