Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.5967,0.5757,0.5629,0.1328,0.542,0.0338,0.2059,0.8615,58
Layer 1,1,0.5776,0.57,0.5463,0.1268,0.5391,0.0313,0.2941,0.8308,58
Layer 2,2,0.5727,0.5685,0.5293,0.1215,0.5291,0.0434,0.3269,0.8308,58
Layer 3,3,0.5654,0.5626,0.5205,0.1375,0.5258,0.0449,0.2549,0.8462,58
Layer 4,4,0.5641,0.5643,0.523,0.1352,0.5313,0.0411,0.2115,0.803,58
Layer 5,5,0.5652,0.5661,0.5206,0.1182,0.5261,0.0446,0.25,0.8154,58
Layer 6,6,0.5573,0.5578,0.5315,0.1277,0.5337,0.0258,0.2692,0.8308,58
Layer 7,7,0.5579,0.5595,0.5223,0.1343,0.5282,0.0356,0.2115,0.8462,58
Layer 8,8,0.5608,0.5607,0.5265,0.1225,0.5292,0.0343,0.25,0.8,58
Layer 9,9,0.5636,0.5635,0.527,0.1204,0.5315,0.0366,0.2794,0.8545,58
Layer 10,10,0.5581,0.5582,0.5271,0.1263,0.532,0.031,0.2206,0.8769,58
Layer 11,11,0.5541,0.5543,0.525,0.1211,0.5296,0.0291,0.2059,0.8,58
Layer 12,12,0.5671,0.5668,0.528,0.1149,0.5323,0.0391,0.2353,0.8182,58
Layer 13,13,0.5598,0.5603,0.5163,0.1341,0.5215,0.0435,0.1731,0.8308,58
Layer 14,14,0.5598,0.5593,0.5123,0.1196,0.5165,0.0475,0.25,0.7565,58
Layer 15,15,0.5608,0.5623,0.497,0.1252,0.5035,0.0638,0.1923,0.7818,58
Layer 16,16,0.5589,0.5612,0.5095,0.1236,0.5167,0.0494,0.2115,0.8182,58
Layer 17,17,0.5504,0.5529,0.5043,0.1198,0.5111,0.0461,0.1923,0.7206,58
Layer 18,18,0.5526,0.5543,0.5012,0.1212,0.5068,0.0514,0.2885,0.8,58
Layer 19,19,0.5451,0.5478,0.5135,0.126,0.5211,0.0316,0.2456,0.7829,58
Layer 20,20,0.5528,0.5542,0.5002,0.1265,0.5082,0.0526,0.1618,0.8615,58
Layer 21,21,0.5428,0.5453,0.5047,0.1327,0.5096,0.0381,0.1765,0.8462,58
Layer 22,22,0.5436,0.5449,0.5008,0.1312,0.5062,0.0428,0.1912,0.8923,58
Layer 23,23,0.5454,0.5461,0.4973,0.1331,0.5031,0.0481,0.1618,0.8308,58
Layer 24,24,0.5431,0.541,0.5025,0.1329,0.5063,0.0406,0.1765,0.8769,58
