Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.8398,0.8405,0.4637,0.0982,0.4633,0.3761,0.25,0.6333,24
Layer 1,1,0.8731,0.8732,0.487,0.12,0.4864,0.3861,0.2083,0.7167,24
Layer 2,2,0.8964,0.8963,0.5734,0.1293,0.5741,0.323,0.35,0.8667,24
Layer 3,3,0.9115,0.9116,0.6131,0.1101,0.6136,0.2984,0.4167,0.8417,24
Layer 4,4,0.9219,0.9221,0.6192,0.1229,0.6204,0.3027,0.3667,0.8667,24
Layer 5,5,0.9283,0.9284,0.6541,0.1264,0.656,0.2742,0.3333,0.8833,24
Layer 6,6,0.9275,0.9274,0.6671,0.1231,0.6694,0.2604,0.2833,0.9,24
Layer 7,7,0.9404,0.9403,0.6952,0.1262,0.6966,0.2452,0.3333,0.9,24
Layer 8,8,0.9374,0.9375,0.6801,0.116,0.6815,0.2573,0.3833,0.9,24
Layer 9,9,0.9421,0.9421,0.677,0.101,0.6778,0.2651,0.3833,0.8667,24
Layer 10,10,0.9387,0.9386,0.6891,0.111,0.689,0.2496,0.35,0.85,24
Layer 11,11,0.9374,0.9374,0.6878,0.116,0.688,0.2496,0.3833,0.9167,24
Layer 12,12,0.9352,0.9351,0.6701,0.1151,0.6704,0.2651,0.3167,0.9167,24
Layer 13,13,0.9383,0.9383,0.6559,0.1201,0.6559,0.2824,0.3667,0.8833,24
Layer 14,14,0.9439,0.9439,0.6667,0.1111,0.667,0.2772,0.35,0.8667,24
Layer 15,15,0.9413,0.9414,0.674,0.1211,0.6756,0.2673,0.35,0.8833,24
Layer 16,16,0.943,0.9435,0.655,0.1141,0.656,0.288,0.4,0.85,24
Layer 17,17,0.9404,0.9408,0.6606,0.1256,0.6609,0.2798,0.3333,0.85,24
Layer 18,18,0.927,0.927,0.6563,0.1117,0.6562,0.2707,0.3667,0.8333,24
Layer 19,19,0.9331,0.9331,0.6585,0.1172,0.6587,0.2746,0.35,0.8333,24
Layer 20,20,0.9223,0.9224,0.6459,0.1289,0.6466,0.2764,0.3167,0.85,24
Layer 21,21,0.9244,0.9245,0.6615,0.1199,0.6622,0.2629,0.3667,0.875,24
Layer 22,22,0.9206,0.9206,0.6425,0.1211,0.6428,0.2781,0.4333,0.8667,24
Layer 23,23,0.9115,0.9118,0.6295,0.128,0.6298,0.282,0.3667,0.85,24
Layer 24,24,0.9098,0.91,0.6192,0.135,0.6195,0.2906,0.3333,0.8167,24
