Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.6521,0.6467,0.3521,0.139,0.348,0.3,0.1333,0.4917,4
Layer 1,1,0.7104,0.7037,0.4396,0.1919,0.4343,0.2708,0.2333,0.6917,4
Layer 2,2,0.7562,0.7513,0.4854,0.1516,0.48,0.2708,0.3,0.6833,4
Layer 3,3,0.7229,0.7195,0.4792,0.179,0.4859,0.2437,0.2417,0.725,4
Layer 4,4,0.7646,0.7601,0.5208,0.204,0.5334,0.2438,0.2167,0.7417,4
Layer 5,5,0.7875,0.7856,0.5229,0.1698,0.5126,0.2646,0.275,0.7,4
Layer 6,6,0.7896,0.787,0.5312,0.1681,0.5237,0.2584,0.275,0.725,4
Layer 7,7,0.7729,0.7708,0.5396,0.1771,0.5363,0.2333,0.2833,0.7583,4
Layer 8,8,0.7771,0.7756,0.5458,0.1815,0.534,0.2313,0.275,0.775,4
Layer 9,9,0.7646,0.7623,0.5542,0.1974,0.5385,0.2104,0.2583,0.775,4
Layer 10,10,0.7833,0.7799,0.5437,0.196,0.5329,0.2396,0.2417,0.7583,4
Layer 11,11,0.7875,0.7868,0.5437,0.1761,0.5255,0.2438,0.2667,0.7417,4
Layer 12,12,0.7625,0.7606,0.5583,0.1962,0.5438,0.2042,0.25,0.775,4
Layer 13,13,0.7625,0.7608,0.5437,0.1833,0.5272,0.2188,0.25,0.725,4
Layer 14,14,0.7667,0.7639,0.5375,0.1816,0.52,0.2292,0.25,0.7167,4
Layer 15,15,0.7333,0.7324,0.5188,0.1732,0.4962,0.2145,0.25,0.6833,4
Layer 16,16,0.7271,0.7268,0.5354,0.1935,0.5185,0.1917,0.25,0.7333,4
Layer 17,17,0.7271,0.7243,0.5188,0.1789,0.496,0.2083,0.2583,0.7083,4
Layer 18,18,0.7271,0.7255,0.5229,0.2102,0.5102,0.2042,0.1917,0.7167,4
Layer 19,19,0.7229,0.7189,0.525,0.2088,0.5067,0.1979,0.2083,0.725,4
Layer 20,20,0.7146,0.7125,0.5125,0.1972,0.497,0.2021,0.2167,0.6917,4
Layer 21,21,0.6938,0.6909,0.5,0.1908,0.4827,0.1937,0.2417,0.6833,4
Layer 22,22,0.6958,0.6927,0.4979,0.2001,0.4777,0.1979,0.2583,0.7,4
Layer 23,23,0.675,0.6702,0.4958,0.2108,0.48,0.1792,0.2417,0.7083,4
Layer 24,24,0.6896,0.6868,0.4958,0.2145,0.4874,0.1938,0.2167,0.7167,4
