Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.8113,0.8114,0.6705,0.144,0.6729,0.1408,0.4407,1.0,15
Layer 1,1,0.8642,0.8641,0.7368,0.1372,0.7397,0.1274,0.5,1.0,15
Layer 2,2,0.8758,0.8755,0.7483,0.1251,0.7482,0.1275,0.5085,1.0,15
Layer 3,3,0.899,0.8989,0.8046,0.1321,0.8054,0.0944,0.5,1.0,15
Layer 4,4,0.9189,0.9185,0.8195,0.1034,0.8193,0.0994,0.6271,1.0,15
Layer 5,5,0.9255,0.9253,0.8444,0.097,0.8441,0.0811,0.6441,1.0,15
Layer 6,6,0.9454,0.9451,0.8692,0.0625,0.8692,0.0762,0.7119,1.0,15
Layer 7,7,0.947,0.9468,0.8626,0.0867,0.8628,0.0844,0.6667,1.0,15
Layer 8,8,0.9404,0.9398,0.8543,0.0797,0.854,0.0861,0.6949,1.0,15
Layer 9,9,0.9504,0.9502,0.8659,0.0689,0.8657,0.0845,0.7627,1.0,15
Layer 10,10,0.9421,0.9417,0.8626,0.0874,0.8625,0.0795,0.6667,1.0,15
Layer 11,11,0.9421,0.9417,0.8278,0.0933,0.8277,0.1143,0.6667,1.0,15
Layer 12,12,0.9338,0.9335,0.8162,0.1161,0.8149,0.1176,0.5556,1.0,15
Layer 13,13,0.9222,0.9216,0.7897,0.1166,0.7894,0.1325,0.5556,1.0,15
Layer 14,14,0.9321,0.9317,0.7765,0.1216,0.7759,0.1556,0.5,1.0,15
Layer 15,15,0.9255,0.9254,0.755,0.1205,0.753,0.1705,0.5,1.0,15
Layer 16,16,0.9239,0.9237,0.7384,0.1405,0.7378,0.1855,0.4444,1.0,15
Layer 17,17,0.909,0.9089,0.7219,0.1534,0.7199,0.1871,0.3519,1.0,15
Layer 18,18,0.914,0.9139,0.7235,0.1497,0.7226,0.1905,0.3704,1.0,15
Layer 19,19,0.9023,0.9026,0.7053,0.1608,0.7063,0.197,0.4074,1.0,15
Layer 20,20,0.9073,0.9072,0.6921,0.1484,0.6921,0.2152,0.4444,1.0,15
Layer 21,21,0.9056,0.906,0.6921,0.1515,0.6924,0.2135,0.4074,1.0,15
Layer 22,22,0.8874,0.887,0.6722,0.1321,0.6755,0.2152,0.4259,1.0,15
Layer 23,23,0.8874,0.8868,0.654,0.1602,0.6543,0.2334,0.3519,1.0,15
Layer 24,24,0.8874,0.8863,0.6606,0.1499,0.6623,0.2268,0.4074,1.0,15
