Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.8879,0.8862,0.7664,0.0577,0.7603,0.1215,0.7143,0.8947,10
Layer 1,1,0.9458,0.9455,0.843,0.0629,0.841,0.1028,0.7429,0.971,10
Layer 2,2,0.9626,0.9624,0.914,0.0406,0.9132,0.0486,0.8367,0.971,10
Layer 3,3,0.9738,0.9737,0.9308,0.038,0.9305,0.043,0.8684,0.9855,10
Layer 4,4,0.9757,0.9756,0.9402,0.0277,0.9397,0.0355,0.8776,0.9855,10
Layer 5,5,0.9794,0.9793,0.9421,0.0314,0.9414,0.0373,0.907,1.0,10
Layer 6,6,0.9813,0.9812,0.9607,0.0209,0.9606,0.0206,0.9388,1.0,10
Layer 7,7,0.9813,0.9812,0.9458,0.0342,0.9458,0.0355,0.898,1.0,10
Layer 8,8,0.9869,0.9869,0.9458,0.0306,0.9457,0.0411,0.9014,1.0,10
Layer 9,9,0.9794,0.9795,0.9533,0.0373,0.9532,0.0261,0.8947,1.0,10
Layer 10,10,0.985,0.9849,0.9551,0.0273,0.9551,0.0299,0.9155,1.0,10
Layer 11,11,0.9776,0.9776,0.9514,0.03,0.9512,0.0262,0.898,1.0,10
Layer 12,12,0.9776,0.9774,0.9551,0.0307,0.9547,0.0225,0.9016,1.0,10
Layer 13,13,0.9701,0.97,0.9477,0.0298,0.9473,0.0224,0.9016,1.0,10
Layer 14,14,0.9682,0.968,0.9458,0.0259,0.9454,0.0224,0.9016,0.9855,10
Layer 15,15,0.9664,0.9663,0.9439,0.0351,0.9435,0.0225,0.8684,1.0,10
Layer 16,16,0.9589,0.9588,0.9439,0.0363,0.9434,0.015,0.8929,1.0,10
Layer 17,17,0.9645,0.9643,0.9439,0.0321,0.9436,0.0206,0.8929,1.0,10
Layer 18,18,0.9701,0.9699,0.9421,0.0394,0.9418,0.028,0.8684,0.9855,10
Layer 19,19,0.9682,0.9679,0.9421,0.0268,0.9416,0.0261,0.9016,0.9818,10
Layer 20,20,0.9664,0.9661,0.9402,0.0327,0.9398,0.0262,0.8852,0.9818,10
Layer 21,21,0.9589,0.9586,0.9308,0.0286,0.9308,0.0281,0.8929,0.9818,10
Layer 22,22,0.957,0.9566,0.9215,0.0356,0.921,0.0355,0.8421,0.9714,10
Layer 23,23,0.9477,0.9471,0.9159,0.0503,0.9155,0.0318,0.7895,0.9714,10
Layer 24,24,0.9477,0.947,0.9196,0.0498,0.9193,0.0281,0.7895,0.9714,10
