Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.6542,0.6535,0.6057,0.0312,0.6048,0.0485,0.5648,0.662,10
Layer 1,1,0.6661,0.666,0.6099,0.0309,0.6095,0.0562,0.5725,0.668,10
Layer 2,2,0.6817,0.6815,0.6249,0.0273,0.6243,0.0568,0.5831,0.6699,10
Layer 3,3,0.6742,0.6741,0.633,0.0218,0.6328,0.0412,0.6081,0.6679,10
Layer 4,4,0.6639,0.6638,0.6249,0.026,0.6248,0.039,0.5857,0.6621,10
Layer 5,5,0.669,0.6688,0.63,0.0295,0.6298,0.039,0.5593,0.6661,10
Layer 6,6,0.6727,0.6727,0.6317,0.0312,0.6314,0.041,0.58,0.69,10
Layer 7,7,0.6692,0.6695,0.6348,0.0298,0.6346,0.0344,0.5913,0.6993,10
Layer 8,8,0.6769,0.6773,0.6419,0.023,0.6419,0.035,0.5989,0.6845,10
Layer 9,9,0.6817,0.6817,0.6639,0.0383,0.664,0.0178,0.5951,0.7214,10
Layer 10,10,0.6848,0.6846,0.6526,0.0356,0.652,0.0322,0.6008,0.7214,10
Layer 11,11,0.6832,0.6831,0.6474,0.0319,0.6472,0.0358,0.6026,0.7048,10
Layer 12,12,0.6819,0.6819,0.6555,0.0244,0.6554,0.0264,0.6287,0.7159,10
Layer 13,13,0.6841,0.6841,0.6529,0.0377,0.6525,0.0312,0.5782,0.714,10
Layer 14,14,0.6833,0.6834,0.6487,0.0301,0.6484,0.0346,0.5932,0.7048,10
Layer 15,15,0.6791,0.6793,0.6505,0.036,0.6505,0.0286,0.5876,0.7103,10
Layer 16,16,0.6852,0.6851,0.6634,0.0334,0.663,0.0218,0.6177,0.7399,10
Layer 17,17,0.6857,0.6858,0.6654,0.0302,0.6654,0.0203,0.6215,0.7159,10
Layer 18,18,0.6802,0.6801,0.6495,0.0307,0.6492,0.0307,0.6064,0.7066,10
Layer 19,19,0.6835,0.6833,0.6579,0.0286,0.6577,0.0256,0.6196,0.7306,10
Layer 20,20,0.674,0.6738,0.659,0.0318,0.6586,0.015,0.6083,0.7177,10
Layer 21,21,0.6848,0.6847,0.6672,0.0308,0.6669,0.0176,0.6168,0.7012,10
Layer 22,22,0.6892,0.6895,0.672,0.0303,0.6718,0.0172,0.6248,0.7148,10
Layer 23,23,0.6733,0.6733,0.648,0.0312,0.6475,0.0253,0.5968,0.7119,10
Layer 24,24,0.6663,0.6664,0.643,0.0292,0.6428,0.0233,0.5932,0.69,10
