Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.7796,0.7785,0.4176,0.1097,0.3993,0.362,0.2778,0.5476,6
Layer 1,1,0.8631,0.8633,0.4954,0.1305,0.4697,0.3677,0.3451,0.6833,6
Layer 2,2,0.8979,0.8975,0.5151,0.1437,0.49,0.3828,0.3662,0.7417,6
Layer 3,3,0.8921,0.8915,0.529,0.1344,0.5091,0.3631,0.3681,0.725,6
Layer 4,4,0.8956,0.8954,0.5371,0.1366,0.5195,0.3585,0.3681,0.7417,6
Layer 5,5,0.9107,0.9104,0.529,0.1284,0.511,0.3817,0.3542,0.6833,6
Layer 6,6,0.9096,0.9094,0.5812,0.1266,0.568,0.3284,0.4167,0.725,6
Layer 7,7,0.9246,0.9245,0.5974,0.1469,0.585,0.3272,0.4097,0.7798,6
Layer 8,8,0.9154,0.9148,0.6079,0.1497,0.5987,0.3075,0.4236,0.8083,6
Layer 9,9,0.8991,0.899,0.6056,0.1758,0.5994,0.2935,0.3958,0.8393,6
Layer 10,10,0.8829,0.8822,0.6009,0.167,0.5963,0.282,0.3958,0.8512,6
Layer 11,11,0.8817,0.8808,0.6218,0.1525,0.6172,0.2599,0.4236,0.8571,6
Layer 12,12,0.8666,0.8655,0.6032,0.1699,0.6011,0.2634,0.4028,0.8452,6
Layer 13,13,0.8411,0.84,0.5951,0.1658,0.5939,0.246,0.4028,0.8512,6
Layer 14,14,0.8144,0.813,0.5789,0.1491,0.5779,0.2355,0.4167,0.8095,6
Layer 15,15,0.8051,0.8044,0.5858,0.1315,0.585,0.2193,0.4514,0.7857,6
Layer 16,16,0.804,0.8035,0.5882,0.1238,0.5877,0.2158,0.4718,0.8036,6
Layer 17,17,0.7982,0.7977,0.6044,0.0999,0.6039,0.1938,0.5069,0.7619,6
Layer 18,18,0.797,0.7961,0.5963,0.1198,0.5961,0.2007,0.4718,0.7679,6
Layer 19,19,0.7936,0.7925,0.5905,0.1341,0.5897,0.2031,0.4507,0.7976,6
Layer 20,20,0.7761,0.7764,0.5568,0.1331,0.5566,0.2193,0.3944,0.7917,6
Layer 21,21,0.7715,0.7703,0.5661,0.1331,0.5657,0.2054,0.4085,0.7798,6
Layer 22,22,0.7633,0.7622,0.5557,0.1375,0.5551,0.2076,0.338,0.7619,6
Layer 23,23,0.7402,0.7393,0.5441,0.1345,0.544,0.1961,0.3944,0.7976,6
Layer 24,24,0.7297,0.7291,0.5406,0.1295,0.5415,0.1891,0.3592,0.7679,6
