Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.6069,0.5826,0.5641,0.1389,0.5435,0.0428,0.2881,0.8364,58
Layer 1,1,0.5856,0.5764,0.5345,0.1347,0.5316,0.0511,0.2131,0.7783,58
Layer 2,2,0.5756,0.5723,0.5283,0.1216,0.5293,0.0473,0.2787,0.7763,58
Layer 3,3,0.5676,0.5672,0.53,0.1373,0.5329,0.0376,0.1207,0.8615,58
Layer 4,4,0.5687,0.5715,0.5097,0.1577,0.52,0.059,0.1311,0.8923,58
Layer 5,5,0.5617,0.564,0.5283,0.1471,0.5343,0.0334,0.1803,0.8462,58
Layer 6,6,0.5691,0.5721,0.5266,0.1333,0.5321,0.0425,0.2903,0.8073,58
Layer 7,7,0.5654,0.5676,0.5316,0.1323,0.5354,0.0338,0.2807,0.8615,58
Layer 8,8,0.5617,0.5629,0.5355,0.1352,0.5388,0.0262,0.2182,0.8615,58
Layer 9,9,0.5681,0.5688,0.5383,0.116,0.5405,0.0298,0.3333,0.8,58
Layer 10,10,0.5617,0.5633,0.5476,0.1306,0.5498,0.0141,0.25,0.7885,58
Layer 11,11,0.5626,0.5643,0.5411,0.1364,0.5432,0.0215,0.209,0.8154,58
Layer 12,12,0.5726,0.5741,0.5446,0.1227,0.5483,0.028,0.2237,0.8522,58
Layer 13,13,0.5581,0.5587,0.5399,0.1163,0.5434,0.0182,0.2763,0.7846,58
Layer 14,14,0.5529,0.5557,0.5449,0.1237,0.5488,0.008,0.2982,0.8308,58
Layer 15,15,0.5597,0.5619,0.5439,0.1228,0.5485,0.0158,0.2885,0.8308,58
Layer 16,16,0.5651,0.5671,0.5563,0.1263,0.5599,0.0088,0.3051,0.8308,58
Layer 17,17,0.5689,0.5714,0.5629,0.1194,0.5671,0.006,0.3077,0.8227,58
Layer 18,18,0.5677,0.5715,0.5631,0.1237,0.5675,0.0046,0.3158,0.8462,58
Layer 19,19,0.5736,0.5769,0.5548,0.1307,0.5616,0.0188,0.2807,0.8923,58
Layer 20,20,0.5796,0.5814,0.5549,0.1286,0.5589,0.0247,0.2632,0.8165,58
Layer 21,21,0.5679,0.5713,0.5481,0.1265,0.5538,0.0198,0.2982,0.8308,58
Layer 22,22,0.5866,0.5867,0.5656,0.1244,0.5681,0.021,0.3023,0.8923,58
Layer 23,23,0.5752,0.5765,0.5569,0.1247,0.5595,0.0183,0.2791,0.9231,58
Layer 24,24,0.5732,0.5745,0.5561,0.1131,0.5587,0.0171,0.3333,0.9231,58
