Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.8623,0.8627,0.5009,0.1027,0.504,0.3614,0.2167,0.7333,24
Layer 1,1,0.9292,0.9292,0.6239,0.1238,0.6259,0.3053,0.2833,0.8417,24
Layer 2,2,0.9335,0.9335,0.671,0.1056,0.6737,0.2625,0.3833,0.9,24
Layer 3,3,0.9499,0.9502,0.6956,0.1177,0.6988,0.2543,0.3667,0.9,24
Layer 4,4,0.9529,0.9529,0.725,0.1131,0.7266,0.2279,0.3833,0.9167,24
Layer 5,5,0.9542,0.9542,0.7327,0.121,0.7358,0.2215,0.35,0.8833,24
Layer 6,6,0.9607,0.9608,0.7694,0.108,0.7693,0.1913,0.5,0.9333,24
Layer 7,7,0.9616,0.9616,0.7699,0.1128,0.77,0.1917,0.4833,0.9271,24
Layer 8,8,0.9603,0.9603,0.7832,0.1034,0.7845,0.1771,0.5333,0.9792,24
Layer 9,9,0.9663,0.9663,0.7962,0.0973,0.7977,0.1701,0.55,0.9062,24
Layer 10,10,0.9702,0.9702,0.7979,0.1094,0.7996,0.1723,0.55,0.9583,24
Layer 11,11,0.9663,0.9664,0.8014,0.1037,0.8018,0.1649,0.5583,0.9375,24
Layer 12,12,0.9698,0.9699,0.7988,0.1035,0.7996,0.171,0.55,0.9167,24
Layer 13,13,0.9693,0.9694,0.8027,0.1143,0.8036,0.1666,0.525,0.9333,24
Layer 14,14,0.9672,0.9673,0.7854,0.1086,0.7855,0.1818,0.55,0.9333,24
Layer 15,15,0.9672,0.9673,0.7807,0.1208,0.7811,0.1865,0.4833,0.925,24
Layer 16,16,0.9655,0.9656,0.7936,0.115,0.7944,0.1719,0.5333,0.9333,24
Layer 17,17,0.962,0.9621,0.794,0.1123,0.795,0.168,0.4833,0.925,24
Layer 18,18,0.9559,0.9561,0.7802,0.1059,0.7815,0.1757,0.5333,0.9,24
Layer 19,19,0.962,0.962,0.7677,0.1191,0.7681,0.1943,0.4833,0.9083,24
Layer 20,20,0.9568,0.9569,0.7815,0.1124,0.7818,0.1753,0.5333,0.9417,24
Layer 21,21,0.9555,0.9556,0.7599,0.1063,0.7595,0.1956,0.4833,0.9167,24
Layer 22,22,0.956,0.956,0.7655,0.1104,0.7658,0.1905,0.4333,0.925,24
Layer 23,23,0.9482,0.9481,0.7422,0.1,0.7427,0.206,0.4667,0.9,24
Layer 24,24,0.946,0.9462,0.7414,0.1016,0.7409,0.2046,0.45,0.9,24
