Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.75,0.7476,0.4062,0.1289,0.4065,0.3438,0.2083,0.525,4
Layer 1,1,0.8,0.798,0.5333,0.1433,0.5273,0.2667,0.375,0.7,4
Layer 2,2,0.8417,0.8413,0.5375,0.1449,0.5186,0.3042,0.3583,0.7,4
Layer 3,3,0.8458,0.8453,0.6125,0.1537,0.5935,0.2333,0.4,0.775,4
Layer 4,4,0.8542,0.8526,0.5896,0.1663,0.5722,0.2646,0.3917,0.7583,4
Layer 5,5,0.8604,0.8583,0.6125,0.1623,0.6061,0.2479,0.375,0.7667,4
Layer 6,6,0.8875,0.8868,0.625,0.1415,0.6161,0.2625,0.4,0.775,4
Layer 7,7,0.875,0.8746,0.6604,0.1529,0.6497,0.2146,0.4167,0.8333,4
Layer 8,8,0.8771,0.8764,0.6979,0.1493,0.6853,0.1792,0.45,0.85,4
Layer 9,9,0.8667,0.866,0.6813,0.1449,0.6706,0.1854,0.4333,0.8,4
Layer 10,10,0.8542,0.8541,0.6958,0.1519,0.6851,0.1584,0.4417,0.8417,4
Layer 11,11,0.8438,0.843,0.6813,0.1479,0.6715,0.1624,0.45,0.8333,4
Layer 12,12,0.8312,0.8305,0.7146,0.1433,0.7072,0.1167,0.4667,0.8083,4
Layer 13,13,0.8438,0.8435,0.7438,0.1445,0.7357,0.0999,0.5,0.875,4
Layer 14,14,0.8417,0.8425,0.7583,0.1017,0.7511,0.0834,0.5833,0.8333,4
Layer 15,15,0.8521,0.8529,0.8,0.1156,0.7956,0.0521,0.6083,0.9167,4
Layer 16,16,0.8583,0.8586,0.7979,0.1264,0.7934,0.0604,0.5917,0.9167,4
Layer 17,17,0.8833,0.8832,0.8229,0.1013,0.8199,0.0604,0.65,0.9083,4
Layer 18,18,0.8667,0.8669,0.8438,0.0987,0.8417,0.0229,0.675,0.9167,4
Layer 19,19,0.8667,0.8662,0.8417,0.0941,0.8395,0.025,0.6833,0.9167,4
Layer 20,20,0.8458,0.8468,0.8271,0.1096,0.8248,0.0187,0.6417,0.925,4
Layer 21,21,0.8458,0.8458,0.7854,0.13,0.7818,0.0604,0.5833,0.9417,4
Layer 22,22,0.8292,0.8267,0.7042,0.1579,0.6966,0.125,0.4417,0.8583,4
Layer 23,23,0.8083,0.8086,0.6792,0.1609,0.6685,0.1291,0.4167,0.85,4
Layer 24,24,0.8208,0.8207,0.7208,0.1489,0.7132,0.1,0.4833,0.8917,4
