Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.8079,0.8074,0.6109,0.1885,0.6112,0.197,0.3729,1.0,15
Layer 1,1,0.798,0.7974,0.6159,0.1653,0.6194,0.1821,0.339,1.0,15
Layer 2,2,0.8295,0.8287,0.644,0.1658,0.646,0.1855,0.339,1.0,15
Layer 3,3,0.8642,0.8636,0.6871,0.1545,0.688,0.1771,0.322,1.0,15
Layer 4,4,0.8974,0.8964,0.7285,0.1391,0.7298,0.1689,0.3898,1.0,15
Layer 5,5,0.9189,0.9184,0.7864,0.121,0.7855,0.1325,0.5424,1.0,15
Layer 6,6,0.9239,0.9233,0.8278,0.1013,0.8268,0.0961,0.5763,1.0,15
Layer 7,7,0.9421,0.9416,0.8079,0.1277,0.8065,0.1342,0.5085,1.0,15
Layer 8,8,0.9255,0.9244,0.793,0.1054,0.7911,0.1325,0.5254,1.0,15
Layer 9,9,0.9421,0.9415,0.8262,0.1016,0.825,0.1159,0.661,1.0,15
Layer 10,10,0.9586,0.9583,0.8278,0.085,0.8281,0.1308,0.7119,1.0,15
Layer 11,11,0.9337,0.9332,0.7964,0.1209,0.7957,0.1373,0.5932,1.0,15
Layer 12,12,0.9338,0.9333,0.798,0.1052,0.7981,0.1358,0.661,1.0,15
Layer 13,13,0.9387,0.9384,0.7815,0.1119,0.7814,0.1572,0.5593,1.0,15
Layer 14,14,0.9338,0.9333,0.7765,0.0937,0.7759,0.1573,0.5763,1.0,15
Layer 15,15,0.9437,0.9436,0.7715,0.103,0.7697,0.1722,0.5932,1.0,15
Layer 16,16,0.9304,0.93,0.7748,0.1189,0.7721,0.1556,0.4746,1.0,15
Layer 17,17,0.9288,0.9282,0.7798,0.1223,0.7777,0.149,0.4746,1.0,15
Layer 18,18,0.9371,0.9366,0.7699,0.1204,0.7674,0.1672,0.4915,1.0,15
Layer 19,19,0.9304,0.9301,0.7599,0.1248,0.7588,0.1705,0.5085,1.0,15
Layer 20,20,0.9239,0.9235,0.7467,0.1289,0.7449,0.1772,0.4915,1.0,15
Layer 21,21,0.9255,0.9253,0.7301,0.1396,0.7285,0.1954,0.5085,1.0,15
Layer 22,22,0.9189,0.9184,0.7053,0.1552,0.701,0.2136,0.4237,1.0,15
Layer 23,23,0.904,0.9039,0.6623,0.1977,0.6591,0.2417,0.3333,1.0,15
Layer 24,24,0.9106,0.9105,0.6904,0.183,0.6872,0.2202,0.4561,1.0,15
