Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.886,0.8831,0.7477,0.0829,0.7441,0.1383,0.6047,0.8852,10
Layer 1,1,0.8636,0.8616,0.7215,0.071,0.718,0.1421,0.6122,0.8551,10
Layer 2,2,0.9065,0.9052,0.8299,0.0506,0.8257,0.0766,0.7442,0.8986,10
Layer 3,3,0.9421,0.9415,0.8654,0.0544,0.8627,0.0767,0.7429,0.971,10
Layer 4,4,0.9645,0.9644,0.9103,0.0388,0.9093,0.0542,0.8372,0.971,10
Layer 5,5,0.9738,0.9736,0.9121,0.0414,0.9121,0.0617,0.8372,1.0,10
Layer 6,6,0.972,0.9719,0.9178,0.0352,0.9175,0.0542,0.8684,0.9855,10
Layer 7,7,0.9757,0.9755,0.9327,0.0352,0.9325,0.043,0.8837,0.9855,10
Layer 8,8,0.9701,0.9702,0.9234,0.0428,0.9233,0.0467,0.8158,0.9855,10
Layer 9,9,0.9813,0.9814,0.9383,0.0384,0.9381,0.043,0.8421,0.9718,10
Layer 10,10,0.9794,0.9795,0.9495,0.0436,0.9493,0.0299,0.8421,1.0,10
Layer 11,11,0.9813,0.9811,0.9607,0.0455,0.9608,0.0206,0.8421,1.0,10
Layer 12,12,0.9832,0.9831,0.9551,0.0514,0.9554,0.0281,0.8421,1.0,10
Layer 13,13,0.985,0.985,0.957,0.047,0.9571,0.028,0.8421,1.0,10
Layer 14,14,0.9794,0.9793,0.9589,0.0231,0.9587,0.0205,0.9211,1.0,10
Layer 15,15,0.9869,0.9869,0.9589,0.0292,0.9588,0.028,0.9138,1.0,10
Layer 16,16,0.9813,0.9811,0.9551,0.0328,0.9549,0.0262,0.8947,1.0,10
Layer 17,17,0.9794,0.9793,0.9607,0.033,0.9603,0.0187,0.8947,1.0,10
Layer 18,18,0.9832,0.9829,0.9589,0.0331,0.9586,0.0243,0.8947,1.0,10
Layer 19,19,0.972,0.9718,0.9514,0.0293,0.9508,0.0206,0.8947,1.0,10
Layer 20,20,0.9813,0.9813,0.9533,0.0291,0.9526,0.028,0.918,1.0,10
Layer 21,21,0.9757,0.9758,0.9458,0.0328,0.9448,0.0299,0.8947,1.0,10
Layer 22,22,0.9645,0.9642,0.9383,0.0381,0.9378,0.0262,0.8684,1.0,10
Layer 23,23,0.9682,0.9679,0.9346,0.0443,0.9338,0.0336,0.8421,1.0,10
Layer 24,24,0.9607,0.9605,0.9308,0.0409,0.9301,0.0299,0.8684,1.0,10
