Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.665,0.6644,0.5998,0.0303,0.5993,0.0652,0.5598,0.6738,10
Layer 1,1,0.6786,0.6782,0.6134,0.0216,0.6132,0.0652,0.5615,0.6484,10
Layer 2,2,0.6692,0.6691,0.6132,0.0357,0.6127,0.056,0.5548,0.6738,10
Layer 3,3,0.6685,0.6683,0.6238,0.0281,0.6232,0.0447,0.5864,0.6875,10
Layer 4,4,0.6747,0.6747,0.6346,0.0351,0.634,0.0401,0.5975,0.7168,10
Layer 5,5,0.6844,0.6842,0.6396,0.0371,0.6392,0.0448,0.5687,0.7129,10
Layer 6,6,0.6828,0.6827,0.6416,0.0253,0.6412,0.0412,0.597,0.6836,10
Layer 7,7,0.6826,0.6824,0.6491,0.0301,0.6486,0.0335,0.5895,0.6934,10
Layer 8,8,0.6872,0.6871,0.6485,0.0262,0.6483,0.0387,0.5951,0.6771,10
Layer 9,9,0.6875,0.6875,0.6584,0.0246,0.6578,0.0291,0.5951,0.6855,10
Layer 10,10,0.6905,0.6905,0.6639,0.0282,0.6632,0.0266,0.6045,0.7122,10
Layer 11,11,0.6927,0.6925,0.6681,0.0303,0.6677,0.0246,0.6267,0.7122,10
Layer 12,12,0.6914,0.6917,0.6694,0.0307,0.6691,0.022,0.6234,0.7152,10
Layer 13,13,0.6914,0.6912,0.657,0.0213,0.6563,0.0344,0.6064,0.6836,10
Layer 14,14,0.6925,0.6924,0.6703,0.0251,0.6697,0.0222,0.6328,0.7105,10
Layer 15,15,0.6885,0.6885,0.657,0.0234,0.6562,0.0315,0.6158,0.698,10
Layer 16,16,0.6905,0.6901,0.6592,0.0243,0.6586,0.0313,0.6267,0.6964,10
Layer 17,17,0.6943,0.6943,0.6689,0.0287,0.6681,0.0254,0.6121,0.7051,10
Layer 18,18,0.6907,0.6905,0.6619,0.0209,0.6612,0.0288,0.6158,0.6882,10
Layer 19,19,0.6934,0.6934,0.6593,0.0242,0.6588,0.0341,0.627,0.7042,10
Layer 20,20,0.7007,0.7005,0.6586,0.027,0.6582,0.0421,0.6102,0.698,10
Layer 21,21,0.6978,0.6978,0.6597,0.0275,0.6596,0.0381,0.6102,0.7042,10
Layer 22,22,0.6941,0.6941,0.6599,0.0325,0.6597,0.0342,0.6045,0.7105,10
Layer 23,23,0.6985,0.6985,0.67,0.0285,0.6697,0.0285,0.6121,0.7214,10
Layer 24,24,0.6962,0.6963,0.6707,0.0297,0.6702,0.0255,0.6248,0.7261,10
