Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.79,0.79,0.377,0.1397,0.3549,0.413,0.1408,0.5357,6
Layer 1,1,0.7344,0.7325,0.4153,0.1228,0.404,0.3191,0.2746,0.5893,6
Layer 2,2,0.8016,0.8019,0.4756,0.1022,0.4607,0.326,0.3451,0.6083,6
Layer 3,3,0.8295,0.8298,0.4791,0.1193,0.4608,0.3504,0.3592,0.6548,6
Layer 4,4,0.8539,0.8543,0.4977,0.1233,0.4756,0.3562,0.3169,0.6667,6
Layer 5,5,0.8713,0.871,0.5209,0.1163,0.4986,0.3504,0.3929,0.6845,6
Layer 6,6,0.8863,0.8861,0.5406,0.1172,0.5183,0.3457,0.4085,0.7024,6
Layer 7,7,0.8887,0.8881,0.5534,0.1367,0.5298,0.3353,0.3873,0.744,6
Layer 8,8,0.8736,0.8738,0.5522,0.1299,0.534,0.3214,0.4028,0.725,6
Layer 9,9,0.8979,0.8977,0.5568,0.1663,0.5437,0.3411,0.3194,0.756,6
Layer 10,10,0.8887,0.8888,0.5684,0.1601,0.5575,0.3203,0.3194,0.7667,6
Layer 11,11,0.8817,0.8815,0.58,0.1478,0.5722,0.3017,0.4028,0.775,6
Layer 12,12,0.8677,0.8674,0.5615,0.1549,0.5527,0.3062,0.3819,0.7619,6
Layer 13,13,0.8492,0.8487,0.5603,0.1395,0.5561,0.2889,0.4306,0.7667,6
Layer 14,14,0.8237,0.8222,0.5476,0.1498,0.5388,0.2761,0.3889,0.7667,6
Layer 15,15,0.8132,0.8128,0.5742,0.1438,0.568,0.239,0.4028,0.7833,6
Layer 16,16,0.8167,0.8161,0.5626,0.1408,0.5569,0.2541,0.3681,0.7667,6
Layer 17,17,0.819,0.8196,0.5696,0.1613,0.5656,0.2494,0.3819,0.8,6
Layer 18,18,0.8295,0.83,0.5557,0.1698,0.5508,0.2738,0.3403,0.7667,6
Layer 19,19,0.8423,0.8429,0.5719,0.1684,0.5683,0.2704,0.3403,0.8,6
Layer 20,20,0.8423,0.8426,0.5742,0.1836,0.5721,0.2681,0.3451,0.8167,6
Layer 21,21,0.833,0.8328,0.5568,0.1845,0.5539,0.2762,0.3264,0.8,6
Layer 22,22,0.8307,0.8297,0.5592,0.1887,0.5574,0.2715,0.2778,0.7976,6
Layer 23,23,0.8202,0.8189,0.5592,0.1914,0.5568,0.261,0.2917,0.8214,6
Layer 24,24,0.8167,0.8155,0.5754,0.1744,0.5726,0.2413,0.3542,0.8095,6
