Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.615,0.5896,0.5661,0.1357,0.5485,0.0489,0.2941,0.9077,58
Layer 1,1,0.5965,0.5808,0.5661,0.1357,0.5549,0.0304,0.2167,0.8657,58
Layer 2,2,0.5904,0.5802,0.5519,0.1311,0.546,0.0385,0.1833,0.8462,58
Layer 3,3,0.5847,0.5786,0.5426,0.1396,0.5422,0.0421,0.2143,0.8462,58
Layer 4,4,0.5769,0.5739,0.5375,0.1327,0.5393,0.0394,0.25,0.8165,58
Layer 5,5,0.5696,0.5704,0.5393,0.1309,0.5427,0.0303,0.2167,0.8615,58
Layer 6,6,0.5631,0.5653,0.5306,0.1317,0.5349,0.0325,0.2667,0.7931,58
Layer 7,7,0.5752,0.5757,0.5266,0.1168,0.5324,0.0486,0.2881,0.7288,58
Layer 8,8,0.5736,0.5736,0.5355,0.1222,0.5393,0.0381,0.2537,0.8276,58
Layer 9,9,0.5684,0.5685,0.5396,0.1311,0.5414,0.0288,0.2687,0.7931,58
Layer 10,10,0.5669,0.5676,0.5389,0.1384,0.5408,0.028,0.2833,0.8769,58
Layer 11,11,0.5712,0.5712,0.5383,0.141,0.5437,0.0329,0.2167,0.8,58
Layer 12,12,0.5657,0.5663,0.5389,0.1361,0.5432,0.0268,0.2833,0.8615,58
Layer 13,13,0.5644,0.5659,0.5351,0.1321,0.5388,0.0293,0.3065,0.8769,58
Layer 14,14,0.5707,0.5725,0.5433,0.1237,0.5456,0.0274,0.2632,0.8462,58
Layer 15,15,0.5702,0.5714,0.5486,0.1277,0.5492,0.0216,0.2807,0.8276,58
Layer 16,16,0.5801,0.5809,0.5573,0.1344,0.5593,0.0228,0.25,0.8308,58
Layer 17,17,0.5696,0.5724,0.5429,0.122,0.5496,0.0267,0.3158,0.8364,58
Layer 18,18,0.5632,0.5662,0.5439,0.1222,0.5504,0.0193,0.3333,0.8545,58
Layer 19,19,0.5642,0.5679,0.5458,0.1234,0.5528,0.0184,0.3333,0.8615,58
Layer 20,20,0.5771,0.5804,0.5613,0.1329,0.5668,0.0158,0.3452,0.8462,58
Layer 21,21,0.5687,0.572,0.5459,0.134,0.553,0.0228,0.2069,0.7961,58
Layer 22,22,0.5831,0.5839,0.5626,0.1345,0.5666,0.0205,0.2542,0.8158,58
Layer 23,23,0.5836,0.5856,0.5632,0.1373,0.5669,0.0204,0.1695,0.8182,58
Layer 24,24,0.5759,0.5769,0.5599,0.1334,0.5631,0.016,0.1864,0.7846,58
