Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.8329,0.8326,0.4922,0.0935,0.4906,0.3407,0.3,0.7,24
Layer 1,1,0.8955,0.8957,0.5574,0.1052,0.5584,0.3381,0.3,0.7333,24
Layer 2,2,0.9236,0.9236,0.6066,0.1241,0.6069,0.317,0.35,0.7667,24
Layer 3,3,0.927,0.9271,0.6092,0.1346,0.612,0.3178,0.3333,0.8167,24
Layer 4,4,0.9452,0.9452,0.6481,0.1378,0.6515,0.2971,0.3833,0.85,24
Layer 5,5,0.9568,0.9567,0.6697,0.1471,0.672,0.2871,0.3167,0.9167,24
Layer 6,6,0.9637,0.9638,0.6887,0.1407,0.6917,0.275,0.35,0.9167,24
Layer 7,7,0.9629,0.9629,0.7025,0.138,0.7053,0.2604,0.35,0.9333,24
Layer 8,8,0.962,0.9621,0.7517,0.1355,0.754,0.2103,0.3167,0.9167,24
Layer 9,9,0.965,0.9652,0.7686,0.125,0.7702,0.1964,0.3833,0.9667,24
Layer 10,10,0.9706,0.9707,0.7776,0.1171,0.7791,0.193,0.5167,0.9833,24
Layer 11,11,0.9663,0.9664,0.8022,0.1151,0.8036,0.1641,0.5333,0.9792,24
Layer 12,12,0.9685,0.9686,0.785,0.114,0.787,0.1835,0.55,0.9479,24
Layer 13,13,0.9672,0.9672,0.7927,0.1111,0.7941,0.1745,0.5833,0.9333,24
Layer 14,14,0.9685,0.9685,0.7759,0.1145,0.7781,0.1926,0.55,0.9583,24
Layer 15,15,0.9646,0.9646,0.7768,0.1045,0.7784,0.1878,0.5667,0.9479,24
Layer 16,16,0.9685,0.9685,0.7712,0.1038,0.7728,0.1973,0.5833,0.9271,24
Layer 17,17,0.9728,0.9728,0.7746,0.1161,0.776,0.1982,0.5667,0.9167,24
Layer 18,18,0.975,0.975,0.769,0.1116,0.7695,0.206,0.5333,0.9333,24
Layer 19,19,0.9668,0.9668,0.7655,0.1124,0.7662,0.2013,0.5333,0.9375,24
Layer 20,20,0.968,0.9681,0.7781,0.1105,0.7787,0.1899,0.5333,0.9375,24
Layer 21,21,0.968,0.968,0.7556,0.1239,0.7555,0.2124,0.5167,0.9479,24
Layer 22,22,0.9668,0.9668,0.7707,0.1162,0.7717,0.1961,0.5167,0.95,24
Layer 23,23,0.9624,0.9624,0.7681,0.1174,0.7696,0.1943,0.4833,0.9375,24
Layer 24,24,0.9637,0.9638,0.7617,0.1149,0.7633,0.202,0.55,0.9583,24
