Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.7771,0.7761,0.4208,0.1302,0.3987,0.3563,0.275,0.5667,4
Layer 1,1,0.7,0.6972,0.4,0.1555,0.3704,0.3,0.2417,0.5833,4
Layer 2,2,0.7708,0.7696,0.4396,0.1694,0.4081,0.3312,0.2583,0.625,4
Layer 3,3,0.8146,0.8125,0.4708,0.182,0.4466,0.3438,0.25,0.6667,4
Layer 4,4,0.8479,0.8452,0.5083,0.1975,0.4868,0.3396,0.25,0.7083,4
Layer 5,5,0.8583,0.8574,0.5667,0.1923,0.554,0.2916,0.2833,0.7917,4
Layer 6,6,0.875,0.8743,0.5667,0.2254,0.5509,0.3083,0.2583,0.825,4
Layer 7,7,0.8917,0.8908,0.5708,0.2133,0.5562,0.3209,0.2667,0.7833,4
Layer 8,8,0.8833,0.8829,0.6062,0.2251,0.5917,0.2771,0.2667,0.8583,4
Layer 9,9,0.8979,0.897,0.6354,0.2347,0.6209,0.2625,0.25,0.8583,4
Layer 10,10,0.8771,0.876,0.6375,0.2232,0.6246,0.2396,0.2667,0.8167,4
Layer 11,11,0.8562,0.8533,0.6583,0.2199,0.6492,0.1979,0.3083,0.85,4
Layer 12,12,0.8396,0.8374,0.6312,0.1977,0.6228,0.2084,0.325,0.8583,4
Layer 13,13,0.8188,0.8171,0.6,0.1928,0.587,0.2188,0.2917,0.8,4
Layer 14,14,0.8292,0.8273,0.6062,0.1809,0.5912,0.223,0.3083,0.7833,4
Layer 15,15,0.8229,0.821,0.6125,0.1837,0.6008,0.2104,0.3167,0.8083,4
Layer 16,16,0.8479,0.8467,0.65,0.1842,0.6386,0.1979,0.3417,0.8167,4
Layer 17,17,0.8375,0.8371,0.6625,0.1657,0.6539,0.175,0.3917,0.8167,4
Layer 18,18,0.8458,0.8454,0.6729,0.176,0.664,0.1729,0.3917,0.8667,4
Layer 19,19,0.8458,0.8454,0.6479,0.1804,0.6349,0.1979,0.3583,0.8417,4
Layer 20,20,0.85,0.8501,0.6625,0.1729,0.6504,0.1875,0.3833,0.85,4
Layer 21,21,0.8708,0.8702,0.6792,0.1742,0.6691,0.1916,0.3917,0.85,4
Layer 22,22,0.8729,0.8726,0.6937,0.1748,0.684,0.1792,0.4,0.8583,4
Layer 23,23,0.8438,0.8434,0.7083,0.1393,0.7022,0.1354,0.4833,0.8583,4
Layer 24,24,0.8458,0.8462,0.7479,0.1087,0.7438,0.0979,0.5667,0.85,4
