Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers,Model,Dataset
CNN,0,0.8731,0.8735,0.5311,0.1087,0.5328,0.342,0.2167,0.6833,24,HuBERT,RAVDESS
Layer 1,1,0.9231,0.9235,0.6226,0.1326,0.6233,0.3005,0.2667,0.9,24,HuBERT,RAVDESS
Layer 2,2,0.9525,0.9526,0.6753,0.1164,0.6761,0.2772,0.4,0.9,24,HuBERT,RAVDESS
Layer 3,3,0.9568,0.9568,0.7146,0.1204,0.7153,0.2422,0.3667,0.95,24,HuBERT,RAVDESS
Layer 4,4,0.9499,0.95,0.7254,0.1124,0.7247,0.2245,0.3667,0.9333,24,HuBERT,RAVDESS
Layer 5,5,0.9616,0.9617,0.7362,0.1171,0.7369,0.2254,0.35,0.9333,24,HuBERT,RAVDESS
Layer 6,6,0.9642,0.9642,0.7569,0.107,0.7575,0.2073,0.4333,0.9333,24,HuBERT,RAVDESS
Layer 7,7,0.965,0.9651,0.7733,0.1121,0.7739,0.1917,0.45,0.9333,24,HuBERT,RAVDESS
Layer 8,8,0.9633,0.9632,0.7763,0.0894,0.7766,0.187,0.5333,0.9,24,HuBERT,RAVDESS
Layer 9,9,0.9676,0.9677,0.7876,0.093,0.7871,0.18,0.55,0.9167,24,HuBERT,RAVDESS
Layer 10,10,0.9637,0.9638,0.7871,0.1082,0.7877,0.1766,0.5167,0.9333,24,HuBERT,RAVDESS
Layer 11,11,0.9663,0.9664,0.8001,0.1044,0.8008,0.1662,0.5667,0.95,24,HuBERT,RAVDESS
Layer 12,12,0.9659,0.9659,0.8074,0.095,0.8079,0.1585,0.5917,0.95,24,HuBERT,RAVDESS
Layer 13,13,0.9706,0.9706,0.8217,0.0906,0.8223,0.1489,0.6,0.9375,24,HuBERT,RAVDESS
Layer 14,14,0.9646,0.9646,0.807,0.0986,0.8077,0.1576,0.6167,0.95,24,HuBERT,RAVDESS
Layer 15,15,0.9655,0.9654,0.7992,0.1093,0.7997,0.1663,0.55,0.9271,24,HuBERT,RAVDESS
Layer 16,16,0.9611,0.9611,0.8014,0.1094,0.8013,0.1597,0.5167,0.9417,24,HuBERT,RAVDESS
Layer 17,17,0.9586,0.9584,0.7755,0.1101,0.7754,0.1831,0.5,0.9417,24,HuBERT,RAVDESS
Layer 18,18,0.9577,0.9576,0.7746,0.1193,0.7756,0.1831,0.4333,0.95,24,HuBERT,RAVDESS
Layer 19,19,0.9538,0.9539,0.7595,0.1131,0.7601,0.1943,0.4667,0.9583,24,HuBERT,RAVDESS
Layer 20,20,0.9564,0.9564,0.7725,0.1093,0.7728,0.1839,0.4333,0.975,24,HuBERT,RAVDESS
Layer 21,21,0.9516,0.9517,0.7681,0.0911,0.7684,0.1835,0.5917,0.95,24,HuBERT,RAVDESS
Layer 22,22,0.9473,0.9475,0.7586,0.1164,0.7592,0.1887,0.4,0.9167,24,HuBERT,RAVDESS
Layer 23,23,0.9529,0.9532,0.7496,0.1133,0.7494,0.2033,0.4667,0.9167,24,HuBERT,RAVDESS
Layer 24,24,0.9486,0.949,0.7224,0.1151,0.7234,0.2262,0.45,0.9333,24,HuBERT,RAVDESS
CNN,0,0.9121,0.9108,0.7645,0.069,0.7586,0.1476,0.6885,0.8947,10,HuBERT,EmoDB
Layer 1,1,0.9402,0.9394,0.8336,0.0587,0.8286,0.1066,0.7429,0.9474,10,HuBERT,EmoDB
Layer 2,2,0.9589,0.9588,0.9121,0.0295,0.911,0.0468,0.8571,0.971,10,HuBERT,EmoDB
