Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.2947,0.2949,0.1937,0.0864,0.1938,0.101,0.0492,0.3333,15
Layer 1,1,0.6424,0.6399,0.495,0.1688,0.496,0.1474,0.1667,0.8333,15
Layer 2,2,0.7549,0.7543,0.5745,0.1311,0.5746,0.1804,0.339,0.8333,15
Layer 3,3,0.8559,0.8551,0.7334,0.1457,0.7319,0.1225,0.5,1.0,15
Layer 4,4,0.8874,0.8864,0.7715,0.1021,0.7703,0.1159,0.5763,1.0,15
Layer 5,5,0.8858,0.8851,0.7798,0.0961,0.7794,0.106,0.6441,1.0,15
Layer 6,6,0.8742,0.8734,0.7649,0.0876,0.765,0.1093,0.6441,1.0,15
Layer 7,7,0.8759,0.8761,0.7699,0.0779,0.771,0.106,0.6667,1.0,15
Layer 8,8,0.856,0.8559,0.7252,0.1088,0.724,0.1308,0.5932,1.0,15
Layer 9,9,0.9089,0.9085,0.7881,0.095,0.7874,0.1208,0.6271,1.0,15
Layer 10,10,0.8824,0.8813,0.75,0.1265,0.7489,0.1324,0.5,1.0,15
Layer 11,11,0.8659,0.8649,0.7119,0.1247,0.7115,0.154,0.5,1.0,15
Layer 12,12,0.8328,0.8333,0.6391,0.137,0.6394,0.1937,0.3889,0.8333,15
Layer 13,13,0.841,0.8399,0.5993,0.1424,0.6002,0.2417,0.4237,0.8333,15
Layer 14,14,0.8477,0.8464,0.6805,0.1919,0.6797,0.1672,0.3704,1.0,15
Layer 15,15,0.8742,0.8736,0.7301,0.1534,0.7285,0.1441,0.5,1.0,15
Layer 16,16,0.9238,0.9234,0.803,0.1159,0.8014,0.1208,0.6481,1.0,15
Layer 17,17,0.947,0.9466,0.8609,0.0806,0.8604,0.0861,0.7778,1.0,15
Layer 18,18,0.9239,0.9238,0.8328,0.1061,0.8312,0.0911,0.6667,1.0,15
Layer 19,19,0.9106,0.9107,0.8096,0.1003,0.8088,0.101,0.6667,1.0,15
Layer 20,20,0.8825,0.8822,0.75,0.1156,0.7478,0.1325,0.5254,1.0,15
Layer 21,21,0.8444,0.8438,0.702,0.1408,0.6984,0.1424,0.3898,1.0,15
Layer 22,22,0.7915,0.7899,0.6126,0.186,0.6102,0.1789,0.322,1.0,15
Layer 23,23,0.7434,0.7433,0.5613,0.1567,0.5614,0.1821,0.2712,0.8333,15
Layer 24,24,0.6242,0.6233,0.4421,0.1189,0.4478,0.1821,0.2593,0.6667,15
