Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.4822,0.4802,0.4374,0.0875,0.4375,0.0448,0.3521,0.6571,10
Layer 1,1,0.8523,0.8506,0.785,0.0475,0.7822,0.0673,0.7324,0.8857,10
Layer 2,2,0.9252,0.9247,0.8841,0.0672,0.8837,0.0411,0.7632,0.9718,10
Layer 3,3,0.9589,0.9581,0.9103,0.0436,0.9096,0.0486,0.8214,1.0,10
Layer 4,4,0.9664,0.9661,0.9364,0.0396,0.9356,0.03,0.8592,1.0,10
Layer 5,5,0.9495,0.9491,0.929,0.0261,0.9286,0.0205,0.898,0.9714,10
Layer 6,6,0.9421,0.9419,0.9271,0.0359,0.9264,0.015,0.8852,1.0,10
Layer 7,7,0.9533,0.9522,0.9103,0.0427,0.9094,0.043,0.8451,1.0,10
Layer 8,8,0.9383,0.9382,0.8766,0.0261,0.8749,0.0617,0.8393,0.9273,10
Layer 9,9,0.9626,0.962,0.9159,0.0329,0.9151,0.0467,0.8421,0.9592,10
Layer 10,10,0.9458,0.9452,0.9196,0.0399,0.919,0.0262,0.8684,1.0,10
Layer 11,11,0.929,0.9285,0.914,0.0362,0.9132,0.015,0.8732,0.9828,10
Layer 12,12,0.929,0.9284,0.9047,0.0433,0.9046,0.0243,0.8421,0.9714,10
Layer 13,13,0.9308,0.9297,0.929,0.0429,0.9287,0.0018,0.8364,0.9767,10
Layer 14,14,0.9551,0.9546,0.9271,0.0306,0.9265,0.028,0.8873,0.9796,10
Layer 15,15,0.957,0.9565,0.9346,0.0332,0.9336,0.0224,0.8592,0.9828,10
Layer 16,16,0.9738,0.9734,0.9514,0.0282,0.9513,0.0224,0.918,1.0,10
Layer 17,17,0.9869,0.9868,0.9234,0.0636,0.9231,0.0635,0.7632,0.9796,10
Layer 18,18,0.9682,0.9678,0.9159,0.0394,0.9148,0.0523,0.8421,0.9636,10
Layer 19,19,0.9701,0.9699,0.9252,0.0185,0.9247,0.0449,0.8929,0.9535,10
Layer 20,20,0.9701,0.97,0.9103,0.045,0.9095,0.0598,0.8421,0.9836,10
Layer 21,21,0.9495,0.9494,0.8841,0.0658,0.8836,0.0654,0.7105,0.9429,10
Layer 22,22,0.9159,0.9157,0.8449,0.0547,0.842,0.071,0.7368,0.9275,10
Layer 23,23,0.9103,0.91,0.8299,0.0697,0.8286,0.0804,0.7069,0.913,10
Layer 24,24,0.843,0.8414,0.7383,0.0833,0.7351,0.1047,0.6034,0.8571,10
