Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.4168,0.4154,0.3819,0.0297,0.3812,0.0349,0.3355,0.4291,10
Layer 1,1,0.5806,0.5806,0.5209,0.0345,0.5201,0.0597,0.4718,0.5703,10
Layer 2,2,0.5934,0.5932,0.5575,0.0353,0.5568,0.0359,0.5136,0.6235,10
Layer 3,3,0.63,0.6299,0.594,0.0393,0.5933,0.036,0.5141,0.6427,10
Layer 4,4,0.6315,0.6312,0.6015,0.0354,0.6011,0.03,0.5348,0.6637,10
Layer 5,5,0.6348,0.6344,0.6086,0.0232,0.6083,0.0262,0.5574,0.6367,10
Layer 6,6,0.6465,0.6467,0.6201,0.0311,0.6198,0.0264,0.548,0.666,10
Layer 7,7,0.6441,0.6442,0.6181,0.0286,0.618,0.026,0.5631,0.669,10
Layer 8,8,0.6361,0.6356,0.6016,0.0287,0.6013,0.0345,0.5273,0.6445,10
Layer 9,9,0.6577,0.6575,0.6295,0.0331,0.6292,0.0282,0.5593,0.6845,10
Layer 10,10,0.6531,0.6529,0.62,0.02,0.6193,0.0331,0.5687,0.641,10
Layer 11,11,0.6403,0.6402,0.6212,0.0292,0.6209,0.0191,0.5386,0.6402,10
Layer 12,12,0.639,0.6387,0.6108,0.0339,0.6105,0.0282,0.5461,0.6587,10
Layer 13,13,0.633,0.6326,0.6139,0.0221,0.6136,0.0191,0.5631,0.6504,10
Layer 14,14,0.65,0.6501,0.626,0.0252,0.6257,0.024,0.5876,0.6771,10
Layer 15,15,0.652,0.6517,0.6262,0.0272,0.6261,0.0258,0.565,0.6532,10
Layer 16,16,0.6692,0.6694,0.6396,0.0238,0.6394,0.0296,0.5913,0.6753,10
Layer 17,17,0.6601,0.66,0.6328,0.0354,0.6322,0.0273,0.5669,0.6914,10
Layer 18,18,0.6582,0.6582,0.6266,0.0285,0.6261,0.0316,0.5744,0.6699,10
Layer 19,19,0.6571,0.6571,0.6253,0.0329,0.6248,0.0318,0.5749,0.6875,10
Layer 20,20,0.6385,0.6383,0.6158,0.0202,0.6157,0.0227,0.58,0.6523,10
Layer 21,21,0.6478,0.6476,0.6236,0.029,0.6231,0.0242,0.5687,0.6637,10
Layer 22,22,0.6231,0.623,0.5857,0.0376,0.5856,0.0374,0.5179,0.6497,10
Layer 23,23,0.6055,0.6055,0.574,0.0262,0.5739,0.0315,0.528,0.6095,10
Layer 24,24,0.5925,0.5923,0.5689,0.0231,0.5686,0.0236,0.5339,0.6089,10
