Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.3201,0.3164,0.2541,0.0453,0.2541,0.066,0.1667,0.2917,6
Layer 1,1,0.6984,0.6971,0.4037,0.0668,0.386,0.2947,0.3239,0.506,6
Layer 2,2,0.768,0.7672,0.4548,0.0695,0.4393,0.3132,0.3631,0.5417,6
Layer 3,3,0.8318,0.8317,0.5394,0.1181,0.5285,0.2924,0.4225,0.7083,6
Layer 4,4,0.8388,0.8385,0.5684,0.1068,0.5601,0.2704,0.4375,0.7167,6
Layer 5,5,0.8492,0.8496,0.5464,0.1298,0.5338,0.3028,0.4014,0.7,6
Layer 6,6,0.8307,0.8306,0.5336,0.1369,0.5239,0.2971,0.375,0.7417,6
Layer 7,7,0.8237,0.8235,0.5209,0.1549,0.5,0.3028,0.3681,0.7917,6
Layer 8,8,0.8087,0.8079,0.4907,0.1608,0.4644,0.318,0.3333,0.7667,6
Layer 9,9,0.8214,0.8196,0.5441,0.1438,0.5302,0.2773,0.3803,0.775,6
Layer 10,10,0.8283,0.8283,0.558,0.1427,0.5542,0.2703,0.3873,0.775,6
Layer 11,11,0.8039,0.8022,0.5499,0.1241,0.5464,0.254,0.3732,0.7143,6
Layer 12,12,0.7761,0.7753,0.5441,0.1192,0.5413,0.232,0.3958,0.7143,6
Layer 13,13,0.7761,0.7749,0.5278,0.0989,0.5266,0.2483,0.4225,0.6667,6
Layer 14,14,0.8063,0.8059,0.5673,0.1196,0.5659,0.239,0.4236,0.744,6
Layer 15,15,0.8086,0.8083,0.5754,0.0987,0.5737,0.2332,0.4653,0.7167,6
Layer 16,16,0.8353,0.8353,0.5789,0.1453,0.5762,0.2564,0.4155,0.8,6
Layer 17,17,0.8689,0.8687,0.5661,0.1583,0.5579,0.3028,0.3803,0.8167,6
Layer 18,18,0.8458,0.8466,0.5186,0.1352,0.5083,0.3272,0.3451,0.7417,6
Layer 19,19,0.8458,0.8449,0.5244,0.1339,0.5127,0.3214,0.3592,0.7333,6
Layer 20,20,0.8202,0.82,0.5093,0.1347,0.495,0.3109,0.3239,0.7,6
Layer 21,21,0.7785,0.777,0.4861,0.1049,0.4667,0.2924,0.3681,0.6583,6
Layer 22,22,0.7437,0.7427,0.4385,0.1266,0.4224,0.3052,0.3099,0.6417,6
Layer 23,23,0.7204,0.7204,0.4374,0.0994,0.422,0.283,0.3125,0.5476,6
Layer 24,24,0.6346,0.632,0.3991,0.085,0.3896,0.2355,0.2676,0.4821,6
