Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.5271,0.462,0.5092,0.1519,0.4383,0.0179,0.2468,0.8364,58
Layer 1,1,0.5551,0.5513,0.5118,0.1139,0.51,0.0433,0.25,0.7982,58
Layer 2,2,0.5571,0.555,0.5163,0.1122,0.5175,0.0408,0.3137,0.8308,58
Layer 3,3,0.5609,0.5605,0.5281,0.1233,0.5332,0.0328,0.25,0.7455,58
Layer 4,4,0.5642,0.5661,0.5335,0.1262,0.5377,0.0307,0.2308,0.8182,58
Layer 5,5,0.5654,0.5646,0.5438,0.1242,0.5467,0.0216,0.3134,0.8769,58
Layer 6,6,0.5661,0.5668,0.5389,0.1343,0.5413,0.0272,0.2456,0.8923,58
Layer 7,7,0.5734,0.5734,0.5506,0.1217,0.5522,0.0228,0.2982,0.8308,58
Layer 8,8,0.5642,0.5651,0.5295,0.1291,0.5341,0.0347,0.1148,0.7692,58
Layer 9,9,0.5772,0.5747,0.5401,0.1269,0.5421,0.0371,0.2459,0.8,58
Layer 10,10,0.5701,0.5706,0.5459,0.1169,0.5486,0.0242,0.2692,0.8769,58
Layer 11,11,0.5642,0.5654,0.5509,0.1196,0.5534,0.0133,0.2692,0.8769,58
Layer 12,12,0.5692,0.5706,0.5473,0.1256,0.5507,0.0219,0.25,0.8615,58
Layer 13,13,0.5732,0.5735,0.5596,0.1127,0.5614,0.0136,0.3462,0.8364,58
Layer 14,14,0.5717,0.5729,0.5489,0.1181,0.5524,0.0228,0.2885,0.8462,58
Layer 15,15,0.5739,0.5748,0.5489,0.1184,0.5529,0.025,0.3065,0.844,58
Layer 16,16,0.5657,0.566,0.5416,0.1083,0.5446,0.0241,0.3256,0.7798,58
Layer 17,17,0.5754,0.5755,0.534,0.1161,0.5382,0.0414,0.3256,0.8182,58
Layer 18,18,0.5641,0.565,0.5376,0.1291,0.5458,0.0265,0.1731,0.8364,58
Layer 19,19,0.5699,0.5711,0.5368,0.118,0.5439,0.0331,0.322,0.7647,58
Layer 20,20,0.5677,0.57,0.5408,0.1084,0.5475,0.0269,0.3305,0.7798,58
Layer 21,21,0.5691,0.5686,0.5285,0.1088,0.5341,0.0406,0.319,0.8209,58
Layer 22,22,0.5639,0.5644,0.534,0.1133,0.5401,0.0299,0.3421,0.8,58
Layer 23,23,0.5448,0.5449,0.5205,0.1188,0.5255,0.0243,0.1923,0.8382,58
Layer 24,24,0.5506,0.5473,0.5386,0.1128,0.5351,0.012,0.3137,0.7941,58
