Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.3519,0.3507,0.1926,0.0581,0.1922,0.1593,0.0667,0.2917,24
Layer 1,1,0.8761,0.8763,0.5484,0.0906,0.5469,0.3277,0.3667,0.7083,24
Layer 2,2,0.9244,0.9248,0.6408,0.1166,0.643,0.2836,0.3167,0.8333,24
Layer 3,3,0.9417,0.9419,0.734,0.1203,0.7342,0.2077,0.4,0.9062,24
Layer 4,4,0.9573,0.9573,0.7586,0.1137,0.7578,0.1987,0.4833,0.95,24
Layer 5,5,0.9495,0.9496,0.7461,0.094,0.7469,0.2034,0.5667,0.9167,24
Layer 6,6,0.9547,0.9549,0.7509,0.1101,0.7524,0.2038,0.5,0.95,24
Layer 7,7,0.9568,0.9569,0.753,0.1248,0.7542,0.2038,0.35,0.8958,24
Layer 8,8,0.9413,0.9412,0.7206,0.1153,0.7207,0.2207,0.3667,0.8917,24
Layer 9,9,0.9503,0.9504,0.7681,0.097,0.7683,0.1822,0.6,0.95,24
Layer 10,10,0.9568,0.9569,0.7768,0.0996,0.7774,0.18,0.5333,0.95,24
Layer 11,11,0.9478,0.9478,0.7712,0.1007,0.7701,0.1766,0.6,0.9667,24
Layer 12,12,0.9443,0.9444,0.7517,0.1044,0.7509,0.1926,0.5,0.9,24
Layer 13,13,0.9447,0.9451,0.7638,0.1066,0.7634,0.1809,0.4833,0.95,24
Layer 14,14,0.9486,0.9486,0.7608,0.1174,0.761,0.1878,0.5,0.95,24
Layer 15,15,0.9503,0.9505,0.7578,0.1042,0.7571,0.1925,0.4833,0.9,24
Layer 16,16,0.962,0.962,0.7945,0.1141,0.7948,0.1675,0.4667,0.95,24
Layer 17,17,0.9655,0.9655,0.807,0.1118,0.8064,0.1585,0.5,0.9667,24
Layer 18,18,0.9611,0.9612,0.744,0.138,0.7454,0.2171,0.3667,0.9667,24
Layer 19,19,0.9516,0.9518,0.728,0.124,0.7294,0.2236,0.4417,0.9667,24
Layer 20,20,0.9529,0.9531,0.7012,0.1435,0.7038,0.2517,0.3917,0.9167,24
Layer 21,21,0.9391,0.9393,0.6874,0.1342,0.6885,0.2517,0.3333,0.9,24
Layer 22,22,0.9201,0.9205,0.6585,0.1113,0.6587,0.2616,0.4167,0.9,24
Layer 23,23,0.9162,0.9167,0.6161,0.1186,0.6152,0.3001,0.3667,0.8333,24
Layer 24,24,0.8856,0.8858,0.5566,0.1242,0.5569,0.329,0.275,0.825,24
