Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.7715,0.7709,0.5811,0.1554,0.5818,0.1904,0.2373,0.8333,15
Layer 1,1,0.8361,0.8359,0.702,0.1177,0.7047,0.1341,0.4915,0.8667,15
Layer 2,2,0.8477,0.847,0.7351,0.121,0.7354,0.1126,0.5085,1.0,15
Layer 3,3,0.8791,0.8798,0.755,0.1236,0.7545,0.1241,0.5085,1.0,15
Layer 4,4,0.899,0.8985,0.7815,0.13,0.7816,0.1175,0.5424,1.0,15
Layer 5,5,0.9255,0.9258,0.8212,0.109,0.8215,0.1043,0.6271,1.0,15
Layer 6,6,0.9305,0.9304,0.8063,0.0968,0.8061,0.1242,0.6102,1.0,15
Layer 7,7,0.9305,0.9301,0.803,0.089,0.8031,0.1275,0.6271,1.0,15
Layer 8,8,0.9156,0.9149,0.7781,0.1205,0.7781,0.1375,0.5932,1.0,15
Layer 9,9,0.9172,0.9172,0.7715,0.0992,0.771,0.1457,0.5763,1.0,15
Layer 10,10,0.9254,0.9253,0.75,0.1328,0.7484,0.1754,0.5185,1.0,15
Layer 11,11,0.8957,0.8954,0.6755,0.1251,0.6766,0.2202,0.4576,0.8333,15
Layer 12,12,0.8427,0.841,0.5778,0.1578,0.5802,0.2649,0.4,1.0,15
Layer 13,13,0.8394,0.8384,0.5116,0.1851,0.5159,0.3278,0.322,1.0,15
Layer 14,14,0.8178,0.8173,0.4934,0.1746,0.4966,0.3244,0.1667,0.8333,15
Layer 15,15,0.7715,0.7707,0.4669,0.1863,0.4723,0.3046,0.2034,1.0,15
Layer 16,16,0.7946,0.7931,0.4983,0.2036,0.5052,0.2963,0.2222,1.0,15
Layer 17,17,0.7715,0.7702,0.4901,0.1633,0.4965,0.2814,0.2373,0.8333,15
Layer 18,18,0.7831,0.7827,0.5083,0.1652,0.5151,0.2748,0.2203,0.8333,15
Layer 19,19,0.7384,0.7379,0.4603,0.1976,0.466,0.2781,0.2034,1.0,15
Layer 20,20,0.7333,0.7324,0.4123,0.23,0.4198,0.321,0.1525,1.0,15
Layer 21,21,0.6887,0.6896,0.3162,0.206,0.3244,0.3725,0.0508,0.8333,15
Layer 22,22,0.624,0.6253,0.2583,0.1782,0.2672,0.3657,0.0847,0.6667,15
Layer 23,23,0.4916,0.492,0.1954,0.2561,0.2011,0.2962,0.0339,1.0,15
Layer 24,24,0.3857,0.3807,0.144,0.2354,0.1456,0.2417,0.0,0.8333,15
