Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.8766,0.8772,0.7925,0.0361,0.7913,0.0841,0.7324,0.8406,10
Layer 1,1,0.9121,0.911,0.8523,0.0435,0.8525,0.0598,0.7632,0.9275,10
Layer 2,2,0.9308,0.9291,0.8841,0.0382,0.8833,0.0467,0.8372,0.9483,10
Layer 3,3,0.9421,0.9416,0.886,0.0381,0.8854,0.0561,0.8158,0.942,10
Layer 4,4,0.9514,0.9509,0.9047,0.0287,0.9041,0.0467,0.8571,0.9565,10
Layer 5,5,0.957,0.9566,0.9215,0.0396,0.9217,0.0355,0.8684,1.0,10
Layer 6,6,0.9701,0.9701,0.929,0.0437,0.9289,0.0411,0.8684,1.0,10
Layer 7,7,0.9757,0.9756,0.957,0.0348,0.9571,0.0187,0.8684,1.0,10
Layer 8,8,0.9738,0.9735,0.9439,0.0291,0.944,0.0299,0.8684,0.9718,10
Layer 9,9,0.9664,0.9661,0.9252,0.0371,0.9247,0.0412,0.8684,0.9718,10
Layer 10,10,0.9533,0.9532,0.9234,0.0225,0.923,0.0299,0.8776,0.9565,10
Layer 11,11,0.9458,0.9458,0.9196,0.0347,0.9196,0.0262,0.8421,0.9718,10
Layer 12,12,0.9477,0.9474,0.914,0.0387,0.9137,0.0337,0.8545,0.9714,10
Layer 13,13,0.9234,0.9236,0.8935,0.0367,0.8926,0.0299,0.8448,0.9577,10
Layer 14,14,0.9084,0.9081,0.886,0.0433,0.8857,0.0224,0.8158,0.9718,10
Layer 15,15,0.9084,0.9081,0.9196,0.0324,0.9194,-0.0112,0.875,0.9859,10
Layer 16,16,0.9103,0.9093,0.9009,0.0287,0.9001,0.0094,0.8393,0.9474,10
Layer 17,17,0.8935,0.8928,0.8953,0.0247,0.8943,-0.0018,0.8545,0.9429,10
Layer 18,18,0.9159,0.9149,0.8916,0.0323,0.8903,0.0243,0.8448,0.9714,10
Layer 19,19,0.8748,0.8736,0.8486,0.0365,0.8466,0.0262,0.8036,0.9143,10
Layer 20,20,0.8636,0.8618,0.8579,0.0457,0.8561,0.0057,0.7931,0.9302,10
Layer 21,21,0.8037,0.8014,0.7981,0.0539,0.7959,0.0056,0.7069,0.9143,10
Layer 22,22,0.7757,0.7708,0.7589,0.0443,0.7573,0.0168,0.6724,0.8286,10
Layer 23,23,0.7065,0.6992,0.7159,0.0772,0.711,-0.0094,0.5526,0.8,10
Layer 24,24,0.5832,0.5741,0.5794,0.0663,0.5706,0.0038,0.4898,0.7429,10
