Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.6394,0.6391,0.587,0.0289,0.5866,0.0524,0.5217,0.6387,10
Layer 1,1,0.6337,0.6337,0.5841,0.041,0.5837,0.0496,0.5169,0.6602,10
Layer 2,2,0.6297,0.6296,0.5861,0.0366,0.5853,0.0436,0.5339,0.6587,10
Layer 3,3,0.6282,0.6282,0.5824,0.0396,0.5822,0.0458,0.5348,0.6523,10
Layer 4,4,0.6368,0.6366,0.6011,0.0433,0.6006,0.0357,0.5217,0.6492,10
Layer 5,5,0.6317,0.6315,0.607,0.0336,0.6065,0.0247,0.5598,0.6661,10
Layer 6,6,0.6377,0.6374,0.5901,0.0262,0.5894,0.0476,0.5518,0.6191,10
Layer 7,7,0.6214,0.621,0.5929,0.0265,0.5919,0.0285,0.5549,0.6369,10
Layer 8,8,0.6416,0.6412,0.611,0.027,0.6108,0.0306,0.5629,0.6523,10
Layer 9,9,0.6379,0.6378,0.6159,0.0333,0.6155,0.022,0.5254,0.6484,10
Layer 10,10,0.6278,0.6275,0.6139,0.0266,0.6136,0.0139,0.5669,0.6661,10
Layer 11,11,0.6212,0.621,0.6016,0.0263,0.6014,0.0196,0.5569,0.6543,10
Layer 12,12,0.6179,0.6174,0.6082,0.0315,0.6076,0.0097,0.5461,0.6624,10
Layer 13,13,0.6101,0.6097,0.5973,0.0326,0.5964,0.0128,0.5461,0.6427,10
Layer 14,14,0.6029,0.6028,0.5945,0.0218,0.5942,0.0084,0.5499,0.6292,10
Layer 15,15,0.6132,0.6128,0.5993,0.0217,0.5986,0.0139,0.5664,0.6441,10
Layer 16,16,0.6104,0.6102,0.5996,0.0279,0.5988,0.0108,0.5429,0.6441,10
Layer 17,17,0.609,0.6088,0.5874,0.027,0.587,0.0216,0.5529,0.6367,10
Layer 18,18,0.6126,0.6127,0.5958,0.0201,0.5954,0.0168,0.5593,0.6218,10
Layer 19,19,0.6158,0.6156,0.5945,0.0211,0.5941,0.0213,0.5598,0.6347,10
Layer 20,20,0.6007,0.6005,0.5973,0.0372,0.5967,0.0034,0.554,0.6531,10
Layer 21,21,0.6004,0.5999,0.591,0.0277,0.5904,0.0094,0.5493,0.6273,10
Layer 22,22,0.5799,0.5791,0.5722,0.0281,0.5718,0.0077,0.5311,0.6229,10
Layer 23,23,0.5462,0.5456,0.539,0.0252,0.5387,0.0072,0.4917,0.572,10
Layer 24,24,0.5004,0.4997,0.4872,0.0213,0.4866,0.0132,0.4491,0.5185,10
