Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.7472,0.7464,0.4327,0.0991,0.4198,0.3145,0.3214,0.55,6
Layer 1,1,0.7785,0.7778,0.4606,0.121,0.4474,0.3179,0.3274,0.625,6
Layer 2,2,0.8063,0.8055,0.4896,0.127,0.4777,0.3167,0.338,0.6726,6
Layer 3,3,0.819,0.817,0.4838,0.1444,0.4705,0.3352,0.3169,0.7,6
Layer 4,4,0.8469,0.8447,0.5151,0.1428,0.5083,0.3318,0.3611,0.725,6
Layer 5,5,0.8608,0.8599,0.5708,0.1578,0.5638,0.29,0.4014,0.7857,6
Layer 6,6,0.8423,0.8414,0.5476,0.1253,0.5425,0.2947,0.4097,0.7143,6
Layer 7,7,0.8596,0.8595,0.5742,0.1382,0.571,0.2854,0.4014,0.7679,6
Layer 8,8,0.8306,0.829,0.5835,0.1413,0.5819,0.2471,0.4167,0.7738,6
Layer 9,9,0.7888,0.7874,0.5371,0.1221,0.5347,0.2517,0.375,0.7167,6
Layer 10,10,0.7587,0.7585,0.4977,0.1229,0.4955,0.261,0.3264,0.7,6
Layer 11,11,0.7134,0.7125,0.5151,0.1242,0.5133,0.1983,0.3264,0.7167,6
Layer 12,12,0.6601,0.6581,0.4791,0.1145,0.4792,0.181,0.2847,0.6369,6
Layer 13,13,0.6346,0.634,0.4768,0.0937,0.4772,0.1578,0.3125,0.5893,6
Layer 14,14,0.5974,0.597,0.4594,0.1006,0.4593,0.138,0.3125,0.5893,6
Layer 15,15,0.5917,0.5913,0.4722,0.0826,0.471,0.1195,0.375,0.6131,6
Layer 16,16,0.594,0.5917,0.4432,0.0756,0.4419,0.1508,0.3592,0.5833,6
Layer 17,17,0.5511,0.5507,0.3968,0.0672,0.396,0.1543,0.3125,0.506,6
Layer 18,18,0.537,0.5349,0.4049,0.0881,0.4038,0.1321,0.3125,0.5774,6
Layer 19,19,0.5128,0.512,0.3794,0.0634,0.3793,0.1334,0.3125,0.4881,6
Layer 20,20,0.4698,0.4696,0.3538,0.0809,0.3535,0.116,0.2833,0.5238,6
Layer 21,21,0.4153,0.416,0.3341,0.0795,0.3324,0.0812,0.25,0.4881,6
Layer 22,22,0.3793,0.3773,0.2981,0.0662,0.2986,0.0812,0.1944,0.3988,6
Layer 23,23,0.3596,0.3602,0.3028,0.0441,0.3008,0.0568,0.2292,0.3631,6
Layer 24,24,0.3132,0.3106,0.2552,0.0269,0.2547,0.058,0.2113,0.2857,6
