Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.5814,0.5664,0.5474,0.138,0.5353,0.034,0.082,0.8923,58
Layer 1,1,0.5674,0.5641,0.5052,0.1394,0.5077,0.0622,0.0984,0.9077,58
Layer 2,2,0.5454,0.546,0.4998,0.1138,0.5046,0.0456,0.2105,0.7385,58
Layer 3,3,0.5464,0.5485,0.4963,0.1367,0.5045,0.0501,0.0984,0.8462,58
Layer 4,4,0.5499,0.5516,0.5203,0.1158,0.5271,0.0296,0.2787,0.7818,58
Layer 5,5,0.5607,0.5631,0.506,0.123,0.514,0.0547,0.1475,0.8615,58
Layer 6,6,0.5546,0.5583,0.5316,0.1306,0.5393,0.023,0.2,0.8545,58
Layer 7,7,0.5498,0.5548,0.5353,0.1258,0.5415,0.0145,0.2105,0.7692,58
Layer 8,8,0.5528,0.5579,0.5261,0.1301,0.5332,0.0267,0.2115,0.8209,58
Layer 9,9,0.5536,0.5581,0.5335,0.134,0.5416,0.0201,0.2632,0.8769,58
Layer 10,10,0.5481,0.5514,0.5205,0.1302,0.5269,0.0276,0.25,0.8615,58
Layer 11,11,0.5493,0.5529,0.5451,0.1362,0.5496,0.0042,0.2281,0.8923,58
Layer 12,12,0.5441,0.5476,0.5418,0.1214,0.5463,0.0023,0.3158,0.8769,58
Layer 13,13,0.5533,0.5587,0.5273,0.119,0.5354,0.026,0.2542,0.7846,58
Layer 14,14,0.5458,0.5502,0.5384,0.1125,0.5437,0.0074,0.3158,0.8923,58
Layer 15,15,0.5368,0.5413,0.5271,0.1176,0.5342,0.0097,0.3023,0.8615,58
Layer 16,16,0.5346,0.5414,0.5238,0.1105,0.5312,0.0108,0.3051,0.7692,58
Layer 17,17,0.5431,0.547,0.5231,0.1173,0.5296,0.02,0.2713,0.8615,58
Layer 18,18,0.5433,0.5474,0.5233,0.1215,0.5294,0.02,0.2632,0.8769,58
Layer 19,19,0.5483,0.5501,0.5389,0.1119,0.54,0.0094,0.2982,0.8079,58
Layer 20,20,0.5449,0.5463,0.5315,0.115,0.5323,0.0134,0.2807,0.8177,58
Layer 21,21,0.5451,0.5474,0.5301,0.1095,0.5307,0.015,0.3077,0.798,58
Layer 22,22,0.5399,0.5378,0.5391,0.1087,0.5343,0.0008,0.3333,0.8615,58
Layer 23,23,0.5186,0.5157,0.5183,0.1146,0.5128,0.0003,0.2903,0.7685,58
Layer 24,24,0.5053,0.5026,0.5022,0.1033,0.495,0.0031,0.3333,0.8308,58
