Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.8808,0.8806,0.5877,0.1211,0.5888,0.2931,0.3,0.7833,24
Layer 1,1,0.9089,0.9092,0.6308,0.1326,0.6334,0.2781,0.2833,0.9167,24
Layer 2,2,0.9231,0.9233,0.6541,0.1077,0.6558,0.269,0.4167,0.8833,24
Layer 3,3,0.9365,0.9367,0.6857,0.1295,0.6874,0.2508,0.3833,0.8667,24
Layer 4,4,0.9516,0.9517,0.7314,0.1208,0.7324,0.2202,0.3667,0.9479,24
Layer 5,5,0.9534,0.9534,0.7353,0.1216,0.7365,0.2181,0.3667,0.8833,24
Layer 6,6,0.9555,0.9554,0.7358,0.111,0.7359,0.2197,0.45,0.9167,24
Layer 7,7,0.9521,0.9519,0.7556,0.1091,0.7553,0.1965,0.45,0.9333,24
Layer 8,8,0.9577,0.9578,0.7681,0.1045,0.7681,0.1896,0.5167,0.95,24
Layer 9,9,0.9478,0.9479,0.7517,0.1002,0.7521,0.1961,0.4833,0.9167,24
Layer 10,10,0.9499,0.9499,0.7444,0.1014,0.7446,0.2055,0.5333,0.9,24
Layer 11,11,0.9521,0.9521,0.7712,0.0928,0.7696,0.1809,0.55,0.9,24
Layer 12,12,0.9491,0.9492,0.756,0.1026,0.7554,0.1931,0.4833,0.9,24
Layer 13,13,0.9491,0.9493,0.7591,0.0945,0.758,0.19,0.55,0.9,24
Layer 14,14,0.9499,0.9501,0.7556,0.1015,0.7548,0.1943,0.5333,0.9,24
Layer 15,15,0.9452,0.9454,0.7414,0.1258,0.7409,0.2038,0.4167,0.9333,24
Layer 16,16,0.937,0.9371,0.7306,0.1034,0.7295,0.2064,0.4833,0.9333,24
Layer 17,17,0.9383,0.9384,0.7142,0.1052,0.7136,0.2241,0.4333,0.8667,24
Layer 18,18,0.9326,0.9328,0.69,0.1149,0.6895,0.2426,0.3833,0.8833,24
Layer 19,19,0.9262,0.9265,0.6632,0.1222,0.6623,0.263,0.3833,0.9167,24
Layer 20,20,0.921,0.9211,0.6792,0.1131,0.6792,0.2418,0.3833,0.85,24
Layer 21,21,0.9132,0.9131,0.6559,0.1148,0.6567,0.2573,0.3667,0.85,24
Layer 22,22,0.8968,0.8968,0.6524,0.1065,0.6534,0.2444,0.3667,0.8,24
Layer 23,23,0.8705,0.8705,0.5846,0.098,0.5856,0.2859,0.3333,0.75,24
Layer 24,24,0.8333,0.8333,0.5324,0.0937,0.5322,0.3009,0.3167,0.7,24
