Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers
CNN,0,0.6812,0.6761,0.4188,0.1201,0.4036,0.2624,0.275,0.5417,4
Layer 1,1,0.7271,0.7256,0.4646,0.1524,0.4474,0.2625,0.3,0.6167,4
Layer 2,2,0.7458,0.7419,0.5229,0.1618,0.5154,0.2229,0.3417,0.7333,4
Layer 3,3,0.7583,0.7545,0.5583,0.168,0.5441,0.2,0.375,0.75,4
Layer 4,4,0.7896,0.7845,0.5833,0.1419,0.5733,0.2063,0.4333,0.7333,4
Layer 5,5,0.7917,0.7885,0.5687,0.113,0.5471,0.223,0.425,0.725,4
Layer 6,6,0.8021,0.7998,0.6188,0.1106,0.605,0.1833,0.45,0.7333,4
Layer 7,7,0.8188,0.8178,0.6479,0.1327,0.6303,0.1708,0.4333,0.7917,4
Layer 8,8,0.8167,0.8153,0.6771,0.1229,0.6649,0.1396,0.4667,0.7667,4
Layer 9,9,0.8375,0.8356,0.6625,0.1371,0.6601,0.175,0.4333,0.7833,4
Layer 10,10,0.8375,0.8355,0.7333,0.1349,0.7312,0.1042,0.5,0.8167,4
Layer 11,11,0.8292,0.8274,0.7583,0.1365,0.7599,0.0709,0.525,0.8583,4
Layer 12,12,0.8542,0.8537,0.8042,0.0994,0.8061,0.05,0.6333,0.875,4
Layer 13,13,0.8583,0.857,0.8271,0.0454,0.8277,0.0312,0.75,0.8667,4
Layer 14,14,0.8583,0.8575,0.8458,0.0488,0.8448,0.0125,0.7667,0.9,4
Layer 15,15,0.8354,0.8358,0.8521,0.0758,0.8501,-0.0167,0.725,0.925,4
Layer 16,16,0.8417,0.8413,0.8104,0.0756,0.8086,0.0313,0.6833,0.875,4
Layer 17,17,0.825,0.8258,0.7792,0.0683,0.7754,0.0458,0.6667,0.8417,4
Layer 18,18,0.7917,0.7899,0.7104,0.1298,0.7048,0.0813,0.5,0.8333,4
Layer 19,19,0.7938,0.7932,0.75,0.0738,0.7449,0.0437,0.6333,0.825,4
Layer 20,20,0.7688,0.7661,0.7542,0.0958,0.7543,0.0146,0.6,0.8583,4
Layer 21,21,0.7458,0.7443,0.7667,0.0993,0.7657,-0.0209,0.6,0.85,4
Layer 22,22,0.7375,0.7322,0.7625,0.0783,0.7611,-0.025,0.6417,0.85,4
Layer 23,23,0.6604,0.6568,0.6896,0.0832,0.6881,-0.0292,0.55,0.7667,4
Layer 24,24,0.5292,0.5268,0.6042,0.0887,0.6014,-0.075,0.4583,0.6833,4
