feature,density,mean_act,max_act,n_active_frames
0,0.003906312315678531,3.7446558,12.578125,3673
1,0.0012241125715616635,2.6581428,11.415639,1151
2,0.004557187114806019,1.7408068,5.4610767,4285
3,0.013557764606662108,1.4654269,6.8318663,12748
4,0.04859546110544491,2.1998622,8.745305,45693
5,0.00047858441112315255,1.9127812,7.0417557,450
6,0.0013538621230217182,1.6437712,9.9951,1273
7,0.00014038476059612475,1.2958962,6.612202,132
8,0.0018452087851081548,1.2733774,4.40945,1735
9,0.0009986461378769782,1.4798833,6.633769,939
10,0.003408584528110453,1.3310041,8.019751,3205
11,0.03216087242747585,1.4069654,5.3083515,30240
12,0.0018420182223673337,1.3374915,5.986908,1732
13,9.039927765659548e-05,0.8236061,1.9952536,85
14,0.001860098077898653,3.0995505,8.028723,1749
15,0.0039414085058275625,1.5535287,6.7079697,3706
16,0.004895386765333047,1.5738741,9.093992,4603
17,0.002851299569380382,2.4584513,13.482738,2681
18,0.0008040218106868962,1.7367564,5.781903,756
19,0.0029374447633825494,3.0057657,9.398789,2762
20,0.00021057714089418712,1.2658895,5.0567136,198
21,0.000568983688779748,1.2839606,7.0452485,535
22,0.0006647005710043785,1.083436,4.5805693,625
23,4.2540836544280225e-06,0.82689685,0.94119704,4
24,4.9985482939529265e-05,1.0693917,1.9813988,47
25,1.701633461771209e-05,0.55638325,2.5756378,16
26,0.0039095028784193525,2.1766257,13.26585,3676
27,0.0011443485030411382,1.6322535,5.434548,1076
28,0.0023003957361319534,2.0034475,6.4200263,2163
29,2.9778585580996157e-05,1.3716035,3.0088863,28
30,0.0026683739722399773,2.1421287,7.6061745,2509
31,0.0004775208902095455,1.3903391,7.2891164,449
32,0.0022886970060822763,1.1760585,7.193363,2152
33,8.295463126134644e-05,0.83148193,1.6101724,78
34,0.0015452958874709792,1.4382308,7.926371,1453
35,0.006482159968434699,1.6310899,8.473361,6095
36,0.0008497532099719975,1.7390852,7.55126,799
37,0.0018675427242939018,2.136959,6.8846016,1756
38,0.00010954265410152158,2.7839975,9.874095,103
39,0.002191916602944039,4.316107,13.7236595,2061
40,0.0006753357801404486,1.4185083,7.782907,635
41,0.004283862240009019,1.7942995,7.4868293,4028
42,0.00022865699642550622,1.422279,5.0633726,215
43,0.0008008312479460752,1.4722607,6.828981,753
44,0.0027555826871557515,2.2602055,8.716133,2591
45,0.0021461852036589375,1.7140917,4.983712,2018
46,0.0017962868230822326,2.8848937,9.3200035,1689
47,0.00014570236516415978,1.5936079,5.648154,137
48,0.006473651801125843,4.470968,15.1846695,6087
49,0.0009646134686415541,1.6912993,9.19667,907
50,0.0029129837823695885,1.9982587,6.453075,2739
51,0.004157303251289785,2.0793004,9.140801,3909
52,0.0007721161832786861,1.6183343,7.1019115,726
53,0.005669629990438947,1.3201219,9.166462,5331
54,0.007815815194097884,2.3161516,7.8070054,7349
55,0.002222758709438642,2.9388225,9.752537,2090
56,2.1270418272140113e-06,0.82264423,1.0715554,2
57,0.0005136806012721837,1.394311,8.131302,483
58,6.700181755724135e-05,0.68700385,1.4832526,63
59,0.003933963859432314,1.9691058,7.8816185,3699
60,9.997096587905853e-05,0.98722976,3.2199001,94
61,0.0025237351279894242,3.0691698,9.011027,2373
62,0.0016644102297949637,2.5269666,6.9646096,1565
63,2.5524501926568134e-05,0.9823769,3.3686082,24
64,0.004555060072978805,2.5720384,9.234435,4283
65,0.0026056262383371636,2.8687975,9.095924,2450
66,0.006307742538603151,2.0885437,9.6438875,5931
67,0.0010709655600022547,1.483717,9.524344,1007
68,0.0002637531865745374,1.2126698,5.034208,248
69,0.009201582944527813,1.7123287,6.809897,8652
70,0.002977858558099616,1.3083788,5.6189756,2800
71,0.002239775044056354,1.6402382,6.2138033,2106
72,0.000757226890488188,1.4343889,8.592477,712
73,0.002235520960401926,1.2901189,5.2164273,2102
74,0.0013028131191685818,1.4129367,4.785441,1225
75,0.001159237795831636,2.131756,7.3694935,1090
76,0.0006327949435961683,1.2295253,6.2863092,595
77,0.0018494628687625828,3.0981696,9.776383,1739
78,0.003657448421894492,2.347805,8.064552,3439
79,0.0003201197949957087,1.6087407,9.573906,301
80,0.0012560181989698736,1.4673582,6.855549,1181
81,0.001331528183835971,2.7390187,10.070622,1252
82,0.06848649275263674,1.355419,9.446474,64396
83,0.00036691471519441696,1.4405767,7.2488256,345
84,0.0007848784342419701,1.3028402,5.6998286,738
85,0.0017845880930325553,1.3990641,10.714223,1678
86,0.008931448632471634,2.2831607,8.478168,8398
87,0.0012219855297344495,1.1897051,5.5857596,1149
88,0.0012889873472916908,1.3010988,5.8736577,1212
89,0.00033181852504538575,1.5248641,8.789538,312
90,0.0013400363511448272,1.6054827,7.235068,1260
91,0.0014942468836178428,1.988665,9.719834,1405
92,0.00048177497386397354,1.3269595,6.1931005,453
93,0.004653967517944256,1.463591,5.1191177,4376
94,7.65735057797044e-05,1.8357255,6.66997,72
95,0.0072085447524282845,2.2961118,11.113172,6778
96,0.0013262105792679361,1.4771309,6.7645874,1247
97,0.001692061773548746,1.4838904,6.2195196,1591
98,0.0021727732264991127,2.1132407,5.9194775,2043
99,0.00016909982526351389,1.6423874,6.717317,159
100,0.0011081887919785,1.2624322,7.1179104,1042
101,0.00028715064667389153,1.8937205,9.347002,270
102,0.001897321309874898,1.9656789,9.159942,1784
103,0.0008965481301707058,1.7065392,9.8654375,843
104,0.013398236469621056,1.0108296,3.2203107,12598
105,0.00010635209136070057,0.73024035,1.7519823,100
106,0.0016048530586329716,2.4241881,8.831285,1509
107,0.00016271869978187186,0.87063336,1.96056,153
108,0.00031692923225488766,8.306244,14.028473,298
109,0.003337328626898784,1.6225778,7.105645,3138
110,0.00017973503439958394,1.0012728,2.4076483,169
111,0.002822584504712993,3.2404141,8.606533,2654
112,0.00042115428178837424,2.4113443,9.222593,396
113,0.02862998299430059,1.6520218,5.561235,26920
114,0.002973604474445188,2.0198076,7.2064977,2796
115,0.004366816871270365,4.198591,13.058925,4106
116,0.005310159921639779,1.5116878,6.1234922,4993
117,0.000749782244092939,1.4727758,5.599985,705
118,0.0012698439708467646,3.083827,9.709509,1194
119,0.002682199744116868,2.1536512,9.634574,2522
120,0.01809261778228238,8.370267,19.376822,17012
121,0.0009231361530108808,2.296256,9.119694,868
122,0.005036835046842779,2.16177,8.961445,4736
123,0.00027119783296978645,1.633512,8.915,255
124,0.009513194572214665,43.42007,78.06284,8945
125,0.0008486896890583904,1.5754517,9.406174,798
126,0.0870311069232021,10.127965,55.833477,81833
127,0.0034745228247540874,1.3458112,6.0233083,3267
128,0.0005455862286803939,2.1895344,10.198755,513
129,5.4239566593957285e-05,0.9210349,2.4553106,51
130,0.0021663921010174705,1.2905465,6.960236,2037
131,0.0005009183503088997,1.3968735,8.2459345,471
132,0.0017537459865379524,1.441908,7.5536013,1649
133,0.0018441452641945477,2.1435163,7.660171,1734
134,0.0002839600839330705,2.3997464,8.499523,267
135,0.005043216172324421,2.1015706,9.935122,4742
136,0.000746591681352118,1.2989672,9.462466,702
137,0.0026928349532529382,4.2662277,9.842808,2532
138,0.00266731045132637,2.7366228,8.057359,2508
139,0.010274675546357281,1.9833305,9.1492605,9661
140,6.168421298920632e-05,0.62374336,1.6935185,58
141,0.0010060907842722273,1.3353429,5.8297205,946
142,0.0003626606315399889,2.5451314,10.242529,341
143,0.0023652705118619804,1.7445984,11.664196,2224
144,0.00012336842597841265,1.7604192,9.520474,116
