feature,density,mean_act,max_act,n_active_frames
0,0.0032877270931650107,2.042285,4.699538,4644
1,0.0003277815771178725,2.1868684,4.932251,463
2,0.0015702365832558126,2.1905026,4.5539236,2218
3,0.0027440202870602027,2.013958,4.646132,3876
4,0.0006520233963835002,2.1692297,4.2677803,921
5,0.0005522022249501956,2.2202854,4.2820005,780
6,0.0028785310854455067,1.8483192,4.347056,4066
7,0.004135145122992426,2.1639488,6.127947,5841
8,0.004256912793109649,1.9083233,4.038578,6013
9,0.0009854685860649645,2.2662063,4.8173065,1392
10,0.000950071007542516,2.3543644,6.6651163,1342
11,0.0016707657062595663,2.178655,4.57347,2360
12,0.0017295256866068306,2.283427,6.0042505,2443
13,0.005720248689227667,2.1080232,5.249616,8080
14,0.0006626426699402348,2.203795,4.718355,936
15,0.0016672259484073213,2.1276915,4.2857127,2355
16,0.0010647591619552489,2.0902216,4.428265,1504
17,0.0011617485271067578,2.1776197,4.573213,1641
18,0.003689135633609576,1.8517796,4.198962,5211
19,0.0008509577876796604,1.9575175,4.4638686,1202
20,0.010886171298793792,2.7306812,7.790261,15377
21,0.0016870485923798926,2.229645,4.8921313,2383
22,0.0031532162947797066,1.8233871,3.8690393,4454
23,0.0004785752616235029,2.401144,5.719306,676
24,0.0018364263737446248,2.2230675,4.7324405,2594
25,0.0021882783042577623,1.9158025,5.050392,3091
26,0.0006088383505861131,2.2685418,6.7841496,860
27,0.0008275953858548445,2.2439454,4.774944,1169
28,0.0009139654774496187,2.2355418,6.0371785,1291
29,0.0005366272904003183,2.366745,5.5975475,758
30,0.0008169761122981099,2.3388066,5.80396,1154
31,0.0010782102417937795,1.9429091,4.191987,1523
32,0.0009635220873810465,3.1085029,9.071567,1361
33,0.003849840640101492,2.3446712,5.0314617,5438
34,0.00217624312756013,1.7418,4.093805,3074
35,0.0013620988215438158,2.1433182,4.772669,1924
36,0.0013316569040145102,1.8578892,4.045551,1881
37,0.0026364116483519593,2.4292762,5.8189607,3724
38,0.0012877639066466741,2.073094,3.9400704,1819
39,0.0012389152482856953,1.9179721,3.6953788,1750
40,0.001018742309876066,2.235139,5.959123,1439
41,0.03454449688005743,3.7038896,14.067285,48795
42,0.002036776668181683,1.8789521,4.063956,2877
43,0.003801699933310962,3.1582959,10.020887,5370
44,0.0025981822635477154,3.2910101,8.480045,3670
45,0.0008084806934527223,2.1499538,4.442568,1142
46,0.00021309342270513958,2.1619604,4.8910885,301
47,0.008081267176674978,2.8260517,9.187664,11415
48,0.0015284674405993235,2.300718,5.594621,2159
49,0.0021811987885532727,3.1275978,8.704226,3081
50,0.011596246723954108,2.9893699,9.0374,16380
51,0.009007975782392678,2.770391,8.565284,12724
52,0.0005366272904003183,2.13233,4.3628674,758
53,0.00035680759150628026,2.2980926,6.3195424,504
54,0.0031192346193981563,2.3831038,5.3061657,4406
55,0.0016219170478985873,2.1285188,5.088623,2291
56,0.046439499166741,3.8621044,13.514869,65597
57,0.001698375817507076,2.2017176,5.1584096,2399
58,0.010258926207376005,2.112195,5.4701943,14491
59,0.0006463597838199085,2.2123687,4.930996,913
60,0.00113272251271835,2.3039398,5.0312915,1600
61,0.0031829502607385635,1.859915,3.5587354,4496
62,5.380431935412162e-05,2.3797452,6.7868123,76
63,0.03097996072284687,2.2068791,6.1886544,43760
64,0.0003745063807675045,2.1671805,5.0687795,529
65,0.008227813151757914,2.3546088,6.223879,11622
66,0.0007638797445144373,2.262438,5.1531277,1079
67,0.0006668903793629285,2.1262941,4.988701,942
68,0.0015114766029085483,2.265166,4.7683887,2135
69,0.001720322316190994,2.22986,5.1530166,2430
70,0.009422835402675774,1.9196767,4.182885,13310
71,0.004387175882072259,1.9009055,4.0032477,6197
72,0.0018243911970469925,2.2031105,5.2618384,2577
73,0.0035383419491039456,1.9251992,3.8910136,4998
74,0.0017960731342290337,1.8596162,4.1525707,2537
75,0.0009019303007519861,2.1901958,4.8282704,1274
76,0.002102616164233437,1.9411656,4.2232037,2970
77,0.0016537748685687909,2.2478597,4.9255543,2336
78,0.004658321333554215,2.4989905,7.910554,6580
79,0.0009097177680269248,2.096564,4.5273676,1285
80,0.00553334947462914,1.8518225,3.7027736,7816
81,0.0007808705822052126,2.248825,4.6899962,1103
82,0.00160634211334871,1.8408432,4.328014,2269
83,0.004082048755208754,1.9983034,4.168772,5766
84,0.0009564425716765567,2.3344655,5.483937,1351
85,0.003081005234593912,2.3533106,5.917567,4352
86,0.01871965542581163,3.3866537,10.586088,26442
87,0.0034831217266089263,2.2124696,4.6127906,4920
88,0.002622960568513429,2.0913267,4.941155,3705
89,0.000998919665903495,2.0465558,5.122878,1411
90,0.0009925481017694542,2.1717122,4.731952,1402
91,0.0016374919824484646,2.0731761,4.357943,2313
92,0.0006860050717650507,2.0424156,4.552201,969
93,0.0004417617799601565,2.23835,6.2425203,624
94,0.003374097184759785,3.1039813,10.870361,4766
95,0.0011461735925568804,2.2937965,5.955661,1619
96,0.0019504065765869089,2.9815574,7.8062778,2755
97,0.003279231674319623,3.5549984,8.843837,4632
98,0.0724276933663522,2.5180178,8.845556,102306
99,0.00353551014282215,1.8119617,3.7743654,4994
100,0.00534786616317151,2.2696438,6.3858333,7554
101,0.006855803008227813,2.4191723,5.831976,9684
102,0.007018631869431076,2.6494136,7.6618056,9914
103,0.0015723604379671596,2.365869,6.3705716,2221
104,0.000746180955253213,2.2977147,5.479355,1054
105,0.014588050060671449,2.0588055,4.8433113,20606
106,0.003367725620625744,2.2167065,4.788125,4757
107,0.25629121163079477,4.655654,16.449741,362018
108,0.002826142669232283,2.8048565,7.8585143,3992
109,0.0007589240835212945,2.2294655,4.5862575,1072
110,0.00015433344235787517,2.3282745,6.2616253,218
111,0.00029096809545452613,2.2818084,6.996834,411
112,0.00029521580487722,2.2158694,6.667525,417
113,0.0008665327222295377,2.1374538,4.37867,1224
114,0.0011943142993474103,2.192822,5.023112,1687
115,0.0010647591619552489,1.9682857,4.5642204,1504
116,0.02097235732298025,3.9117706,10.624355,29624
117,0.0009465312496902712,1.9535162,4.425121,1337
118,0.00706394076993981,2.6534197,8.3616,9978
119,0.004285938807498057,2.782594,8.149887,6054
120,0.003352150686075867,2.3202496,5.5582275,4735
121,0.008810457294237416,1.8857641,4.21039,12445
122,0.0012757287299490416,2.1686802,4.4982347,1802
123,0.003189321824872604,1.8622347,3.6781254,4505
124,0.001423690608172876,1.853191,4.13481,2011
125,0.0005387511451116652,2.3531756,5.716108,761
126,0.004500448133344094,1.8454512,4.1449485,6357
127,0.001742976766445361,2.1849642,4.5672812,2462
128,0.0008014011777482326,2.0646725,4.629911,1132
129,0.0006456518322494595,1.9824475,4.5442867,912
130,0.0005253000652731348,2.163517,4.743601,742
131,0.0003815858964719941,2.1542628,4.6767573,539
132,0.0033825926036051726,2.178346,5.448445,4778
