feature,density,mean_act,max_act,n_active_frames
0,0.00932588831292621,2.384476,8.875567,3170
1,0.0009384726724995146,2.156972,5.3602676,319
2,0.002571238607412463,2.0631332,4.383645,874
3,0.0012826773831027848,2.4730465,10.212059,436
4,0.0026918573521537803,2.26027,6.458123,915
5,0.0027801149702571825,2.0142012,4.8576283,945
6,0.0014944956665509511,1.6400447,4.6151166,508
7,0.003877451355342822,2.1823287,7.022054,1318
8,0.001470960301723377,2.1235142,5.0862646,500
9,0.003568549691980913,2.090658,5.420099,1213
10,0.015189136075595591,3.3570287,11.9061165,5163
11,0.002397665291809105,1.9690995,5.922076,815
12,0.0014503668574992498,2.0510955,4.8233438,493
13,0.010608565696028995,2.2113974,6.520415,3606
14,0.0011296975117235535,1.9720652,5.9724965,384
15,0.003159622728101814,2.009963,5.925927,1074
16,0.00369799419853257,1.9074057,4.809103,1257
17,0.0013591673187924003,2.1972377,5.6472535,462
18,0.002294698070688468,2.2442465,6.9606376,780
19,0.004901239725342292,2.8459156,12.236018,1666
20,0.0038068452608601,3.1509922,11.56147,1294
21,0.002032867136981707,2.187422,5.4547515,691
22,0.000358914313620504,2.9011807,7.355951,122
23,0.0017533846796542656,2.5730712,7.4639745,596
24,0.007187112034220421,2.2618158,7.0172615,2443
25,0.0026035997340503776,2.2402873,6.0257525,885
26,0.007822566884564919,2.1028283,10.846623,2659
27,0.014724312620251005,2.9259636,12.2522545,5005
28,0.004565860776549363,2.376599,8.428155,1552
29,0.0046982472037044665,2.2284315,6.937745,1597
30,0.002368246085774637,2.024062,5.535202,805
31,0.0013827026836199744,2.3229096,6.5266094,470
32,0.003421453661808575,2.8084044,9.908712,1163
33,0.002730102319998588,2.308252,6.0171194,928
34,0.0008325635307754315,2.526566,8.457878,283
35,0.0020034479309472396,2.0611253,5.8090954,681
36,0.0007501897538789224,2.908581,11.690967,255
37,0.003218461140170749,2.8499005,11.310224,1094
38,0.001447424936895803,2.0143962,5.2209153,492
