feature,density,mean_act,max_act,n_active_frames
0,0.0013567561595403822,4.536982,21.379145,307
1,0.0013434979560269583,2.5355134,12.15327,304
2,0.0008220086178322838,7.2244654,16.934929,186
3,0.0018870843000773395,1.5314159,7.1184,427
4,0.001197657717379295,3.4148726,8.097192,271
5,0.00688100762346702,2.0824509,10.4378,1557
6,0.001794276875483372,6.901381,15.170155,406
7,0.0032924538725002763,2.684166,11.2365055,745
8,0.028270909291790963,2.8933523,10.872455,6397
9,0.008030051927963761,1.984148,7.994301,1817
10,0.0008175892166611424,5.327894,16.377226,185
11,0.0029786763893492434,2.044387,8.948434,674
12,0.001153463705667882,2.5480518,7.790964,261
13,0.0005214893381946746,4.3335924,13.82146,118
14,0.0007557176002651641,6.7116747,18.025301,171
15,0.004825986078886311,1.4604706,6.211313,1092
16,0.0009059772400839686,4.7422395,16.282034,205
17,0.006810297204728759,2.7221808,10.161921,1541
18,0.00032703568666445695,10.40127,29.451551,74
19,0.002382057231245166,2.206142,10.640629,539
20,0.002280411004308916,5.6356125,13.004092,516
21,0.0012197547232350016,4.0288687,10.528667,276
22,0.0014893381946746217,3.282698,10.395987,337
23,0.010509335984974036,1.4193728,7.070511,2378
24,0.010672853828306265,1.7425318,7.918506,2415
25,0.009417743895702132,1.767265,6.687451,2131
26,0.00039332670423157664,8.482815,29.59572,89
27,0.024704452546679925,1.5144986,6.3448553,5590
28,0.0023334438183626118,2.8484073,11.132182,528
29,0.0007733952049497294,4.231101,15.141154,175
30,0.022136780466246824,1.9238821,8.468494,5009
31,0.0008087504143188598,4.2938795,14.1183605,183
32,0.0005833609545906529,6.0959024,17.934538,132
33,0.0011181084962987515,3.8665032,10.767826,253
34,0.005908739365815932,5.200401,15.620389,1337
35,0.0009015578389128273,6.483899,15.033971,204
36,0.004702242846094354,1.9936357,9.25895,1064
37,0.0011711413103524472,3.5133169,15.734637,265
38,0.0083659264169705,1.9274477,9.486871,1893
39,0.001436305380620926,4.8744345,12.41744,325
40,0.0009899458623356535,4.472833,15.401695,224
41,0.0005568445475638051,6.665427,21.33619,126
42,0.007044525466799249,2.040267,8.163622,1594
43,0.0015600486134128826,3.2660315,16.6233,353
44,0.0018915037012484808,2.566767,8.041712,428
45,0.005232570986631311,3.4629326,11.570027,1184
46,0.0020859573527786984,3.2030313,10.994457,472
47,0.0018694066953927743,2.2835186,15.868324,423
48,0.0006363937686443487,4.0236497,15.6341505,144
49,0.0022450557949397856,2.033128,11.878188,508
50,0.0007645564026074467,1.0254538,2.9852931,173
51,0.0031642912385371784,2.7331655,9.994287,716
52,0.004092365484476853,4.008923,13.427364,926
53,0.001153463705667882,4.1927085,12.140465,261
54,0.001025301071704784,4.2821193,12.967967,232
55,0.0021610871726881007,2.3706198,10.40274,489
56,0.005347475417080985,2.7230108,10.091048,1210
57,0.007225720914816042,1.6128668,6.1107497,1635
58,0.0006540713733289139,5.750921,15.000384,148
59,0.0011667219091813059,4.0974307,15.995222,264
60,0.0012418517290907081,7.8471045,17.090958,281
61,0.0003535520936913048,7.027917,19.52869,80
62,0.0011446249033255993,4.609402,17.8366,259
63,0.01412882554413877,1.747494,7.4200997,3197
64,0.0014009501712517953,3.3124785,10.142998,317
65,0.00559938128383604,2.2581995,6.761168,1267
66,0.006019224395094465,2.2101018,15.079374,1362
67,0.002253894597282068,2.8744104,10.991783,510
68,0.0016705336426914154,6.6253963,17.165766,378
69,0.0022980886089934813,3.3489912,16.739634,520
70,0.009156999226604795,2.6602337,9.508276,2072
71,0.007398077560490554,1.5061697,6.251258,1674
72,0.013691304828195779,2.4044025,7.005934,3098
73,0.0012860457408021212,3.5766277,14.151798,291
74,0.0053386366147387026,2.4971838,7.7274594,1208
75,0.007066622472654955,1.8207823,7.914483,1599
76,0.0008838802342282621,7.098709,18.853643,200
77,0.004742017456634626,2.3960967,9.244617,1073
78,0.0008087504143188598,5.2206364,17.696733,183
79,0.005312120207711855,1.8968109,8.151684,1202
80,0.00917467683128936,1.3879819,5.6342616,2076
81,0.001224174124406143,2.0420089,13.290657,277
82,0.004808308474201745,2.4170988,7.065865,1088
83,0.008370345818141642,2.4656558,9.80731,1894
84,0.008502927853275881,2.0029893,7.9907227,1924
85,0.0011888189150370124,2.959982,12.242753,269
86,0.0009722682576510883,4.4721365,13.659224,220
87,0.0026162854933156556,2.6519365,11.683853,592
88,0.0020903767539498398,5.958583,14.16413,473
89,0.0014451441829632086,3.661199,12.165687,327
90,0.001409788973594078,2.5693889,8.593991,319
91,0.0003623908960335875,8.934113,25.984228,82
92,0.001909181305933046,2.6632214,10.710433,432
93,0.0019754723235001657,1.8761748,6.550768,447
94,0.0025588332780908185,2.150779,10.748776,579
95,0.0051088277538393545,2.256055,8.685436,1156
96,0.004507789194564136,1.5624268,8.4749975,1020
97,0.0010208816705336427,2.9281812,13.957255,231
98,0.0035090045298862005,2.5577185,15.008081,794
99,0.00044194011711413104,4.5726743,12.011627,100
100,0.011331344602806319,3.0860038,10.080169,2564
101,0.001396530770080654,5.680427,15.998818,316
102,0.0037255551872721246,3.7396388,10.527726,843
103,0.0003668102972047288,0.9763803,2.4112027,83
104,0.0009811070599933709,4.235566,11.834848,222
105,0.0034515523146613635,2.5863779,11.216404,781
106,0.00101204286819136,2.7325895,7.5075083,229
107,0.0032968732736714176,1.1161076,4.3375573,746
108,0.0005038117335101094,6.330812,20.494938,114
109,0.0009059772400839686,3.3728783,15.655151,205
110,0.0015423710087283174,3.6080472,14.706578,349
111,0.0009015578389128273,4.940623,20.846731,204
112,0.0008617832283725555,6.7326303,19.827192,195
113,0.0010650756822450558,4.273424,14.411161,241
114,0.005303281405369572,1.2102467,4.988511,1200
115,0.0011357861009833167,4.880422,20.698181,257
116,0.0018384708871947851,4.5773025,12.954473,416
117,0.0020992155562921224,2.0566857,9.0838585,475
118,0.001255109932604132,5.2429457,15.798018,284
119,0.0015600486134128826,4.727758,18.531136,353
120,0.0015821456192685892,3.3659225,15.761768,358
121,0.0022848304054800574,1.823942,8.214193,517
122,0.04457408021213126,3.8577325,12.270446,10086
123,0.0013523367583692409,5.8826203,17.949123,306
124,0.013196331897027952,1.994723,8.578916,2986
125,0.0005082311346812507,0.8250266,1.6472033,115
126,0.0006938459838691857,5.7442245,20.73638,157
127,0.0020859573527786984,3.2399158,10.488212,472
128,0.0008573638272014142,6.3956256,21.910347,194
129,0.0018915037012484808,5.226411,19.856936,428
130,0.10562368799027731,3.6452653,11.819848,23900
131,0.005404927632305823,2.4919295,11.296161,1223
132,0.0008838802342282621,4.1462197,15.770668,200
133,0.015052480388907302,1.3602371,6.4189568,3406
134,0.00940890509335985,2.5486574,10.351567,2129
135,0.0011667219091813059,5.564044,19.516346,264
136,0.0010297204728759253,4.6472187,13.270386,233
137,0.0029830957905203847,2.65693,9.315467,675
138,0.0015291128052148935,6.1584435,18.509995,346
139,0.014690089492873716,2.1993566,11.2971525,3324
140,0.004021655065738592,3.5759768,7.924174,910
141,0.006142967627886422,2.6840584,11.813219,1390
142,0.0034957463263727766,1.9639378,11.541918,791
143,0.0015467904098994587,2.3912807,11.422831,350
144,0.0015467904098994587,2.670272,11.589716,350
145,0.0014981769970169043,2.3663516,11.133778,339
146,0.002523478068721688,3.0523932,10.329137,571
