feature,density,mean_act,max_act,n_active_frames
0,0.0010805372482247178,2.287565,8.748275,1016
1,1.0635209136070057e-05,2.6737807,6.6913915,10
2,2.446098101296113e-05,3.0280385,10.445033,23
3,0.0,0.0,0.0,0
4,8.508167308856045e-06,3.2316115,4.933592,8
5,0.00025737206109289535,3.1205761,7.1391344,242
6,0.01358860671315671,1.7222868,3.663303,12777
7,0.0023429365726762336,5.453806,13.373068,2203
8,0.18543018889194945,3.9676335,19.228909,174355
9,3.1905627408210167e-06,2.1436524,3.134936,3
10,0.002330174321712949,5.668723,13.250438,2191
11,0.008965481301707058,4.7464786,14.310225,8430
12,0.00010422504953348655,2.037815,4.463661,98
13,0.0017686352793284503,4.1024814,11.233531,1663
14,0.00021057714089418712,2.267278,7.123889,198
15,0.003045923896570464,6.055691,14.661036,2864
16,7.870054760691842e-05,2.7096176,7.7054863,74
17,0.0051750927656116896,2.174096,5.205459,4866
18,2.5524501926568134e-05,2.337846,10.577439,24
19,0.0024429075385552917,5.68573,14.424056,2297
20,3.190562740821017e-05,2.4761899,7.2581987,30
21,7.976406852052543e-05,2.2616942,5.496339,75
22,0.00014357532333694577,2.6771202,10.784088,135
23,0.000550903833248429,2.3264973,6.2249713,518
24,8.933575674298847e-05,1.9187704,6.603844,84
25,5.317604568035028e-06,1.7538246,2.797269,5
26,0.00245779683134579,5.557336,13.234675,2311
27,7.444646395249039e-06,3.191651,5.285163,7
28,6.700181755724135e-05,1.8285397,4.3716283,63
29,0.0003275644413909577,3.9514236,12.661527,308
30,0.002093009157978587,1.8850124,4.2797303,1968
31,0.0012315572179569126,2.5903218,10.170966,1158
32,0.000379676966157701,1.982225,4.621548,357
33,0.00022227587094386417,1.7507118,4.323293,209
34,4.573139928510124e-05,2.1600213,7.2311225,43
35,0.003601081813473321,3.6430886,11.227306,3386
36,1.0635209136070056e-06,1.8544497,1.8544497,1
37,0.0015218984273716251,2.044408,7.1986847,1431
38,0.002638595386658981,5.5983686,14.943666,2481
39,0.0014697859026048818,3.4171185,9.244641,1382
40,0.00021589474546222215,3.3676324,8.545439,203
41,2.3397460099354124e-05,2.6137376,5.9634013,22
42,0.0015059456136675199,3.2711954,8.101753,1416
43,0.002858744215775631,2.3494015,5.8706245,2688
44,0.0007529728068337599,2.1707065,8.514925,708
45,2.8715064667389152e-05,1.9203416,6.0846148,27
46,1.0635209136070056e-06,1.6769456,1.6769456,1
47,0.0033596625660845306,2.6995587,10.337036,3159
48,0.00048177497386397354,2.0473773,5.927315,453
49,0.0012007151114623094,2.007738,4.4566007,1129
50,0.002094072678892194,2.5789511,8.772176,1969
51,4.254083654428023e-05,1.9190583,3.3220136,40
52,0.006788453991553517,3.2921793,10.02871,6383
53,0.0002073865781533661,2.3621864,7.0685687,195
54,1.0635209136070056e-06,1.4584178,1.4584178,1
55,0.0001137967377559496,1.5928013,3.3350112,107
56,0.00016271869978187186,2.9996092,9.675316,153
57,5.317604568035028e-06,2.6039133,4.804381,5
58,1.0635209136070056e-06,5.9312983,5.9312983,1
59,0.010318279903815168,12.256493,14.224963,9702
60,5.5303087507564294e-05,2.1628547,6.861297,52
61,0.00010209800770627253,1.9161932,6.783595,96
62,2.3397460099354124e-05,1.717418,2.71814,22
63,0.010970218223856264,2.2820168,7.818127,10315
64,0.0705922641615786,3.550093,11.875915,66376
65,0.001309194244650224,1.972893,5.879983,1231
66,0.001703760503598423,6.1469016,12.96645,1602
67,0.0004998548293952927,2.2628744,8.26749,470
68,0.007545680882041705,2.2639492,6.9503326,7095
69,1.8079855531319095e-05,2.2562053,4.4659133,17
70,4.041379471706622e-05,2.3295007,6.712819,38
71,0.000551967354162036,2.133035,6.87644,519
72,8.720871491577446e-05,1.8367198,6.4338093,82
73,0.0013559891648489322,2.7443495,7.942961,1275
74,0.0032490563910694023,1.8295672,3.9688847,3055
75,0.0005583484796436779,2.2868824,8.113348,525
76,0.005451608203149511,2.682955,5.4546866,5126
77,3.72232319762452e-05,2.7123752,7.7052474,35
78,0.0004020109053434481,2.4122276,7.6211977,378
79,0.0005041089130497206,2.2617042,7.134355,474
80,0.00021483122454861513,2.4452488,6.946432,202
81,0.0002084500990669731,2.0657601,5.4494,196
82,1.0635209136070057e-05,1.8018839,3.8540063,10
83,0.010426759037003084,2.356469,9.027526,9804
84,2.1270418272140113e-06,1.8437357,2.096373,2
85,0.001518707864630804,1.9068637,4.8727775,1428
86,3.509619014903119e-05,2.406627,8.419699,33
87,0.0008104029361685383,3.1057014,9.854242,762
88,3.82867528898522e-05,1.8112781,3.481713,36
89,0.00045837751376461944,2.496874,6.9098682,431
90,0.036326683846074494,3.400133,10.430796,34157
91,1.0635209136070056e-06,1.3515195,1.3515195,1
92,0.00035521598514473985,3.1211557,9.536241,334
93,0.0007699891414514721,1.954449,4.4448924,724
94,1.8079855531319095e-05,2.269993,7.2316837,17
95,2.3397460099354124e-05,2.6669981,6.751373,22
96,0.0025630854017928834,6.5759077,16.606766,2410
97,0.004079666224596473,2.0368168,5.437505,3836
98,0.0005945081907063162,2.82795,7.79181,559
99,4.573139928510124e-05,3.202272,7.186938,43
100,2.1270418272140113e-06,1.7018235,2.0236585,2
101,0.004391277852283326,2.1640697,6.516883,4129
102,7.444646395249039e-06,2.7324076,4.295332,7
103,0.00017760799257236993,2.6568918,7.762138,167
104,1.0635209136070057e-05,2.9310122,6.339926,10
105,0.0023354919262809845,5.0107236,12.695116,2196
106,0.00016909982526351389,2.2581832,7.7964168,159
107,0.00802639233499207,3.8247848,10.87617,7547
108,0.004619934848708832,4.708584,13.076546,4344
109,0.00027864247936503547,2.006692,5.652781,262
110,0.03536845150291458,2.3506658,7.652037,33256
111,0.0004530599091965844,2.5747752,7.616716,426
112,0.013011114857068106,1.8408005,4.5012465,12234
113,0.00010954265410152158,2.0177662,5.0055146,103
114,0.0005604755214708919,2.6955502,7.964635,527
115,0.0003584065478855609,4.269976,11.954946,337
116,0.001684617127153497,2.7022772,8.700368,1584
117,0.0016739819180174268,2.3813627,6.2207627,1574
118,0.00014463884425055276,2.249295,5.2410164,136
119,2.1270418272140113e-06,3.2070582,4.876714,2
120,0.00029565881398274755,2.299964,7.0855336,278
121,0.0016473938951772518,4.870425,9.462701,1549
122,0.008512421392510473,2.729792,7.6203303,8004
123,9.784392405184451e-05,2.297665,8.549894,92
124,0.00027119783296978645,1.421066,3.0602155,255
125,3.1905627408210167e-06,3.2023442,4.1329875,3
126,7.976406852052543e-05,2.3670788,7.3963976,75
127,0.0017782069675509134,2.990806,11.069596,1672
128,0.0009912014914817292,3.103919,11.44572,932
129,0.0007146860539439078,2.0200095,7.6315336,672
130,0.0005998257952743512,2.4369123,7.0023394,564
131,1.701633461771209e-05,2.5452027,6.1033273,16
132,0.0014538330889007768,3.6062896,10.022743,1367
133,0.00038605809163934303,2.9606373,8.410247,363
134,0.0007221307003391569,2.8938239,7.2735243,679
135,1.0635209136070056e-06,2.9959924,2.9959924,1
136,2.020689735853311e-05,2.150763,4.5778685,19
137,3.1905627408210167e-06,2.74257,3.0285535,3
138,0.00022121235003025718,2.5351057,9.574666,208
139,0.0005306969358898958,2.7659001,10.069233,499
140,6.274773390281333e-05,2.0929885,9.745103,59
141,2.1270418272140113e-06,2.3914814,2.929143,2
142,0.0016399492487820027,2.1121109,5.3819866,1542
143,0.0002233393918574712,3.0680828,10.183033,210
144,0.0010337423280260094,2.0520267,4.6373415,972
145,7.444646395249039e-06,1.6729337,2.3382332,7
146,0.002385477409220514,1.894744,4.421354,2243
147,5.7430129334778304e-05,2.1656766,5.4587564,54
148,0.007241513900750101,1.9080863,4.318331,6809
149,1.0635209136070056e-06,2.1647017,2.1647017,1
150,0.0006689546546588066,2.4811213,7.373055,629
151,0.00019462432719008203,4.9998317,9.612264,183
152,0.00916329619163796,3.4376683,11.940215,8616
153,0.004010537365212018,1.9305202,5.185617,3771
154,0.05559449223789261,2.323301,7.008952,52274
155,0.0,0.0,0.0,0
156,2.3397460099354124e-05,2.8688946,5.97578,22
157,0.0006700181755724136,2.7527392,6.888172,630
158,0.0023865409301341207,1.7859539,3.81503,2244
159,0.002298268694304739,6.2487173,15.575555,2161
160,0.0010762831645702896,2.0974216,6.850429,1012
161,0.0004722032856415105,2.7523482,12.854517,444
162,4.147731563067322e-05,1.8489969,4.0856385,39
163,2.1270418272140113e-06,1.9309657,2.008245,2
164,0.17238823192838676,3.627836,16.473158,162092
165,1.4889292790498078e-05,1.784428,2.7943432,14
166,3.1905627408210167e-06,2.5370364,3.128789,3
167,0.00556221437816464,2.19191,7.2705708,5230
168,0.00016484574160908588,2.0773327,5.7980824,155
169,2.8715064667389152e-05,2.9303412,7.7787857,27
170,0.002977858558099616,2.3521924,6.40148,2800
171,0.003369234254306994,2.1273215,6.1348624,3168
172,0.0006785263428812695,2.1028047,5.2033854,638
