feature,density,mean_act,max_act,n_active_frames
0,0.0010164622693625014,2.2220876,7.234792,230
1,0.0025765108827753838,1.9201835,5.942845,583
2,0.0020992155562921224,2.51398,8.91412,475
3,0.005166279969064192,3.1535237,7.978388,1169
4,0.001312562147828969,2.0435705,5.794576,297
5,0.0009855264611645122,2.0341525,4.525189,223
6,0.0017765992707988068,2.0404146,6.158196,402
7,0.0041807535078996795,1.9558938,5.155426,946
8,0.004441498176997017,1.8422642,4.445773,1005
9,0.0014318859794497847,2.4701874,7.546526,324
10,0.0010518174787316318,2.741713,8.322873,238
11,0.0018870843000773395,2.9384024,10.0642605,427
12,0.0031819688432217436,2.14437,5.5331025,720
13,0.005104408352668214,3.1591852,9.2117605,1155
14,0.0010164622693625014,2.259782,6.5068603,230
15,0.0037697491989835377,2.562797,7.3271766,853
16,0.0058468677494199536,1.9370298,4.8250537,1323
17,0.0059882885868964755,3.4686487,10.465826,1355
18,0.0026869959120539165,2.1955729,7.8065257,608
19,0.003217324052590874,3.2042317,12.637222,728
20,0.008215666777151695,2.12685,6.989475,1859
21,0.0072389791183294664,2.1253972,6.0460405,1638
22,0.0022406363937686443,2.155462,5.9809504,507
23,0.0015865650204397305,3.0537314,12.744015,359
24,0.0014451441829632086,2.074451,6.276613,327
25,0.00192243950944647,2.6600761,10.739223,435
26,0.0004817147276544028,2.4268005,9.647596,109
27,0.017933929952491438,2.2757719,6.760417,4058
28,0.0017677604684565242,2.6371303,8.887207,400
29,0.0006054579604463595,2.3626552,6.2772284,137
30,0.003500165727543918,2.54457,7.8644276,792
31,0.01790741354546459,2.1817086,8.69722,4052
32,0.0056656723014031594,2.0824811,7.001047,1282
33,0.00441940117114131,1.9612447,6.037181,1000
34,0.0015467904098994587,2.1169484,6.941019,350
35,0.0015688874157551653,2.1612158,7.1865673,355
36,0.002306927411335764,1.9784356,6.900778,522
37,0.005312120207711855,2.7998352,9.88401,1202
38,0.003318970279527124,2.1229486,5.9287276,751
39,0.0020417633410672853,2.2681267,7.094221,462
40,0.001436305380620926,2.211489,5.1106224,325
41,0.0012330129267484255,2.447263,7.0867906,279
42,0.0011932383162081537,2.5255787,9.605855,270
43,0.0019975693293558723,2.338413,6.3093505,452
44,0.0017456634626008176,2.1252184,6.2077904,395
45,0.00961661694840349,2.9792917,10.796259,2176
46,0.0033499060877251133,2.106553,5.6181164,758
47,0.0024041542371008727,3.7254949,13.268286,544
48,0.002682576510882775,2.0440311,4.948903,607
49,0.00421610871726881,2.0731354,4.650859,954
50,0.0018252126836813612,2.179214,6.2857456,413
51,0.003385261297094244,2.292322,8.282298,766
52,0.0021036349574632637,2.1304533,5.6793714,476
53,0.0009899458623356535,3.0160282,9.047404,224
54,0.0023467020218760357,2.8622928,12.128255,531
55,0.0030980002209700587,2.1826236,6.5251875,701
56,0.0009413324494530991,2.908279,11.304262,213
57,0.0007512981990940228,2.4902017,8.772454,170
58,0.000782234007292012,2.7397187,6.9993186,177
59,0.00815821456192686,8.110204,11.266993,1846
60,0.007411335764003977,2.9085824,9.620846,1677
61,0.0023467020218760357,3.6103675,12.103339,531
62,0.005219312783117888,2.170459,6.6344833,1181
63,0.009568003535520937,3.125853,10.083251,2165
64,0.003075903215114352,2.0535464,6.8946176,696
65,0.0019136007071041874,2.827123,10.23148,433
66,0.004649210032040658,3.3067625,9.5073,1052
67,0.0019622141199867418,2.5165122,9.814628,444
68,0.0031112584244834826,3.476847,8.755929,704
69,0.0010739144845873384,2.5264974,8.401515,243
70,0.002709092917909623,2.5875113,9.880655,613
71,0.0020285051375538614,2.54706,9.788675,459
72,0.0034559717158325048,2.4837692,7.211335,782
73,0.001210915920892719,2.2929227,5.960528,274
74,0.002620704894486797,2.0143392,5.9265604,593
75,0.004468014584023865,3.1649919,10.849802,1011
76,0.002236216992597503,2.1989722,8.046052,506
77,0.001096011490443045,2.7233238,10.062223,248
78,0.0035973925533090267,1.9674277,5.7804947,814
79,0.0003093580819798917,4.8399186,19.475899,70
80,0.00475527566014805,1.8881835,4.957508,1076
81,0.0006098773616175008,2.9964252,10.858673,138
82,0.0010473980775604905,2.2793167,9.207774,237
83,0.004631532427356093,2.303601,7.405567,1048
84,0.0018428902883659264,2.1962943,5.934961,417
85,0.002633963098000221,2.309983,7.2467055,596
86,0.0015556292122417413,2.27218,6.7945857,352
87,0.010261849519390123,3.0452576,8.613764,2322
88,0.0040172356645674515,1.9989986,6.1088595,909
89,0.0018119544801679373,2.0548127,6.8322062,410
90,0.0026737377085404926,1.9259775,4.6351275,605
91,0.00384487901889294,2.7359114,8.55161,870
92,0.0021831841785438072,3.0499578,11.470383,494
93,0.0019180201082753287,2.3876176,7.736317,434
94,0.004733178654292344,3.174919,11.336231,1071
95,0.006089934813832726,1.9325342,5.0985265,1378
96,0.0026737377085404926,3.8501356,11.52289,605
97,0.0007733952049497294,2.6443467,12.301827,175
98,0.0036106507568224506,2.1254575,5.7273393,817
99,0.002253894597282068,2.4779987,7.9524965,510
100,0.0006584907745000552,3.048047,12.911866,149
101,0.003190807645564026,2.075144,5.288235,722
102,0.0014539829853054912,2.1407948,5.749586,329
103,0.005099988951497072,2.4620187,8.934768,1154
104,0.0009722682576510883,3.048066,10.249812,220
105,0.0011578831068390233,2.2632895,6.320984,262
106,0.0012639487349464147,2.7751155,13.587293,286
107,0.004242625124295658,2.0091288,5.0280075,960
108,0.0029389017788089716,3.1279588,13.973443,665
109,0.002435090045298862,2.1402771,6.14787,551
110,0.013262622914595072,3.6668909,12.196322,3001
111,0.01197215777262181,2.3157508,7.508756,2709
112,0.005581703679151475,2.0273778,5.8711867,1263
113,0.0011357861009833167,2.6981275,8.996198,257
114,0.0012020771185504364,2.3081002,9.005522,272
115,0.001396530770080654,2.4296548,7.3030334,316
116,0.0027400287261076122,1.9978611,7.125695,620
117,0.0015423710087283174,2.7298193,9.08348,349
118,0.0007380399955805989,2.7953048,8.281913,167
119,0.0008662026295436968,2.5863214,8.878257,196
120,0.002019666335211579,2.004202,6.090446,457
121,0.0023599602253894596,2.1752422,6.5168123,534
122,0.00782234007292012,3.3227537,11.076148,1770
123,0.0017412440614296763,2.184582,8.81418,394
124,0.007256656723014032,2.1630588,5.596098,1642
125,0.001507015799359187,2.3566825,7.1351986,341
126,0.0026472213015136447,2.0542786,5.3156557,599
127,0.0011048502927853276,2.5804596,11.613726,250
128,0.003990719257540604,2.7703261,9.652837,903
129,0.000698265385040327,2.6829917,13.054065,158
130,0.0015998232239531544,2.3244584,8.46372,362
131,0.002236216992597503,2.3312953,7.2405996,506
132,0.001255109932604132,2.2646637,7.7172017,284
133,0.00637277648878577,2.1629052,7.6129737,1442
134,0.0026869959120539165,2.0357401,5.52714,608
135,0.005502154458070931,2.1717956,6.7911215,1245
136,0.003500165727543918,1.9321568,5.23699,792
137,0.0017898574743122307,3.4840505,12.381871,405
138,0.0010783338857584797,3.421911,10.984674,244
139,0.0016616948403491327,2.238386,6.8001432,376
140,0.0012595293337752734,3.1259537,10.552446,285
141,0.001339078554855817,2.1798022,5.441335,303
142,0.007795823665893271,2.1478333,6.5760813,1764
143,0.0022583139984532095,2.2121644,5.9743867,511
144,0.00597061098221191,2.145477,6.7211037,1351
145,0.0036239089603358745,1.926314,4.6941895,820
146,0.004255883327809082,2.1314955,7.1217723,963
147,0.009647552756601481,2.8961313,9.208992,2183
148,0.004795050270688322,2.2258053,7.4813857,1085
149,0.0032129046514197328,2.064061,5.1561737,727
150,0.0019180201082753287,2.0528562,5.1523247,434
151,0.010509335984974036,1.92073,6.6873865,2378
152,0.005267926196000442,2.3229527,7.806686,1192
153,0.0008175892166611424,2.0714812,5.553671,185
154,0.0007026847862114683,2.5200872,8.674844,159
155,0.0017765992707988068,2.14061,7.2946935,402
156,0.010739144845873384,3.1561818,9.273244,2430
157,0.002050602143409568,2.5157664,9.076684,464
158,0.03716716384929842,3.2609072,10.96814,8410
159,0.0014230471771075018,2.0520668,6.311579,322
160,0.00256325267926196,2.9020734,10.8397045,580
161,0.002492542260523699,2.0709753,6.8045206,564
162,0.006651198762567672,2.4596896,9.096337,1505
163,0.0021434095680035355,1.9573824,4.834699,485
164,0.0018384708871947851,2.200662,6.0486174,416
165,0.004154237100872832,1.9876535,8.186078,940
166,0.007398077560490554,2.708237,9.771505,1674
167,0.0021610871726881007,2.1609275,5.5353894,489
168,0.011322505800464037,3.2173977,10.400877,2562
169,0.0015600486134128826,3.3162274,10.271867,353
170,0.0032924538725002763,2.5820117,11.008881,745
171,0.0024129930394431553,2.0309615,6.138965,546
172,0.013284719920450778,2.241585,10.307941,3006
173,0.006686553971936802,2.934546,9.161879,1513
174,0.004370787758258756,1.9885645,6.1707315,989
175,0.0021831841785438072,2.2152603,7.155464,494
176,0.0037388133907855486,2.6099558,10.573544,846
177,0.013359849740360181,1.9950069,5.356547,3023
178,0.0006010385592752182,4.8983235,13.99751,136
179,0.0014760799911611978,2.2501643,5.083291,334
180,0.0018870843000773395,2.1840572,6.5265303,427
181,0.002377637830074025,2.1848543,7.904781,538
182,0.0009943652635067948,2.9395287,10.929553,225
183,0.000954590652966523,4.0260143,13.250641,216
184,0.0016395978344934262,1.989757,4.938387,371
185,0.005082311346812507,2.7481437,10.55149,1150
186,0.0004154237100872832,2.9734251,7.680856,94
187,0.001153463705667882,3.409153,11.36811,261
188,0.002063860346922992,2.5319214,10.232918,467
189,0.0018473096895370677,2.4330513,9.938123,418
190,0.002249475196110927,2.1564918,5.593242,509
191,0.027762678157109713,2.0635293,5.9928184,6282
192,0.002748867528449895,2.2569718,9.171099,622
193,0.0005347475417080985,2.6514623,10.996197,121
194,0.004189592310241962,1.8414072,6.867716,948
195,0.0058247707435642474,2.3304744,7.570684,1318
196,0.0015998232239531544,2.0057528,5.749352,362
197,0.0017191470555739698,2.4260406,10.2085495,389
198,0.006536294332117998,2.7230144,12.417356,1479
199,0.0017103082532316871,2.5475338,9.313168,387
200,0.0011623025080101646,2.2039979,7.2745323,263
201,0.003402938901778809,1.9636905,5.304644,770
202,0.002351121423047177,3.360054,10.688692,532
203,0.0010562368799027731,2.1302915,6.6676044,239
204,0.0013921113689095127,2.1731875,7.837248,315
205,0.00138327256656723,2.30308,7.2956195,313
206,0.002267152800795492,2.3389761,7.044259,513
207,0.0008927190365705447,2.8245847,8.380308,202
208,0.0015158546017014695,2.0649357,5.335875,343
209,0.0011843995138658711,2.7092004,9.475881,268
210,0.002077118550436416,2.5783026,7.6723466,470
211,0.004684565241409789,2.0898626,5.2088203,1060
212,0.0026604795050270687,2.0952926,6.125581,602
213,0.0004286819136007071,2.7658775,9.495474,97
214,0.0013523367583692409,2.0848744,6.9396544,306
215,0.0031952270467351675,1.9674532,4.6852956,723
216,0.000897138437741686,2.0051017,6.3572955,203
217,0.0023864766324163075,2.026195,6.0795274,540
218,0.00128162633963098,2.6994727,11.177405,290
219,0.009682907965970612,2.5166283,8.100241,2191
220,0.0018561484918793504,2.049763,5.1296263,420
221,0.005873384156446801,3.0708492,13.341109,1329
222,0.0010473980775604905,2.635556,12.854199,237
223,0.0009722682576510883,2.9185731,10.246814,220
224,0.0028019003425035906,1.8403544,7.166855,634
225,0.0010164622693625014,2.4497867,9.111388,230
226,0.0018031156778256546,2.2952256,6.364831,408
227,0.0015025963981880456,2.4684377,8.968028,340
228,0.005188376974919898,2.30994,7.774354,1174
229,0.008896254557507458,1.8867859,4.868515,2013
230,0.010394431554524361,1.8606282,6.74564,2352
231,0.0022406363937686443,2.0158715,5.613008,507
232,0.0008131698154900011,2.1694815,10.792398,184
233,0.001339078554855817,3.4428866,10.78091,303
234,0.022512429565793836,2.2278235,7.313389,5094
235,0.001325820351342393,2.0916736,5.7348733,300
236,0.001794276875483372,2.5030262,7.4269543,406
237,0.0028947077670975585,3.3096383,11.555264,655
238,0.002748867528449895,1.9751124,5.5960546,622
239,0.0016263396309800023,2.4790769,6.9689784,368
240,0.0028549331565572867,2.0156004,6.4797335,646
241,0.0008927190365705447,2.732981,12.317206,202
242,0.008308474201745663,3.5858295,8.871082,1880
243,0.0008264280190034251,2.8271532,7.979676,187
244,0.0023422826207048944,2.1029627,4.9636893,530
245,0.0008352668213457077,3.1453059,9.703252,189
246,0.0016484366368357088,2.999841,9.047456,373
247,0.0009590100541376643,2.4247475,9.568006,217
248,0.0021876035797149486,1.9763371,7.106466,495
249,0.007972599712738924,3.6961167,6.006756,1804
250,0.0009855264611645122,2.5620158,7.9219813,223
251,0.001608662026295437,2.4998033,9.58959,364
252,0.001864987294221633,2.0367332,4.478149,422
253,0.003031709203402939,1.8527805,4.538135,686
254,0.007340625345265716,2.5431542,9.682132,1661
255,0.0019710529223290244,2.180264,6.7870126,446
256,0.015052480388907302,2.2026367,8.904163,3406
257,0.0019577947188156005,1.9897223,5.0786896,443
258,0.0016263396309800023,2.379107,9.566283,368
259,0.0018694066953927743,2.1203768,7.374998,423
260,0.0015821456192685892,2.0298452,5.940744,358
261,0.0025544138769196772,2.0304139,4.9807544,578
262,0.0011843995138658711,3.2816803,12.41771,268
263,0.0008175892166611424,2.6666083,11.169547,185
264,0.005139763562037344,1.9511425,5.0574746,1163
265,0.008502927853275881,2.4430556,7.3498826,1924
266,0.0015291128052148935,2.286841,8.717152,346
267,0.0018252126836813612,2.4593685,7.576085,413
268,0.0011755607115235885,2.4298124,5.811386,266
269,0.0012330129267484255,3.689305,10.055449,279
270,0.0015158546017014695,3.1924965,9.796771,343
271,0.010111589879571318,1.8907517,7.6858244,2288
272,0.0028549331565572867,2.0252182,6.3650928,646
273,0.002872610761241852,2.5749838,8.279047,650
274,0.003230582256104298,2.3803673,7.6457276,731
275,0.006346260081758922,3.188048,14.460297,1436
276,0.000967848856479947,2.9325042,13.48703,219
277,0.0009103966412551099,2.886337,13.009136,206
278,0.002121312562147829,1.9274797,6.936407,480
279,0.0018340514860236438,2.4007294,7.8021774,415
280,0.07293337752734505,3.1322553,14.0676365,16503
281,0.03556292122417412,2.46091,8.410198,8047
282,0.0003800685007181527,3.59155,12.22688,86
283,0.0009590100541376643,2.2582026,8.991758,217
284,0.0025765108827753838,2.8768852,10.425647,583
285,0.002960998784664678,1.9704719,4.5659647,670
286,0.0015335322063860348,3.596,8.665818,347
287,0.0009103966412551099,3.1375105,10.255415,206
288,0.003301292674842559,1.9450036,5.36849,747
289,0.0008220086178322838,2.9140263,9.9169035,186
290,0.004163075903215114,2.3026392,9.445152,942
291,0.0014274665782786434,2.4056296,8.438109,323
292,0.006748425588332781,2.0328836,5.7564235,1527
293,0.01194122196442382,2.2978082,8.186953,2702
294,0.0038934924317754944,2.1695118,7.85359,881
295,0.0016042426251242957,2.3548949,7.9738727,363
296,0.0005745221522483703,3.029564,9.416231,130
297,0.0052944426030272895,3.1180153,9.277277,1198
298,0.0028416749530438623,2.1370442,5.6199994,643
299,0.005135344160866202,2.3042185,6.6647234,1162
300,0.002306927411335764,2.1964104,6.7480626,522
301,0.008074245939675173,3.7758682,6.9717627,1827
302,0.017726218097447795,2.5382452,7.184425,4011
303,0.004772953264832615,2.2487478,6.6738935,1080
304,0.0010208816705336427,2.2805028,7.8558936,231
305,0.002678157109711634,2.092024,6.826856,606
306,0.0011313666998121754,2.1576087,5.2210183,256
307,0.0014318859794497847,2.872084,14.533823,324
308,0.006098773616175009,4.344715,13.231144,1380
309,0.001507015799359187,2.0715334,6.1789007,341
310,0.003186388244392885,2.9048538,11.34789,721
311,0.0007999116119765772,2.2848167,7.744436,181
312,0.011114793945420396,3.1494584,10.348142,2515
313,0.0015909844216108718,2.3950799,7.860942,360
314,0.005811512540050823,2.3637636,8.215439,1315
315,0.001126947298641034,2.292485,6.092001,255
316,0.001140205502154458,2.943559,8.961062,258
317,0.0025720914816042425,1.9796177,6.533861,582
318,0.002492542260523699,1.874739,4.106268,564
319,0.0016749530438625567,2.118935,6.725619,379
320,0.0012020771185504364,2.4993231,8.138825,272
321,0.0036106507568224506,2.1690087,10.940271,817
322,0.0010783338857584797,2.836661,9.967854,244
323,0.0013655949618826648,2.152085,5.3587017,309
324,0.0022450557949397856,2.0629137,5.8600855,508
325,0.001210915920892719,2.4909656,13.946377,274
326,0.0011755607115235885,2.8372016,11.239314,266
327,0.0021124737598055463,2.3455064,8.427918,478
328,0.0028991271682687,2.2305682,7.8921843,656
329,0.005197215777262181,2.354755,8.406337,1176
330,0.0011225278974698928,2.5650902,8.884829,254
331,0.003385261297094244,2.657904,10.267741,766
332,0.0046889846425809305,3.7728775,10.581636,1061
333,0.0008220086178322838,2.4118001,7.230799,186
334,0.003115677825654624,2.4994917,9.683091,705
