feature,density,mean_act,max_act,n_active_frames
0,0.0018728603288619369,3.986376,14.641291,1761
1,0.0004477423046285494,2.432759,11.604573,421
2,0.0010252341607171534,2.175078,10.483128,964
3,0.0003647876733672029,2.295063,7.698733,343
4,0.0022216951885250347,4.9586873,17.714468,2089
5,0.0014325626706286367,2.467717,10.591065,1347
6,0.0018590345569850458,3.8359578,15.3896055,1748
7,0.0026960255159937593,2.1585011,11.802222,2535
8,0.0009912014914817292,2.6018603,11.710225,932
9,0.005674947595006982,3.529971,13.044119,5336
10,0.0027396298734516464,4.0609803,14.859458,2576
11,0.0016314410814731466,2.189775,10.025683,1534
12,0.03854199790911789,2.180449,8.128842,36240
13,0.002658802284017514,3.8563,11.39622,2500
14,0.0010252341607171534,1.7485515,5.107039,964
15,0.00042009076087476724,2.1733642,6.7419186,395
16,0.0011720000467949202,4.3493886,15.713493,1102
17,0.0002637531865745374,2.565041,12.780258,248
18,0.0005945081907063162,2.3935633,7.4513655,559
19,0.0009667405104687681,3.0138614,12.362304,909
20,0.0027545191662421446,3.527529,11.386775,2590
21,0.0006008893161879582,1.7867775,7.3765736,565
22,0.0026960255159937593,1.8573687,7.709448,2535
23,0.0049985482939529265,2.763216,10.998713,4700
24,0.0006561924036955224,2.228276,11.304153,617
25,0.00010954265410152158,2.9340365,12.072285,103
26,0.0007742432251059,2.3448699,10.647617,728
27,0.0016442033324364307,4.2852945,16.509733,1546
28,0.0021727732264991127,3.1319158,12.152195,2043
29,0.0002084500990669731,2.4807262,12.991837,196
30,0.001896257788961291,2.4726284,10.348394,1783
31,0.024647097172842355,1.7893124,6.519844,23175
32,0.0024950200633220353,4.2497773,14.100773,2346
33,0.0005828094606566391,2.346076,9.849882,548
34,0.016484574160908587,2.552653,9.809944,15500
35,0.004556123593892412,3.5619795,15.929217,4284
36,0.00034564429692227684,1.7525268,7.191966,325
37,0.0044497715025317115,2.154897,9.792758,4184
38,0.0027587732498965726,4.7014174,14.345794,2594
39,0.014741463383506705,1.8168461,9.642334,13861
40,0.00021802178728943616,2.4663134,15.640403,205
41,0.001885622579825221,4.2499204,12.287589,1773
42,0.0011464755448683521,1.9368978,8.829103,1078
43,0.001352798602108111,1.8153046,5.8038635,1272
44,0.0005200617267538258,2.758915,15.58179,489
45,0.003645749691844815,3.0915122,10.567842,3428
46,0.00024035572647518327,2.0618947,12.164558,226
47,0.0007221307003391569,2.2905798,7.9024153,679
48,0.0018260654086632287,1.7080485,6.333271,1717
49,0.0027896153563911757,2.630888,9.619153,2623
50,0.003815913038021936,2.333303,8.656968,3588
51,0.0015580581384342632,2.2714312,8.997952,1465
52,0.006565114599696046,2.6261241,11.503466,6173
53,0.0006264138181145264,2.3424802,10.992976,589
54,0.004212606338797349,3.1992035,18.13849,3961
55,0.0044986934645576335,2.4552543,11.586406,4230
56,0.0009273902366653089,2.4920015,11.042034,872
57,0.006554479390559976,2.3804026,8.9713955,6163
58,0.004244511966205559,2.9215946,11.317668,3991
59,0.0068214231398753345,1.904453,7.6001906,6414
60,0.0017537459865379524,2.1737225,8.720765,1649
61,0.001297495514600547,2.6279805,12.412049,1220
62,0.0003009764185507826,2.7685661,11.937272,283
63,0.003940344984913956,3.4849756,10.627011,3705
64,0.0008221016662182154,2.1112704,8.567763,773
65,0.006765056531454163,2.9559183,11.701941,6361
66,0.0016792995225854619,3.7887452,11.219808,1579
67,0.009119691834180073,2.2582939,8.336742,8575
68,0.0005849365024838531,2.1564026,15.8427515,550
69,0.001486802237222594,1.6975162,6.418521,1398
70,0.0001488929279049808,3.069909,11.030135,140
71,0.0016739819180174268,4.4408,13.665613,1574
72,0.006587448538881793,3.4971244,12.785314,6194
73,0.002679009181376047,3.767221,11.195777,2519
74,0.004061586369065154,3.0488176,12.6599245,3819
75,0.007682875079897009,3.2497525,10.993474,7224
76,0.0005200617267538258,2.1214774,8.745846,489
77,0.0019483703137280343,3.613633,10.807212,1832
78,4.7858441112315255e-05,3.9337003,12.180415,45
79,0.0028236480256266,3.2252817,10.315048,2655
80,0.0014229909824061736,2.140054,7.796838,1338
