layer,probe_acc,n_significant,n_sig_monosemantic,n_emotion_features,median_mono_emotion_feats,max_mi
0,0.6367943774056342,4672,118,35,0.5319392085075378,0.18877139920270797
1,0.6498265957523632,4998,298,70,0.5694505572319031,0.2002721106235162
2,0.6660835373383306,6050,541,94,0.6000522971153259,0.19716758272939394
3,0.6697109447778331,6385,743,103,0.5885041952133179,0.1951005974725056
4,0.6820720227907884,6655,622,105,0.5799531936645508,0.2014520446354984
5,0.6901353654397481,6859,481,111,0.5819261074066162,0.19608852528166845
6,0.6968553442087856,6988,457,106,0.5735490620136261,0.2038913537312616
7,0.701962871090506,7051,438,113,0.574542224407196,0.18548476958157767
8,0.7076061367591729,7018,346,94,0.5697814226150513,0.18616582242822613
9,0.7214476952851376,6893,327,80,0.5729219615459442,0.17821551498851684
10,0.7389172028567921,6694,345,77,0.5639186501502991,0.19470749437011792
11,0.7389163904475111,6707,366,59,0.5862445831298828,0.1776188501935742
12,0.7383809224636583,6592,410,57,0.5934880375862122,0.17724000515037336
13,0.7377065324927605,6407,394,61,0.5935571789741516,0.17906936542206947
14,0.7342118185691486,6069,417,56,0.5684048533439636,0.1826904358455423
15,0.7229253774995125,5543,342,42,0.56679967045784,0.20236300090617446
16,0.721581472013403,5059,309,37,0.5668647885322571,0.17776296879915823
17,0.7188942929150689,4697,299,26,0.552133321762085,0.2004767378077708
18,0.7143250323158359,4569,304,29,0.5472810864448547,0.17982437241346277
19,0.709622356059129,4325,319,28,0.5502582490444183,0.1481777958077144
20,0.7063973620167969,4170,329,27,0.5323759317398071,0.172558522131074
21,0.7094894820078425,4206,357,24,0.5802739262580872,0.153185987315616
22,0.71983569473631,4089,409,31,0.5827785134315491,0.1533316484441169
23,0.7183555752940922,4729,363,47,0.5664277672767639,0.1610454552088953
24,0.7154005719361339,4154,254,27,0.5607306361198425,0.14994353410011818
