encoder,layer,text_bias
HuBERT,0,-0.622863247863248
HuBERT,1,-0.6901709401709402
HuBERT,2,-0.72008547008547
HuBERT,3,-0.7656695156695157
HuBERT,4,-0.7460826210826211
HuBERT,5,-0.7332621082621082
HuBERT,6,-0.7037037037037036
HuBERT,7,-0.696937321937322
HuBERT,8,-0.6595441595441596
HuBERT,9,-0.6082621082621082
HuBERT,10,-0.5566239316239316
HuBERT,11,-0.47115384615384615
HuBERT,12,-0.35933048433048426
HuBERT,13,-0.24928774928774933
HuBERT,14,-0.143874643874644
HuBERT,15,0.12072649572649569
HuBERT,16,0.38176638176638183
HuBERT,17,0.5402421652421653
HuBERT,18,0.6698717948717949
HuBERT,19,0.7556980056980057
HuBERT,20,0.7938034188034189
HuBERT,21,0.7435897435897436
HuBERT,22,0.5213675213675215
HuBERT,23,0.40705128205128205
HuBERT,24,0.4853988603988604
wav2vec2,0,-0.48575498575498566
wav2vec2,1,-0.5694444444444444
wav2vec2,2,-0.5911680911680913
wav2vec2,3,-0.6289173789173789
wav2vec2,4,-0.5890313390313391
wav2vec2,5,-0.540954415954416
wav2vec2,6,-0.4907407407407408
wav2vec2,7,-0.39423076923076916
wav2vec2,8,-0.20477207977207984
wav2vec2,9,0.045227920227920326
wav2vec2,10,0.31445868945868943
wav2vec2,11,0.6032763532763532
wav2vec2,12,0.7307692307692307
wav2vec2,13,0.832977207977208
wav2vec2,14,0.8429487179487181
wav2vec2,15,0.8678774928774928
wav2vec2,16,0.8244301994301996
wav2vec2,17,0.6958689458689459
wav2vec2,18,0.5096153846153846
wav2vec2,19,0.5206552706552707
wav2vec2,20,0.6591880341880342
wav2vec2,21,0.7136752136752137
wav2vec2,22,0.7211538461538461
wav2vec2,23,0.7001424501424501
wav2vec2,24,0.6356837606837606
WavLM,0,-0.6114672364672364
WavLM,1,-0.6812678062678063
WavLM,2,-0.709045584045584
WavLM,3,-0.7115384615384615
WavLM,4,-0.6880341880341881
WavLM,5,-0.6552706552706553
WavLM,6,-0.610042735042735
WavLM,7,-0.5808404558404558
WavLM,8,-0.5405982905982906
WavLM,9,-0.538105413105413
WavLM,10,-0.5163817663817665
WavLM,11,-0.49893162393162394
WavLM,12,-0.4084757834757834
WavLM,13,-0.2393162393162394
WavLM,14,-0.023504273504273476
WavLM,15,0.2118945868945869
WavLM,16,0.38069800569800577
WavLM,17,0.5698005698005697
WavLM,18,0.6534900284900286
WavLM,19,0.7297008547008548
WavLM,20,0.7314814814814814
WavLM,21,0.6050569800569802
WavLM,22,0.3945868945868946
WavLM,23,0.4123931623931624
WavLM,24,0.4935897435897436
Whisper,0,-0.625
Whisper,1,-0.47150997150997154
Whisper,2,-0.5861823361823362
Whisper,3,-0.6057692307692308
Whisper,4,-0.6107549857549859
Whisper,5,-0.6054131054131054
Whisper,6,-0.6107549857549858
Whisper,7,-0.6328347578347578
Whisper,8,-0.607905982905983
Whisper,9,-0.6100427350427351
Whisper,10,-0.6089743589743589
Whisper,11,-0.530982905982906
Whisper,12,-0.5345441595441596
Whisper,13,-0.5274216524216524
Whisper,14,-0.5231481481481481
Whisper,15,-0.47720797720797725
Whisper,16,-0.5167378917378918
Whisper,17,-0.5024928774928776
Whisper,18,-0.4907407407407406
Whisper,19,-0.46759259259259256
Whisper,20,-0.39280626780626776
Whisper,21,-0.30199430199430194
Whisper,22,-0.2122507122507123
Whisper,23,-0.14066951566951563
Whisper,24,-0.10754985754985757
MERT,0,-0.4900284900284899
MERT,1,-0.5388176638176638
MERT,2,-0.641025641025641
MERT,3,-0.6777065527065527
MERT,4,-0.6780626780626782
MERT,5,-0.6773504273504274
MERT,6,-0.6595441595441596
MERT,7,-0.6613247863247864
MERT,8,-0.6403133903133903
MERT,9,-0.6385327635327634
MERT,10,-0.6274928774928774
MERT,11,-0.6075498575498576
MERT,12,-0.5997150997150997
MERT,13,-0.6278490028490028
MERT,14,-0.6331908831908831
MERT,15,-0.6485042735042734
MERT,16,-0.6339031339031338
MERT,17,-0.6296296296296297
MERT,18,-0.6246438746438747
MERT,19,-0.6082621082621084
MERT,20,-0.6032763532763533
MERT,21,-0.5908119658119658
MERT,22,-0.5819088319088319
MERT,23,-0.5804843304843305
MERT,24,-0.565883190883191
w2v-BERT,0,-0.1513532763532763
w2v-BERT,1,-0.5783475783475783
w2v-BERT,2,-0.6570512820512819
w2v-BERT,3,-0.6171652421652423
w2v-BERT,4,-0.5808404558404558
w2v-BERT,5,-0.5836894586894588
w2v-BERT,6,-0.5594729344729343
w2v-BERT,7,-0.6146723646723647
w2v-BERT,8,-0.6207264957264957
w2v-BERT,9,-0.6257122507122507
w2v-BERT,10,-0.4967948717948719
w2v-BERT,11,-0.22222222222222232
w2v-BERT,12,0.15170940170940156
w2v-BERT,13,0.15455840455840442
w2v-BERT,14,-0.3404558404558405
w2v-BERT,15,-0.43126780626780625
w2v-BERT,16,-0.5733618233618234
w2v-BERT,17,-0.6153846153846154
w2v-BERT,18,-0.6207264957264957
w2v-BERT,19,-0.5911680911680912
w2v-BERT,20,-0.5982905982905983
w2v-BERT,21,-0.5698005698005697
w2v-BERT,22,-0.5423789173789174
w2v-BERT,23,-0.4686609686609686
w2v-BERT,24,-0.29487179487179493
