encoder,layer,split,text_bias
HuBERT,3,TTS=COSY,-0.716880341880342
HuBERT,3,TTS=F5TTS,-0.5705128205128205
HuBERT,3,TTS=STYLE,-0.7158119658119657
HuBERT,3,explicit,-0.150997150997151
HuBERT,3,implicit,-0.611965811965812
wav2vec2,3,TTS=COSY,-0.6228632478632479
wav2vec2,3,TTS=F5TTS,-0.43696581196581197
wav2vec2,3,TTS=STYLE,-0.5673076923076924
wav2vec2,3,explicit,0.10256410256410259
wav2vec2,3,implicit,-0.4871794871794871
WavLM,3,TTS=COSY,-0.7008547008547008
WavLM,3,TTS=F5TTS,-0.6004273504273505
WavLM,3,TTS=STYLE,-0.6976495726495726
WavLM,3,explicit,-0.028490028490028463
WavLM,3,implicit,-0.532193732193732
Whisper,7,TTS=COSY,-0.6378205128205128
Whisper,7,TTS=F5TTS,-0.5202991452991452
Whisper,7,TTS=STYLE,-0.5566239316239316
Whisper,7,explicit,0.0911680911680911
Whisper,7,implicit,-0.4860398860398861
MERT,4,TTS=COSY,-0.6837606837606838
MERT,4,TTS=F5TTS,-0.5085470085470087
MERT,4,TTS=STYLE,-0.6912393162393162
MERT,4,explicit,-0.08547008547008539
MERT,4,implicit,-0.5384615384615385
w2v-BERT,2,TTS=COSY,-0.6239316239316239
w2v-BERT,2,TTS=F5TTS,-0.47329059829059816
w2v-BERT,2,TTS=STYLE,-0.7446581196581198
w2v-BERT,2,explicit,0.013295346628679983
w2v-BERT,2,implicit,-0.4774928774928775
