feature,density,mean_act,max_act,n_active_frames
0,0.0027736625426870707,4.3114233,12.365809,2608
1,2.1270418272140113e-06,1.2889004,1.4298156,2
2,0.0018239383668360147,2.1632726,6.396114,1715
3,0.003413902132678488,1.4169513,5.439843,3210
4,0.004988976605730463,1.8038417,7.513346,4691
5,0.0015506134920390143,1.2757962,4.6473007,1458
6,0.0019919746711859216,2.6410584,9.399311,1873
7,0.001719713317302528,2.1386538,6.5234833,1617
8,0.001511263218235555,0.9770171,4.084343,1421
9,0.0007891325178963982,1.1136514,2.819524,742
10,0.00036797823610802395,1.9236459,6.577606,346
11,0.01503818571840306,0.95579803,2.6791577,14140
12,0.0018473358269353688,1.4759251,5.0921464,1737
13,0.0027598367708101795,2.0941875,8.798365,2595
14,0.000948660654937449,1.4927824,8.489015,892
15,0.025990324086728002,2.24093,9.100219,24438
16,0.0030352886874343943,1.4807714,4.613812,2854
17,0.0010582033090389706,2.623993,11.216753,995
18,0.0033288204595899274,1.6683015,7.542503,3130
19,0.001321956495613508,1.5665712,7.5595856,1243
20,1.701633461771209e-05,1.8716028,4.3835073,16
21,0.00022014882911665015,1.7128484,8.77262,207
22,0.0008635789818488886,3.9448898,12.294071,812
23,4.041379471706622e-05,0.8341343,1.8286382,38
24,0.001313448328304652,1.1567585,3.859455,1235
25,1.0635209136070056e-06,0.94353884,0.94353884,1
26,0.0012326207388705195,1.4552552,7.245841,1159
27,0.004513582757348132,1.674741,7.837058,4244
28,0.00042859892818362326,1.2749053,3.519232,403
29,0.006972443109607529,1.1236216,3.6660645,6556
30,0.000746591681352118,1.6377478,7.21999,702
31,0.0006689546546588066,1.7099235,14.11404,629
32,0.0009337713621469509,1.5031809,7.655754,878
33,0.0021961706865984668,3.3626287,11.481236,2065
34,0.0026843267859440823,1.3800082,6.639235,2524
35,0.00048283849477758053,1.4271557,4.8890996,454
36,0.00011273321684234259,2.4136043,12.026115,106
37,0.002052595363261521,2.697509,10.192044,1930
38,0.0009922650123953363,1.6709808,6.2306476,933
39,0.002303586298872774,4.764396,13.529778,2166
40,0.002088755074324159,2.2946212,7.5306654,1964
41,0.0007699891414514721,1.8718596,7.9377775,724
42,0.00041264611447951817,1.3767451,9.817551,388
43,0.002264236025069315,0.99221104,3.1978357,2129
44,0.0006093974834968142,1.6232908,8.94891,573
45,0.0029448894097777985,1.9339024,6.8814454,2769
46,0.0012634628453651227,2.3487742,10.485145,1188
47,0.0014634047771232396,3.2228158,10.515579,1376
48,0.0005158076430993977,1.57001,7.4552107,485
49,0.00023610164282075524,0.84582007,2.688239,222
50,0.003366043691566173,1.5485299,5.187022,3165
51,0.000381804007984915,1.0396256,2.9824984,359
52,0.002520544565248603,2.5955186,10.271042,2370
53,0.004275354072700163,1.2937797,6.2101645,4020
54,0.004031807783484159,2.3040724,9.757593,3791
55,0.0030001924972853627,3.2276428,9.79539,2821
56,0.007727542958268503,1.0497934,5.258594,7266
57,0.0029480799725186196,2.6139152,9.215303,2772
58,0.0021642650591902563,1.4744835,5.2889595,2035
59,0.002298268694304739,1.7555553,7.358495,2161
60,0.0014538330889007768,1.9514012,10.694752,1367
61,0.0006827804265356976,1.1417226,4.44485,642
62,0.0015612487011750842,2.7587318,9.040279,1468
63,1.701633461771209e-05,1.3022742,3.2591956,16
64,0.004859227054270408,2.3516116,9.63306,4569
65,0.0009635499477279471,1.1898096,4.150229,906
66,0.004410421228728252,2.5040247,11.284641,4147
67,0.0015516770129526212,3.1329398,10.997472,1459
68,0.0012156044042528073,2.7517846,9.729679,1143
69,0.0017569365492787732,3.3989837,13.739758,1652
70,0.00042647188635640927,1.4018321,6.3105664,401
71,0.0006381125481642034,1.5585499,6.2082367,600
72,0.0010262976816307605,1.4489354,5.857574,965
73,0.00033181852504538575,1.4965128,7.9529934,312
74,0.0023567623445531244,1.9657222,6.0981226,2216
75,0.0035223812658664025,2.7819638,10.412545,3312
76,0.00040839203082509014,1.4938934,5.4487004,384
77,0.0004190272399611602,1.4364924,7.5678253,394
78,0.0033426462314668187,2.3883603,10.0172825,3143
79,0.0025301162534710664,2.0648584,7.1033907,2379
80,0.02692622249070217,1.7367154,6.8779907,25318
81,0.0028970309686654834,1.6455247,5.3931646,2724
82,0.046150426525062405,1.3636947,10.469327,43394
83,0.0002478003728704323,1.0007187,4.090858,233
84,0.0005264428522354678,1.5503331,6.3673778,495
85,0.0024865118960131793,3.2998166,11.071045,2338
86,0.0021770273101535407,1.2300962,4.4595394,2047
87,0.0003275644413909577,2.1149366,11.560824,308
88,0.0010624573926933986,1.7005177,5.646757,999
89,0.003155466550671986,1.6342384,6.271954,2967
90,0.0007859419551555772,1.7670039,9.06027,739
91,0.000563666084211713,1.3564997,4.3092346,530
92,0.0007816878715011491,1.5464174,7.4539766,735
93,0.018942370992254376,1.8654965,7.6161304,17811
94,3.935027380345921e-05,0.8722382,2.4244483,37
95,0.00791365911814973,2.2547722,8.630162,7441
96,0.006781009345158268,1.6227895,5.6941967,6376
97,0.0006891615520173396,1.8831611,7.297207,648
98,0.0008231651871318224,1.0325264,4.723801,774
99,0.005230395853119254,0.93466055,3.0991244,4918
100,0.0010773466854838967,1.2387321,4.353048,1013
101,0.00018079855531319097,1.2338432,4.058869,170
102,0.0010454410580756864,1.6228733,7.81635,983
103,0.00038712161255295,1.2233856,5.0558357,364
104,0.0001116696959287356,0.72729045,1.7440203,105
