feature,mi,monosemanticity,dominant_emotion
7182,0.14409132999015656,0.6479216814041138,anger
2183,0.1032240394046795,0.621375560760498,sadness
1149,0.0985895953351584,0.5193054676055908,sadness
2711,0.08906861905801493,0.6054447889328003,anger
4407,0.08558711795007405,0.5376126170158386,sadness
4396,0.08074223418957407,0.5295922160148621,sadness
4549,0.07983153982998933,0.5240704417228699,sadness
6075,0.07381947152987187,0.5417232513427734,neutral
7650,0.07357531476502184,0.591646134853363,sadness
2849,0.07198099179584908,0.5230962634086609,anger
6667,0.07176986553966681,0.6702155470848083,anger
846,0.07001183034664536,0.5231820344924927,sadness
6182,0.06998487983267171,0.5196831822395325,sadness
970,0.06868264291110193,0.6560588479042053,sadness
2080,0.0682538468788029,0.5750678181648254,disgust
4915,0.0670356029099368,0.6751380562782288,sadness
180,0.06671713305888863,0.5833330750465393,sadness
783,0.06602840125723579,0.6378931403160095,anger
4874,0.06318291131549836,0.6943943500518799,sadness
6123,0.06314737879110245,0.7137830257415771,anger
6017,0.059105235245262316,0.5102211833000183,anger
604,0.05727119254568905,0.6036033630371094,anger
4281,0.054300587391299594,0.5194210410118103,happiness
5782,0.05366408388045391,0.5585439205169678,anger
4692,0.05315977539649013,0.5058494210243225,happiness
7074,0.05191228845793239,0.5248352885246277,anger
6269,0.05164014792216504,0.6394644975662231,disgust
2298,0.050435660810571915,0.5255662202835083,anger
3265,0.048978994260975975,0.6053640246391296,happiness
2584,0.04842391733646013,0.5335366129875183,anger
7739,0.04766132434218946,0.5035446286201477,sadness
4628,0.04530966507215835,0.5458957552909851,anger
1803,0.042617353271491784,0.674960732460022,anger
667,0.04260056893734016,0.6558206677436829,disgust
7365,0.04252371125222695,0.5727968811988831,anger
4835,0.0421103429264482,0.5505439043045044,anger
1015,0.04161170884574944,0.5265286564826965,sadness
3711,0.04132768730537891,0.5867188572883606,anger
1964,0.04050116713625171,0.6459341645240784,anger
2879,0.040191325108844614,0.5169588327407837,anger
5582,0.0397838428010909,0.5262584090232849,fear
1305,0.03950661367845977,0.5616629123687744,sadness
6768,0.03938647029878716,0.6847825050354004,anger
7278,0.03919844465901109,0.6657391786575317,anger
1873,0.039113191172140724,0.5756642818450928,sadness
4704,0.03734670483918369,0.6401657462120056,happiness
1038,0.03668826380948069,0.5935571789741516,sadness
7425,0.03629134128448195,0.7297911643981934,disgust
396,0.03608455911977817,0.5034636855125427,happiness
1445,0.03512237312643157,0.5011920928955078,anger
468,0.03486735719400861,0.5416300892829895,disgust
640,0.034475920325341,0.6580334901809692,anger
4172,0.0343187389932026,0.5691877603530884,happiness
3757,0.03430988379481176,0.5554439425468445,fear
2971,0.03426872072851069,0.6248457431793213,anger
2692,0.033388834711494196,0.7648690342903137,anger
2704,0.03292303275187819,0.5470337867736816,happiness
1810,0.032465960051822326,0.6909726858139038,anger
840,0.03210738796332249,0.5289424657821655,anger
4952,0.03169659712658013,0.5879749059677124,anger
6057,0.02941484884334615,0.5043767094612122,disgust
1390,0.029373435607115573,0.6566389799118042,anger
5153,0.02930632992725761,0.5206172466278076,anger
831,0.02904587653894294,0.5277732610702515,anger
3699,0.02859297565866374,0.544367253780365,sadness
1934,0.028438142558487672,0.5523297786712646,anger
3802,0.028283656484883103,0.5437973141670227,anger
4725,0.02810795462419605,0.5475955009460449,anger
5545,0.027786910612345433,0.5783680081367493,anger
7753,0.02736524679469978,0.5968000888824463,anger
5016,0.0272937110814614,0.5027589201927185,happiness
7834,0.02709748153555457,0.6021140813827515,disgust
7994,0.026940347479120032,0.5045114755630493,anger
3170,0.026869428806749925,0.5431075096130371,anger
7153,0.026710353975620667,0.6270973086357117,sadness
7040,0.026165245359085095,0.6305433511734009,anger
7372,0.024818884881818284,0.5403800010681152,disgust
217,0.024709333078094378,0.6116887331008911,sadness
3588,0.02439673547848211,0.522614598274231,fear
7102,0.024331531466824638,0.5746713876724243,anger
1876,0.024274755202774237,0.714625895023346,anger
403,0.024093434465155803,0.5126580595970154,anger
6544,0.023878357276908332,0.5335091948509216,fear
7118,0.02323533861787664,0.568828284740448,fear
231,0.023142989734325888,0.5154409408569336,anger
3704,0.023138421757643315,0.5226069688796997,anger
5550,0.022987928579652015,0.7075735330581665,anger
6801,0.022859922115208466,0.6460740566253662,anger
677,0.02269163444792465,0.641196608543396,anger
5291,0.022485430178064512,0.7750560641288757,anger
3351,0.02243801967238581,0.6781584024429321,anger
5862,0.022331116568115233,0.5254690051078796,fear
4875,0.021832500110780268,0.586270809173584,anger
5745,0.021736162532310088,0.6060168147087097,sadness
5627,0.021700361403787137,0.5669808387756348,disgust
5928,0.021593031442347824,0.5170953869819641,disgust
6525,0.021476324825268064,0.588472843170166,sadness
