model,layer,layer_name,lambda,n_train,n_sentences,best_val_emo_acc_mean,best_val_emo_acc_std,final_train_sent_acc_mean,final_train_sent_acc_std,adv_suppression_mean,adv_suppression_std,emis_congruent_acc_mean,emis_congruent_acc_std,emis_incong_target_acc_mean,emis_incong_target_acc_std,emis_incong_proxy_acc_mean,emis_incong_proxy_acc_std,emis_incong_text_bias_mean,emis_incong_text_bias_std
HuBERT,0,CNN,0.0,1381,77,0.8246,0.0482,0.5076,0.0199,0.4989,0.0202,0.0,0.0,0.4829,0.0276,0.0017,0.0021,-0.4812,0.0264
HuBERT,0,CNN,0.01,1381,77,0.8245,0.0317,0.4804,0.027,0.5264,0.0274,0.0026,0.0051,0.4974,0.0267,0.0017,0.0021,-0.4957,0.0269
HuBERT,0,CNN,0.1,1381,77,0.7957,0.0113,0.4254,0.0128,0.5822,0.013,0.0,0.0,0.4812,0.0123,0.0,0.0,-0.4812,0.0123
HuBERT,0,CNN,1.0,1381,77,0.5762,0.0165,0.3908,0.0073,0.6173,0.0074,0.0128,0.0256,0.4718,0.012,0.0102,0.0166,-0.4615,0.0206
HuBERT,0,CNN,10.0,1381,77,0.3632,0.0189,0.3924,0.0074,0.6156,0.0075,0.3949,0.3129,0.253,0.0571,0.3333,0.2693,0.0803,0.3254
HuBERT,1,L1,0.0,1381,77,0.8975,0.0074,0.5208,0.0075,0.4855,0.0076,0.0051,0.0063,0.4615,0.0072,0.0154,0.0174,-0.4462,0.0203
HuBERT,1,L1,0.01,1381,77,0.8715,0.0115,0.4935,0.0146,0.5132,0.0148,0.0051,0.0102,0.4641,0.0096,0.0248,0.0222,-0.4393,0.0304
HuBERT,1,L1,0.1,1381,77,0.8643,0.0108,0.425,0.0113,0.5826,0.0115,0.0077,0.0102,0.4966,0.0236,0.0128,0.0151,-0.4837,0.0283
HuBERT,1,L1,1.0,1381,77,0.6469,0.0112,0.3904,0.0087,0.6176,0.0088,0.0282,0.044,0.4658,0.0413,0.0265,0.0392,-0.4393,0.0466
HuBERT,1,L1,10.0,1381,77,0.392,0.0387,0.3726,0.0389,0.6356,0.0394,0.1128,0.1234,0.3257,0.0376,0.1043,0.0712,-0.2214,0.0849
HuBERT,2,L2,0.0,1381,77,0.9343,0.0101,0.4946,0.0167,0.5121,0.0169,0.0102,0.0051,0.4692,0.017,0.0188,0.0088,-0.4504,0.0225
HuBERT,2,L2,0.01,1381,77,0.9386,0.0094,0.4547,0.0185,0.5525,0.0188,0.0179,0.0102,0.4991,0.0293,0.0282,0.011,-0.4709,0.021
HuBERT,2,L2,0.1,1381,77,0.9372,0.0096,0.4114,0.0188,0.5964,0.0191,0.0102,0.0051,0.4812,0.0297,0.0197,0.0088,-0.4615,0.0324
HuBERT,2,L2,1.0,1381,77,0.8426,0.0189,0.4047,0.0095,0.6031,0.0096,0.0102,0.0051,0.4436,0.0339,0.0222,0.0149,-0.4214,0.0263
HuBERT,2,L2,10.0,1381,77,0.5018,0.0683,0.3949,0.0071,0.613,0.0072,0.059,0.1117,0.3949,0.0651,0.0496,0.0795,-0.3453,0.1255
HuBERT,3,L3,0.0,1381,77,0.9603,0.0039,0.4692,0.0285,0.5378,0.0289,0.0923,0.0575,0.5513,0.0187,0.0564,0.028,-0.4949,0.0444
HuBERT,3,L3,0.01,1381,77,0.9567,0.0076,0.4538,0.0122,0.5534,0.0123,0.0487,0.0338,0.5812,0.0155,0.041,0.0276,-0.5402,0.0425
HuBERT,3,L3,0.1,1381,77,0.961,0.0048,0.413,0.012,0.5947,0.0121,0.0949,0.0504,0.5368,0.031,0.0632,0.0321,-0.4735,0.061
HuBERT,3,L3,1.0,1381,77,0.8794,0.013,0.384,0.0083,0.624,0.0084,0.0308,0.0491,0.5162,0.0887,0.053,0.0389,-0.4633,0.124
HuBERT,3,L3,10.0,1381,77,0.4924,0.0335,0.3942,0.0049,0.6138,0.005,0.1231,0.2274,0.4317,0.0736,0.065,0.1214,-0.3667,0.1747
HuBERT,4,L4,0.0,1381,77,0.9538,0.0093,0.4712,0.0355,0.5358,0.036,0.041,0.0318,0.5333,0.0275,0.0453,0.0123,-0.488,0.0343
HuBERT,4,L4,0.01,1381,77,0.9581,0.0081,0.4553,0.0177,0.5519,0.0179,0.0743,0.0515,0.5291,0.0151,0.0521,0.0269,-0.4769,0.0325
HuBERT,4,L4,0.1,1381,77,0.9552,0.0087,0.4011,0.0223,0.6068,0.0226,0.0923,0.0656,0.5462,0.0326,0.0658,0.0278,-0.4803,0.0544
HuBERT,4,L4,1.0,1381,77,0.8982,0.0136,0.3915,0.0157,0.6165,0.0159,0.0308,0.0264,0.5359,0.0816,0.0393,0.0319,-0.4966,0.1069
HuBERT,4,L4,10.0,1381,77,0.5213,0.0257,0.392,0.0076,0.616,0.0077,0.0282,0.0564,0.4744,0.0938,0.0077,0.0113,-0.4667,0.0883
HuBERT,5,L5,0.0,1381,77,0.9516,0.013,0.4516,0.0203,0.5556,0.0205,0.2385,0.0251,0.5727,0.0243,0.0957,0.011,-0.4769,0.0335
HuBERT,5,L5,0.01,1381,77,0.9552,0.0074,0.4377,0.0076,0.5697,0.0077,0.3282,0.1068,0.559,0.0174,0.1196,0.0396,-0.4393,0.0475
